Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rod Bruinooge,David Cosby,John Loewen,Heidi Loewen-Steffano,Sean Robert,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46013,"Winnipeg South/Winnipeg-Sud"," 81A","Winnipeg",43,13,30,1,19,1,107,295
46013,"Winnipeg South/Winnipeg-Sud"," 81B","Winnipeg",36,14,32,1,19,1,103,264
46013,"Winnipeg South/Winnipeg-Sud"," 82","Winnipeg",Void/Supprimé,,,,,,,
46013,"Winnipeg South/Winnipeg-Sud"," 83","Winnipeg",97,13,97,0,27,0,234,362
46013,"Winnipeg South/Winnipeg-Sud"," 84","Winnipeg",77,15,150,1,20,0,263,395
46013,"Winnipeg South/Winnipeg-Sud"," 85","Winnipeg",90,13,125,1,32,0,261,399
46013,"Winnipeg South/Winnipeg-Sud"," 86","Winnipeg",52,12,59,2,40,4,169,410
46013,"Winnipeg South/Winnipeg-Sud"," 87","Winnipeg",Void/Supprimé,,,,,,,
46013,"Winnipeg South/Winnipeg-Sud"," 88","Winnipeg",45,4,41,2,17,0,109,257
46013,"Winnipeg South/Winnipeg-Sud"," 89","Winnipeg",60,16,89,1,26,1,193,370
46013,"Winnipeg South/Winnipeg-Sud"," 90","Winnipeg",79,10,109,1,19,1,219,346
46013,"Winnipeg South/Winnipeg-Sud"," 91","Winnipeg",112,9,124,2,17,0,264,388
46013,"Winnipeg South/Winnipeg-Sud"," 92","Winnipeg",130,26,113,2,41,3,315,514
46013,"Winnipeg South/Winnipeg-Sud"," 93","Winnipeg",84,7,85,3,25,0,204,423
46013,"Winnipeg South/Winnipeg-Sud"," 94","Winnipeg",68,4,66,1,19,1,159,281
46013,"Winnipeg South/Winnipeg-Sud"," 95","Winnipeg",88,13,93,1,18,0,213,345
46013,"Winnipeg South/Winnipeg-Sud"," 96","Winnipeg",92,9,117,0,18,1,237,377
46013,"Winnipeg South/Winnipeg-Sud"," 97","Winnipeg",122,11,126,0,20,0,279,424
46013,"Winnipeg South/Winnipeg-Sud"," 98","Winnipeg",144,11,129,0,10,1,295,452
46013,"Winnipeg South/Winnipeg-Sud"," 99","Winnipeg",87,12,84,2,44,0,229,366
46013,"Winnipeg South/Winnipeg-Sud"," 100","Winnipeg",61,11,58,2,33,1,166,342
46013,"Winnipeg South/Winnipeg-Sud"," 101","Winnipeg",128,13,106,0,25,0,272,381
46013,"Winnipeg South/Winnipeg-Sud"," 102","Winnipeg",88,10,49,1,26,1,175,295
46013,"Winnipeg South/Winnipeg-Sud"," 103","Winnipeg",146,6,61,4,29,1,247,416
46013,"Winnipeg South/Winnipeg-Sud"," 104","Winnipeg",43,9,81,1,12,8,154,289
46013,"Winnipeg South/Winnipeg-Sud"," 105","Winnipeg",131,13,103,2,20,1,270,378
46013,"Winnipeg South/Winnipeg-Sud"," 106","Winnipeg",139,10,115,0,39,3,306,476
46013,"Winnipeg South/Winnipeg-Sud"," 107","Winnipeg",129,23,97,0,39,1,289,404
46013,"Winnipeg South/Winnipeg-Sud"," 108","Winnipeg",58,10,36,0,36,0,140,317
46013,"Winnipeg South/Winnipeg-Sud"," 109","Winnipeg",67,15,50,0,31,0,163,433
46013,"Winnipeg South/Winnipeg-Sud"," 110","Winnipeg",67,20,52,1,39,1,180,352
46013,"Winnipeg South/Winnipeg-Sud"," 111","Winnipeg",109,18,97,0,32,0,256,401
