Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raymond Côté,Jacques Gourde,Marie-Thérèse Hovington,Shirley Picknell,Antoine Sarrazin-Bourgoin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 20","Saint-Apollinaire",43,159,41,7,67,10,327,631
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 21","Saint-Apollinaire",35,112,25,4,58,2,236,451
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 21-1","Saint-Apollinaire",12,62,7,2,32,1,116,255
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 22","Saint-Apollinaire",34,177,26,2,61,4,304,561
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 23","Saint-Agapit",35,164,39,8,74,14,334,554
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 24","Saint-Agapit",34,195,41,9,31,4,314,510
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 25","Saint-Agapit",7,67,10,3,15,6,108,211
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 26","Saint-Agapit",19,106,30,2,42,7,206,341
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 27","Saint-Agapit",22,132,20,2,35,8,219,331
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 28","Saint-Agapit",30,125,25,2,40,3,225,441
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 29","Saint-Flavien",34,149,31,3,38,11,266,486
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 30","Notre-Dame-du-Sacré-Coeur-d'Issoudun",13,65,12,9,23,1,123,216
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 31","Notre-Dame-du-Sacré-Coeur-d'Issoudun",26,124,18,2,35,4,209,402
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 32","Laurier-Station",23,130,14,7,33,7,214,419
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 33","Laurier-Station",11,64,14,4,32,4,129,265
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 34","Laurier-Station",28,137,41,15,34,7,262,430
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 35","Laurier-Station",15,121,45,3,46,3,233,420
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 36","Laurier-Station",26,92,26,4,44,8,200,385
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 37","Saint-Flavien",11,60,17,2,33,4,127,237
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 38","Saint-Flavien",21,102,15,5,42,6,191,357
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 39","Saint-Janvier-de-Joly",31,97,13,5,33,5,184,349
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 40","Saint-Janvier-de-Joly",27,105,25,4,56,3,220,360
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 41","Val-Alain",24,80,19,8,47,1,179,370
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 42","Val-Alain",20,76,31,8,47,7,189,355
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 43","Saint-Nicolas",32,81,34,3,78,6,234,407
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 44","Saint-Nicolas",42,129,26,9,77,5,288,557
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 45","Saint-Nicolas",37,74,29,7,89,5,241,447
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 46","Saint-Nicolas",47,116,40,7,80,3,293,537
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 47","Saint-Nicolas",38,127,48,10,102,3,328,547
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 48","Saint-Nicolas",54,136,56,8,93,2,349,567
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 49","Saint-Nicolas",22,84,57,8,75,0,246,452
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 50","Saint-Nicolas",32,90,47,8,52,3,232,386
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 51","Saint-Nicolas",41,116,59,15,75,5,311,438
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 52","Saint-Nicolas",12,91,47,7,65,2,224,357
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 53","Saint-Nicolas",46,106,43,7,91,7,300,487
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 54","Saint-Nicolas",47,180,75,8,107,3,420,665
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 55","Saint-Nicolas",26,101,22,3,53,4,209,321
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 55-1","Lévis",34,106,35,4,59,3,241,393
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 56","Saint-Nicolas",51,93,35,7,71,5,262,491
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 57","Saint-Nicolas",30,83,41,3,50,3,210,284
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 57-1","Lévis",27,68,16,3,52,6,172,361
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 58","Saint-Nicolas",28,64,27,6,64,0,189,350
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 58-1","Lévis",22,80,9,3,34,5,153,267
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 59","Saint-Nicolas",47,143,63,7,98,6,364,561
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 60","Saint-Nicolas",20,112,39,12,71,1,255,480
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 61","Saint-Nicolas",32,74,23,3,40,4,176,354
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 62","Saint-Nicolas",38,106,35,11,70,5,265,460
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 63","Saint-Nicolas",19,58,12,6,36,5,136,301
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 63-1","Lévis",17,92,21,3,29,2,164,287
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 64","Saint-Nicolas",18,56,23,0,43,3,143,255
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 65","Saint-Nicolas",48,138,44,5,71,2,308,510
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 66","Saint-Nicolas",40,90,45,5,76,4,260,398
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 67","Saint-Nicolas",48,89,40,10,71,6,264,411
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 68","Saint-Nicolas",49,142,33,2,111,5,342,558
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 69","Saint-Nicolas",50,110,44,5,67,3,279,487
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 70","Saint-Nicolas",36,101,21,6,61,4,229,370
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 71","Saint-Nicolas",47,92,20,7,70,5,241,336
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 72","Saint-Nicolas",37,86,40,12,67,2,244,420
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 73","Charny",40,91,44,6,70,5,256,498
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 74","Charny",34,43,21,5,48,3,154,272
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 75","Charny",32,78,26,6,69,4,215,388
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 76","Charny",34,73,27,4,104,6,248,390
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 77","Charny",46,112,40,12,75,4,289,473
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 78","Charny",49,72,20,7,64,5,217,453
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 79","Charny",37,73,27,4,64,2,207,362
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 80","Charny",34,89,34,2,53,9,221,379
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 81","Charny",29,99,31,2,58,3,222,441
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 82","Charny",21,39,14,5,46,2,127,273
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 83","Charny",37,66,28,3,47,2,183,394
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 84","Charny",29,62,22,7,39,2,161,303
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 85","Charny",29,65,25,6,64,4,193,321
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 86","Charny",25,73,15,5,47,1,166,325
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 87","Charny",27,51,28,1,57,9,173,324
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 88","Charny",30,51,19,6,33,3,142,308
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 89","Charny",38,69,39,8,66,2,222,419
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 90","Charny",36,65,31,6,50,3,191,367
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 91","Charny",31,61,20,3,60,2,177,344
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 92","Charny",26,64,27,5,65,4,191,367
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 93","Charny",31,48,21,7,54,0,161,314
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 94","Charny",44,89,23,4,51,3,214,432
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 95","Saint-Jean-Chrysostome",40,117,18,5,35,6,221,468
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 95-1","Saint-Jean-Chrysostome",45,192,36,7,74,9,363,575
