Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean Beaupré,Denis Blanchette,Michelle Fontaine,Luc Harvey,Stefan Jetchick,Pascal-Pierre Paillé,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24037,"Louis-Hébert/Louis-Hébert"," 611","Sainte-Foy",178,22,10,167,1,156,1,535,
24037,"Louis-Hébert/Louis-Hébert"," 612","Sainte-Foy",165,8,3,119,1,142,0,438,
24037,"Louis-Hébert/Louis-Hébert"," 613","Sainte-Foy",93,10,4,118,0,85,0,310,
24037,"Louis-Hébert/Louis-Hébert"," 614","Sainte-Foy",37,8,4,70,2,74,2,197,
24037,"Louis-Hébert/Louis-Hébert"," 615","Sainte-Foy",133,25,6,204,1,190,6,565,
24037,"Louis-Hébert/Louis-Hébert"," 616","Sainte-Foy",88,19,11,104,0,89,3,314,
24037,"Louis-Hébert/Louis-Hébert"," 617","Sainte-Foy",150,16,7,186,0,218,2,579,
24037,"Louis-Hébert/Louis-Hébert"," 618","Sainte-Foy",114,19,8,187,1,133,5,467,
24037,"Louis-Hébert/Louis-Hébert"," 619","Sainte-Foy",205,19,5,271,1,156,3,660,
24037,"Louis-Hébert/Louis-Hébert"," 620","Sainte-Foy",121,22,5,196,0,148,1,493,
24037,"Louis-Hébert/Louis-Hébert"," 621","Sainte-Foy",40,12,8,147,0,97,0,304,
24037,"Louis-Hébert/Louis-Hébert"," 622","Cap-Rouge",90,16,9,120,0,179,2,416,
24037,"Louis-Hébert/Louis-Hébert"," 623","Cap-Rouge",63,30,4,150,0,171,2,420,
24037,"Louis-Hébert/Louis-Hébert"," 624","Cap-Rouge",58,22,10,122,0,122,0,334,
24037,"Louis-Hébert/Louis-Hébert"," 625","Cap-Rouge",133,35,12,232,1,218,3,634,
24037,"Louis-Hébert/Louis-Hébert",,Group 1/Groupe 1,32,17,5,121,1,54,4,234,520
24037,"Louis-Hébert/Louis-Hébert",,Group 2/Groupe 2,96,29,16,190,2,212,10,555,

