Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marie Crawford,Sharon Howarth,Andrew Lang,Jack Layton,Christina Perreault,John Richardson,Marcell Rodden,Bahman Yazdanfar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35094,"Toronto--Danforth/Toronto--Danforth"," 165","Toronto",0,33,87,122,15,0,0,0,1,258,469
35094,"Toronto--Danforth/Toronto--Danforth"," 166","Toronto",0,35,60,173,19,0,0,0,0,287,466
35094,"Toronto--Danforth/Toronto--Danforth"," 167","Toronto",2,36,72,126,22,1,0,0,1,260,474
35094,"Toronto--Danforth/Toronto--Danforth"," 168","Toronto",0,34,65,118,36,0,0,1,2,256,468
35094,"Toronto--Danforth/Toronto--Danforth"," 169","Toronto",3,28,43,106,40,1,1,0,0,222,475
35094,"Toronto--Danforth/Toronto--Danforth"," 170","Toronto",0,30,55,101,27,0,0,0,1,214,439
35094,"Toronto--Danforth/Toronto--Danforth"," 171","Toronto",1,28,54,113,24,0,0,0,0,220,459
35094,"Toronto--Danforth/Toronto--Danforth"," 172","Toronto",2,31,64,97,23,0,0,0,1,218,408
35094,"Toronto--Danforth/Toronto--Danforth"," 173","Toronto",0,37,60,124,21,2,1,0,0,245,489
35094,"Toronto--Danforth/Toronto--Danforth"," 174","Toronto",1,60,65,140,39,0,0,0,0,305,540
35094,"Toronto--Danforth/Toronto--Danforth"," 175","Toronto",1,46,69,153,38,5,1,0,0,313,594
35094,"Toronto--Danforth/Toronto--Danforth"," 176","Toronto",0,43,46,103,27,1,1,0,0,221,414
35094,"Toronto--Danforth/Toronto--Danforth"," 177","Toronto",1,43,55,120,40,1,1,1,0,262,441
35094,"Toronto--Danforth/Toronto--Danforth"," 178","Toronto",0,14,50,107,17,1,0,0,0,189,380
35094,"Toronto--Danforth/Toronto--Danforth"," 179","Toronto",2,30,45,133,27,0,1,0,0,238,481
35094,"Toronto--Danforth/Toronto--Danforth"," 180","Toronto",0,16,32,86,18,0,0,0,1,153,366
35094,"Toronto--Danforth/Toronto--Danforth"," 400","Toronto",1,4,14,17,8,0,0,0,0,44,51
35094,"Toronto--Danforth/Toronto--Danforth"," 401","Toronto",0,3,20,12,5,0,0,0,0,40,49
35094,"Toronto--Danforth/Toronto--Danforth"," 402","Toronto",2,23,56,83,22,0,1,0,2,189,230
35094,"Toronto--Danforth/Toronto--Danforth"," 600","East York",1,46,133,217,68,1,1,0,3,470,
35094,"Toronto--Danforth/Toronto--Danforth"," 601","East York",1,46,130,185,91,3,0,0,0,456,
35094,"Toronto--Danforth/Toronto--Danforth"," 602","East York",1,35,96,153,49,3,1,0,2,340,
35094,"Toronto--Danforth/Toronto--Danforth"," 603","Toronto",1,66,184,235,58,1,0,1,0,546,
35094,"Toronto--Danforth/Toronto--Danforth"," 604","Toronto",0,67,159,185,37,3,0,0,1,452,
35094,"Toronto--Danforth/Toronto--Danforth"," 605","Toronto",2,56,135,278,51,0,1,3,3,529,
35094,"Toronto--Danforth/Toronto--Danforth"," 606","Toronto",0,80,170,241,44,1,1,0,1,538,
35094,"Toronto--Danforth/Toronto--Danforth"," 607","Toronto",1,60,147,229,46,0,0,0,2,485,
35094,"Toronto--Danforth/Toronto--Danforth"," 608","Toronto",1,61,92,236,48,0,0,0,0,438,
35094,"Toronto--Danforth/Toronto--Danforth",,Group 1/Groupe 1,0,11,31,45,18,0,0,0,9,114,152
35094,"Toronto--Danforth/Toronto--Danforth",,Group 2/Groupe 2,4,74,149,278,64,0,1,0,6,576,

