Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alex Atamanenko,Brenda Jagpal,Andy Morel,Brian Sproule,Rob Zandee,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 600","Princeton",129,9,11,1,159,1,310,
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 601","Keremeos",92,12,11,1,196,0,312,
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 602","Oliver",154,47,12,1,327,1,542,
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 603","Osoyoos",135,47,34,0,387,3,606,
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 604","Grand Forks",321,28,52,0,292,2,695,
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 605","Rossland",85,25,32,0,54,0,196,
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 606","Appledale--Crescent Valley",127,4,18,0,35,0,184,
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 607","Castlegar--Kootenay Boundary",367,38,32,0,239,0,676,
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 608","Kaslo--Slocan",47,8,16,1,49,0,121,
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 609","Nelson--Central Kootenay",325,20,55,1,152,2,555,
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 610","Salmo--Trail",208,40,19,1,224,3,495,
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 611","Rock Creek",26,3,5,0,58,1,93,
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 612","New Denver",62,5,15,0,31,0,113,
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 613","Willow Point--Balfour",112,23,21,0,76,0,232,
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 614","Fruitvale--Salmo",59,21,11,0,79,0,170,
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior",,Group 1/Groupe 1,21,15,6,0,28,7,77,143
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior",,Group 2/Groupe 2,457,64,94,3,377,14,1009,

