Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stella Ambler,Frank Chilelli,Gurbax S. Malhi,Mark Pajot,Jash Puniya,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 103","Brampton",92,2,54,22,34,0,204,525
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 104","Brampton",121,1,49,20,22,0,213,409
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 105","Brampton",81,0,50,11,20,0,162,371
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 106","Brampton",104,0,58,12,30,1,205,407
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 107","Brampton",59,0,18,12,19,1,109,213
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 108","Brampton",85,1,58,12,27,0,183,379
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 109","Brampton",96,0,46,22,37,2,203,535
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 110","Brampton",64,0,20,16,11,1,112,229
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 111","Brampton",Void/Supprimé,,,,,,,
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 112","Brampton",60,1,45,14,28,1,149,452
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 113","Brampton",21,0,30,2,8,0,61,185
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 114","Brampton",92,0,80,14,28,1,215,460
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 115","Brampton",106,1,42,11,24,2,186,324
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 116","Brampton",121,0,46,14,17,1,199,385
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 117","Brampton",122,0,61,11,28,0,222,424
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 118","Brampton",36,1,83,3,19,0,142,394
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 119","Brampton",34,1,83,4,16,0,138,361
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 120","Brampton",63,0,63,8,22,1,157,404
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 121","Brampton",95,1,44,21,23,1,185,440
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 122","Brampton",63,1,42,15,26,0,147,321
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 123","Brampton",108,2,40,28,22,0,200,376
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 124","Brampton",97,2,53,9,24,0,185,305
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 125","Brampton",125,0,68,16,32,2,243,375
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 126","Brampton",101,0,64,12,18,2,197,381
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 127","Brampton",139,1,78,17,24,2,261,469
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 128","Mississauga",56,3,152,7,18,0,236,494
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 129","Mississauga",66,2,120,9,25,0,222,507
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 130","Mississauga",59,2,118,11,23,2,215,455
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 131","Mississauga",48,2,105,10,15,3,183,453
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 132","Mississauga",44,3,98,14,18,4,181,438
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 133","Mississauga",67,0,84,3,22,0,176,396
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 134","Mississauga",35,4,98,10,29,0,176,459
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 135","Mississauga",53,3,86,9,22,1,174,377
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 136","Mississauga",40,0,124,12,24,3,203,411
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 137","Mississauga",48,2,98,9,16,2,175,425
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 138","Mississauga",30,1,83,8,10,0,132,372
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 139","Mississauga",34,1,59,1,15,0,110,275
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 140","Mississauga",39,1,60,8,25,0,133,506
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 141","Mississauga",34,0,109,6,14,0,163,453
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 142","Mississauga",20,2,29,21,24,0,96,348
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 142-1","Mississauga",40,1,115,7,18,1,182,410
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 143","Mississauga",Void/Supprimé,,,,,,,
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 144","Mississauga",41,2,122,6,21,0,192,423
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 145","Mississauga",53,3,99,4,26,0,185,439
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 146","Mississauga",40,1,100,1,13,2,157,374
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 147","Mississauga",41,3,65,1,22,0,132,382
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 148","Mississauga",29,1,82,5,32,1,150,462
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 148-1","Mississauga",Void/Supprimé,,,,,,,
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 149","Mississauga",30,1,95,5,18,2,151,441
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 150","Mississauga",56,3,98,9,35,0,201,668
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 151A","Mississauga",22,3,98,3,9,0,135,405
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 151B","Mississauga",43,1,74,5,25,0,148,404
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 151C","Mississauga",9,2,15,0,1,0,27,159
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 152","Mississauga",17,0,81,4,11,0,113,348
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 153","Mississauga",43,0,71,11,22,1,148,407
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 154","Mississauga",42,1,137,6,17,2,205,482
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 155","Mississauga",32,4,112,6,13,0,167,498
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 156","Mississauga",30,0,70,4,21,0,125,396
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 157","Mississauga",47,3,121,4,21,5,201,518
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 158","Mississauga",44,2,120,3,24,4,197,467
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 159","Mississauga",45,3,90,6,26,2,172,391
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 160","Mississauga",51,1,108,6,28,0,194,455
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 161","Mississauga",27,0,79,9,21,1,137,335
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 162","Mississauga",37,1,80,13,21,0,152,336
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 163","Mississauga",49,1,97,5,22,0,174,411
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 164","Mississauga",50,3,116,8,24,4,205,477
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 165","Mississauga",34,0,99,5,16,1,155,465
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 166","Mississauga",28,3,120,8,19,2,180,417
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 167","Mississauga",43,5,132,8,16,0,204,423
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 168","Mississauga",58,3,76,22,40,0,199,451
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 169","Mississauga",41,3,76,6,18,0,144,315
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 170","Mississauga",51,2,93,11,16,0,173,395
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 171","Mississauga",40,0,107,8,28,5,188,523
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 172","Mississauga",50,1,60,7,19,0,137,362
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 173","Mississauga",52,2,94,11,25,0,184,485
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 174","Mississauga",63,1,56,11,19,0,150,435
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 400","Brampton",37,0,45,4,6,1,93,290
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 401","Brampton",41,1,53,4,23,0,122,322
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 402","Brampton",92,1,47,17,14,1,172,332
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 403","Brampton",63,0,49,21,27,1,161,434
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 404","Brampton",47,1,36,12,19,2,117,348
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 405","Brampton",23,0,34,3,10,0,70,391
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 406","Brampton",14,0,28,4,5,0,51,223
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 407","Brampton",57,1,46,4,9,0,117,287
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 408","Brampton",103,1,51,9,9,1,174,328
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 600","Brampton",178,5,387,17,73,2,662,
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 601","Brampton",196,3,540,22,45,4,810,
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 602","Brampton",203,2,270,22,45,4,546,
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 603","Brampton",217,0,85,28,47,1,378,
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 604","Brampton",262,3,121,33,37,1,457,
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 605","Brampton",256,4,126,24,58,4,472,
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 606","Brampton",237,7,116,35,51,1,447,
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 607","Mississauga",112,3,328,20,65,2,530,
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 608","Mississauga",119,4,323,17,50,3,516,
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton",,Group 1/Groupe 1,18,1,21,2,2,2,46,111
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton",,Group 2/Groupe 2,163,1,259,10,16,2,451,

