district_code,name_english,last_winner,incumbent_running
24073,Sherbrooke,NDP,TRUE
24074,Vaudreuil--Soulanges,Liberal,TRUE
24075,Terrebonne,Bloc,TRUE
24076,Trois-Rivières,NDP,TRUE
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Liberal,TRUE
24078,Vimy,Liberal,FALSE
35001,Ajax,Liberal,TRUE
35002,Algoma--Manitoulin--Kapuskasing,NDP,TRUE
35003,Aurora--Oak Ridges--Richmond Hill,Conservative,TRUE
35004,Barrie--Innisfil,Conservative,TRUE
35005,Barrie--Springwater--Oro-Medonte,Conservative,FALSE
35006,Bay of Quinte,Liberal,TRUE
35007,Beaches--East York,Liberal,TRUE
35008,Brampton Centre,Liberal,TRUE
35009,Brampton East,Independent,FALSE
35010,Brampton North,Liberal,TRUE
35011,Brampton South,Liberal,TRUE
35012,Brampton West,Liberal,TRUE
35013,Brantford--Brant,Conservative,TRUE
35014,Bruce--Grey--Owen Sound,Conservative,FALSE
35015,Burlington,Liberal,TRUE
35016,Cambridge,Liberal,TRUE
35017,Chatham-Kent--Leamington,Conservative,FALSE
35018,Davenport,Liberal,TRUE
35019,Don Valley East,Liberal,TRUE
35020,Don Valley North,Liberal,FALSE
35021,Don Valley West,Liberal,TRUE
35022,Dufferin--Caledon,Conservative,FALSE
35023,Durham,Conservative,TRUE
35024,Eglinton--Lawrence,Liberal,TRUE
35025,Elgin--Middlesex--London,Conservative,TRUE
35026,Essex,NDP,TRUE
35027,Etobicoke Centre,Liberal,FALSE
35028,Etobicoke--Lakeshore,Liberal,TRUE
35029,Etobicoke North,Liberal,TRUE
35030,Flamborough--Glanbrook,Conservative,TRUE
35031,Glengarry--Prescott--Russell,Liberal,TRUE
35032,Guelph,Liberal,TRUE
35033,Haldimand--Norfolk,Conservative,TRUE
35034,Haliburton--Kawartha Lakes--Brock,Conservative,TRUE
35035,Hamilton Centre,NDP,FALSE
35036,Hamilton East--Stoney Creek,Liberal,TRUE
35037,Hamilton Mountain,NDP,TRUE
35038,Hamilton West--Ancaster--Dundas,Liberal,TRUE
35039,Hastings--Lennox and Addington,Liberal,TRUE
35040,Huron--Bruce,Conservative,TRUE
35041,Kanata--Carleton,Liberal,TRUE
35042,Kenora,Liberal,TRUE
35043,King--Vaughan,Liberal,TRUE
35044,Kingston and the Islands,Liberal,TRUE
35045,Kitchener Centre,Liberal,TRUE
35046,Kitchener--Conestoga,Conservative,TRUE
35047,Kitchener South--Hespeler,Liberal,TRUE
35048,Lambton--Kent--Middlesex,Conservative,FALSE
35049,Lanark--Frontenac--Kingston,Conservative,TRUE
35050,Leeds-Grenville-Thousand Islands and Rideau Lakes,Conservative,TRUE
35051,London--Fanshawe,NDP,FALSE
35052,London North Centre,Liberal,TRUE
35053,London West,Liberal,TRUE
35054,Markham--Stouffville,Independent,TRUE
35055,Markham--Thornhill,Liberal,TRUE
