District,Poll Number,Poll Name,Dan Biocchi,Marc Godbout,Crystal Leblanc,Walter Robinson,Rejected Ballots,Total Vote,Electors
Ottawa--Orléans/Ottawa--Orléans,131,Gloucester,3,99,30,99,1,232,361
Ottawa--Orléans/Ottawa--Orléans,132,Gloucester,10,101,18,106,2,237,335
Ottawa--Orléans/Ottawa--Orléans,133,Gloucester,15,175,20,135,1,346,467
Ottawa--Orléans/Ottawa--Orléans,134,Cumberland,13,105,20,99,1,238,340
Ottawa--Orléans/Ottawa--Orléans,135,Cumberland,10,103,8,102,0,223,311
Ottawa--Orléans/Ottawa--Orléans,136,Cumberland,20,92,20,89,1,222,328
Ottawa--Orléans/Ottawa--Orléans,137,Cumberland,21,83,19,73,1,197,301
Ottawa--Orléans/Ottawa--Orléans,138,Cumberland,14,68,20,88,1,191,333
Ottawa--Orléans/Ottawa--Orléans,139,Cumberland,16,94,27,85,0,222,359
Ottawa--Orléans/Ottawa--Orléans,140,Cumberland,15,110,28,103,1,257,386
Ottawa--Orléans/Ottawa--Orléans,141,Cumberland,9,126,20,128,1,284,400
Ottawa--Orléans/Ottawa--Orléans,142,Cumberland,16,134,22,165,0,337,485
Ottawa--Orléans/Ottawa--Orléans,143,Cumberland,8,91,24,97,1,221,318
Ottawa--Orléans/Ottawa--Orléans,144,Cumberland,22,99,38,111,0,270,394
Ottawa--Orléans/Ottawa--Orléans,145,Cumberland,13,106,30,130,0,279,378
Ottawa--Orléans/Ottawa--Orléans,146,Cumberland,15,94,21,70,0,200,314
Ottawa--Orléans/Ottawa--Orléans,147A,Cumberland,5,82,19,73,0,179,283
Ottawa--Orléans/Ottawa--Orléans,147B,Cumberland,9,68,15,87,0,179,286
