District,Poll Number,Poll Name,François Boudreau,Lévis Brien,André Cardinal,Jean-François Léveque,Allen  F. MacKenzie,Benoît Sauvageau,Rejected Ballots,Total Vote,Electors
Repentigny/Repentigny,175,Repentigny,0,61,5,5,10,124,1,206,308
Repentigny/Repentigny,176,Repentigny,4,39,2,6,10,167,5,233,353
Repentigny/Repentigny,177,Repentigny,0,70,6,2,11,150,5,244,382
Repentigny/Repentigny,178,Repentigny,1,36,10,11,9,130,2,199,379
Repentigny/Repentigny,179,Repentigny,1,52,4,8,10,158,3,236,412
Repentigny/Repentigny,180,Repentigny,0,43,5,5,6,113,1,173,411
Repentigny/Repentigny,181,Charlemagne,3,59,8,18,6,170,5,269,514
Repentigny/Repentigny,182,Charlemagne,1,28,3,6,4,177,0,219,385
Repentigny/Repentigny,183,Charlemagne,1,22,10,6,1,132,5,177,302
Repentigny/Repentigny,184,Charlemagne,1,28,5,5,6,176,3,224,390
Repentigny/Repentigny,185,Charlemagne,4,17,5,1,7,157,6,197,334
Repentigny/Repentigny,186,Charlemagne,3,39,12,18,18,235,9,334,484
Repentigny/Repentigny,187,Charlemagne,1,27,3,10,10,194,3,248,389
Repentigny/Repentigny,188,Charlemagne,5,16,5,1,4,138,4,173,321
Repentigny/Repentigny,189,Charlemagne,0,29,6,7,7,125,2,176,319
Repentigny/Repentigny,190,Charlemagne,0,20,2,3,9,144,9,187,317
Repentigny/Repentigny,191,Charlemagne,1,31,5,6,17,161,6,227,387
Repentigny/Repentigny,192,Charlemagne,2,36,1,3,13,150,7,212,420
Repentigny/Repentigny,500,Mobile poll/Bureau itinérant,3,46,4,1,6,48,2,110,180
Repentigny/Repentigny,501,Mobile poll/Bureau itinérant,2,20,0,4,4,22,2,54,76
Repentigny/Repentigny,600,L'Assomption,1,13,2,3,6,85,2,112,
Repentigny/Repentigny,601,L'Épiphanie,2,33,6,3,20,150,5,219,
Repentigny/Repentigny,602,L'Assomption,2,58,14,8,24,204,5,315,
Repentigny/Repentigny,603,Saint-Sulpice,1,12,0,1,7,35,0,56,
Repentigny/Repentigny,604,Repentigny,2,60,9,9,17,180,8,285,
Repentigny/Repentigny,605,Repentigny,1,32,6,2,17,170,3,231,
Repentigny/Repentigny,606,Repentigny,6,129,16,18,43,407,9,628,
Repentigny/Repentigny,607,Repentigny,3,150,7,8,32,407,9,616,
Repentigny/Repentigny,608,Repentigny,8,160,11,7,36,330,14,566,
Repentigny/Repentigny,609,Charlemagne,1,54,5,2,15,166,7,250,
Repentigny/Repentigny,610,Repentigny,4,181,12,18,38,382,11,646,
Repentigny/Repentigny,,Group 1/Groupe 1,5,14,3,4,12,26,3,67,140
Repentigny/Repentigny,,Group 2/Groupe 2,4,122,17,6,38,434,7,628,
