District,Poll Number,Poll Name,John Bethel,Peter Goldring,Harlan Light,Ed Spronk,Janina Strudwick,Rejected Ballots,Total Vote,Electors
Edmonton East/Edmonton-Est,100,Edmonton,60,101,9,2,25,0,197,317
Edmonton East/Edmonton-Est,101,Edmonton,67,115,12,3,15,0,212,350
Edmonton East/Edmonton-Est,102,Edmonton,52,92,13,4,20,2,183,327
Edmonton East/Edmonton-Est,103,Edmonton,48,57,2,1,19,0,127,233
Edmonton East/Edmonton-Est,104,Edmonton,72,133,13,4,26,0,248,446
Edmonton East/Edmonton-Est,105,Edmonton,33,51,6,1,20,0,111,387
Edmonton East/Edmonton-Est,106,Edmonton,67,67,8,0,10,0,152,371
Edmonton East/Edmonton-Est,107,Edmonton,66,124,9,4,34,1,238,398
Edmonton East/Edmonton-Est,108,Edmonton,47,113,4,2,20,0,186,349
Edmonton East/Edmonton-Est,109,Edmonton,58,123,7,1,31,0,220,359
Edmonton East/Edmonton-Est,110,Edmonton,61,83,9,1,28,0,182,384
Edmonton East/Edmonton-Est,111,Edmonton,49,82,10,8,34,0,183,388
Edmonton East/Edmonton-Est,112,Edmonton,47,57,10,4,27,0,145,375
Edmonton East/Edmonton-Est,113,Edmonton,40,72,8,2,31,0,153,430
Edmonton East/Edmonton-Est,114,Edmonton,16,23,2,2,11,0,54,267
Edmonton East/Edmonton-Est,115,Edmonton,32,51,6,1,18,0,108,318
Edmonton East/Edmonton-Est,116,Edmonton,37,64,14,1,21,0,137,316
Edmonton East/Edmonton-Est,117,Edmonton,43,46,4,1,31,0,125,261
Edmonton East/Edmonton-Est,118,Edmonton,58,38,9,0,25,0,130,344
Edmonton East/Edmonton-Est,119,Edmonton,35,67,12,1,30,2,147,374
Edmonton East/Edmonton-Est,120,Edmonton,48,54,7,1,15,0,125,320
Edmonton East/Edmonton-Est,121,Edmonton,28,50,4,2,18,0,102,362
Edmonton East/Edmonton-Est,122,Edmonton,23,30,5,0,9,0,67,286
Edmonton East/Edmonton-Est,123,Edmonton,40,54,9,0,23,1,127,244
Edmonton East/Edmonton-Est,124,Edmonton,44,80,14,4,29,2,173,382
Edmonton East/Edmonton-Est,125,Edmonton,54,50,10,3,23,3,143,340
Edmonton East/Edmonton-Est,126,Edmonton,50,59,16,4,30,0,159,413
Edmonton East/Edmonton-Est,127,Edmonton,39,36,15,1,17,0,108,303
Edmonton East/Edmonton-Est,128,Edmonton,42,54,7,0,21,0,124,332
Edmonton East/Edmonton-Est,129,Edmonton,55,62,17,2,42,0,178,453
Edmonton East/Edmonton-Est,130,Edmonton,46,70,14,3,30,1,164,462
Edmonton East/Edmonton-Est,131,Edmonton,41,73,16,1,23,2,156,403
Edmonton East/Edmonton-Est,132,Edmonton,50,43,10,1,24,1,129,388
Edmonton East/Edmonton-Est,133,Edmonton,27,35,8,2,24,2,98,360
Edmonton East/Edmonton-Est,134,Edmonton,27,37,9,2,22,0,97,224
Edmonton East/Edmonton-Est,135,Edmonton,43,65,18,3,35,1,165,437
Edmonton East/Edmonton-Est,136,Edmonton,29,78,10,2,40,0,159,472
Edmonton East/Edmonton-Est,137,Edmonton,52,114,10,3,35,0,214,348
Edmonton East/Edmonton-Est,138,Edmonton,77,130,8,3,37,0,255,498
Edmonton East/Edmonton-Est,139,Edmonton,32,72,4,1,22,1,132,269
Edmonton East/Edmonton-Est,140,Edmonton,65,125,8,3,35,0,236,401
Edmonton East/Edmonton-Est,141,Edmonton,45,110,14,0,24,0,193,371
Edmonton East/Edmonton-Est,142,Edmonton,38,112,9,1,30,1,191,357
Edmonton East/Edmonton-Est,143,Edmonton,33,50,7,1,33,1,125,311
Edmonton East/Edmonton-Est,144,Edmonton,40,48,14,6,36,1,145,419
Edmonton East/Edmonton-Est,145,Edmonton,16,32,6,2,25,0,81,189
Edmonton East/Edmonton-Est,146,Edmonton,45,80,19,1,43,0,188,332
Edmonton East/Edmonton-Est,147,Edmonton,42,76,14,1,31,1,165,382
Edmonton East/Edmonton-Est,148,Edmonton,36,78,15,1,20,0,150,271
Edmonton East/Edmonton-Est,149,Edmonton,40,60,3,4,16,1,124,268
Edmonton East/Edmonton-Est,150,Edmonton,30,56,3,1,31,0,121,257
Edmonton East/Edmonton-Est,151,Edmonton,34,92,17,1,43,2,189,392
Edmonton East/Edmonton-Est,152,Edmonton,26,113,9,1,30,1,180,373
Edmonton East/Edmonton-Est,153,Edmonton,72,103,18,8,47,1,249,408
Edmonton East/Edmonton-Est,154,Edmonton,47,77,7,5,30,0,166,304
Edmonton East/Edmonton-Est,155,Edmonton,43,97,15,0,36,0,191,428
Edmonton East/Edmonton-Est,156,Edmonton,59,106,24,2,33,1,225,382
Edmonton East/Edmonton-Est,157,Edmonton,32,100,7,3,35,1,178,347
Edmonton East/Edmonton-Est,158,Edmonton,42,134,13,5,41,0,235,409
Edmonton East/Edmonton-Est,159,Edmonton,46,109,3,16,20,1,195,352
Edmonton East/Edmonton-Est,160,Edmonton,32,36,15,1,14,0,98,271
Edmonton East/Edmonton-Est,161,Edmonton,54,70,6,0,44,0,174,424
Edmonton East/Edmonton-Est,162,Edmonton,51,131,15,11,57,1,266,529
Edmonton East/Edmonton-Est,163,Edmonton,32,82,5,6,20,0,145,305
Edmonton East/Edmonton-Est,164,Edmonton,22,83,7,1,40,0,153,310
Edmonton East/Edmonton-Est,165,Edmonton,42,52,16,1,27,4,142,375
Edmonton East/Edmonton-Est,166,Edmonton,27,18,13,1,21,0,80,404
Edmonton East/Edmonton-Est,167,Edmonton,27,81,9,5,30,0,152,338
Edmonton East/Edmonton-Est,168,Edmonton,36,82,5,4,23,1,151,358
