District,Poll Number,Poll Name,Almaz Aladass,Fernand Deschamps,Stéphane Dion,William Fayad,Ken Fernandez,Zaid Mahayni,Alex Neron,Marc Rahmé,Nilda Vargas,Rejected Ballots,Total Vote,Electors
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,95,Saint-Laurent,6,0,114,90,0,17,3,14,1,6,251,539
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,96,Saint-Laurent,Merged with No. 97,,,,,,,,,,,88
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,97,Saint-Laurent,11,0,97,128,0,15,3,8,0,3,265,419
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,98A,Saint-Laurent,1,0,81,56,0,18,4,8,0,2,170,334
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,98B,Saint-Laurent,4,2,85,35,1,16,2,10,0,6,161,304
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,99,Saint-Laurent,3,1,120,49,2,20,1,8,1,1,206,422
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,100,Saint-Laurent,9,0,94,60,0,19,2,8,0,3,195,350
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,101,Saint-Laurent,19,4,131,90,0,35,1,11,2,5,298,454
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,102,Saint-Laurent,14,0,132,136,1,17,3,21,2,4,330,544
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,103,Saint-Laurent,1,1,133,60,0,11,1,14,0,2,223,505
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,104A,Saint-Laurent,6,2,181,69,0,12,2,13,0,0,285,510
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,104B,Saint-Laurent,10,0,185,82,0,11,0,15,0,5,308,568
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,105A,Saint-Laurent,2,0,87,42,1,10,0,10,0,1,153,305
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,105B,Saint-Laurent,7,0,111,36,0,12,2,23,0,4,195,347
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,106,Saint-Laurent,6,1,179,85,1,15,2,29,0,1,319,585
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,107,Saint-Laurent,4,1,182,20,0,11,0,9,0,3,230,595
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,108,Saint-Laurent,3,1,154,15,1,6,0,8,0,0,188,483
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,109A,Saint-Laurent,4,2,152,10,2,8,2,4,0,2,186,358
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,109B,Saint-Laurent,1,0,113,7,1,6,0,7,0,1,136,283
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,110A,Saint-Laurent,9,0,101,49,0,10,5,12,0,1,187,369
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,110B,Saint-Laurent,10,0,139,45,0,7,3,11,0,0,215,419
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,111,Saint-Laurent,1,0,58,8,0,14,1,7,0,3,92,269
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,112,Saint-Laurent,2,0,150,8,0,6,0,12,0,0,178,386
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,113,Saint-Laurent,3,0,124,10,0,10,2,11,1,0,161,404
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,114,Saint-Laurent,3,1,160,38,0,12,0,14,0,3,231,468
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,115,Saint-Laurent,10,0,164,17,0,14,1,14,0,2,222,458
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,116,Saint-Laurent,8,0,130,45,0,20,1,10,0,4,218,371
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,117,Saint-Laurent,2,1,187,11,0,9,0,11,0,0,221,434
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,118,Saint-Laurent,6,0,170,19,0,4,0,12,0,0,211,448
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,119,Saint-Laurent,5,0,139,24,0,7,1,9,0,1,186,359
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,120,Saint-Laurent,5,3,160,14,1,3,3,11,1,2,203,405
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,121,Saint-Laurent,3,0,112,13,0,10,3,12,0,2,155,475
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,122,Saint-Laurent,5,0,136,11,1,9,1,18,0,4,185,381
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,123,Saint-Laurent,2,1,109,11,2,11,1,8,0,1,146,358
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,124,Saint-Laurent,0,0,133,8,1,7,3,14,0,2,168,396
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,125,Saint-Laurent,5,0,129,19,0,10,4,13,1,2,183,410
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,126,Saint-Laurent,1,0,164,6,1,6,1,9,1,0,189,286
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,127,Saint-Laurent,4,0,220,4,0,9,2,3,0,0,242,425
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,128,Saint-Laurent,1,0,187,9,0,8,1,12,0,4,222,429
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,129,Saint-Laurent,5,0,161,7,0,13,2,17,0,1,206,365
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,130,Saint-Laurent,4,1,178,0,0,4,0,11,1,0,199,381
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,131,Saint-Laurent,7,0,171,16,0,16,1,14,0,0,225,634
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,132,Saint-Laurent,0,0,24,2,0,4,0,2,0,0,32,133
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,133,Saint-Laurent,2,0,129,10,0,21,0,14,6,2,184,534
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,134,Saint-Laurent,4,1,132,18,0,4,2,17,0,0,178,507
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,135,Saint-Laurent,0,0,92,8,0,7,1,14,0,0,122,295
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,136,Saint-Laurent,1,1,110,8,1,7,1,14,0,2,145,377
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,137,Saint-Laurent,1,1,151,20,0,26,1,9,2,2,213,402
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,138,Saint-Laurent,1,3,93,2,1,5,2,4,1,1,113,301
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,139A,Saint-Laurent,0,0,110,13,0,4,0,11,0,1,139,341
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,139B,Saint-Laurent,3,0,86,7,0,4,0,14,1,1,116,305
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,140,Saint-Laurent,1,1,86,7,0,12,2,7,1,1,118,312
