District,Poll Number,Poll Name,Ed Broadbent,David Chernushenko,Carla Marie Dancey,Michael Foster,Robert G. Gauthier,Louis Lang,Richard Mahoney,Mike Murphy,Stuart Ryan,Rejected Ballots,Total Vote,Electors
Ottawa Centre/Ottawa-Centre,197,Ottawa,39,11,0,0,0,0,88,54,0,0,192,347
Ottawa Centre/Ottawa-Centre,198,Ottawa,95,16,0,0,0,0,99,44,0,1,255,415
Ottawa Centre/Ottawa-Centre,199,Ottawa,71,32,0,2,1,0,66,32,0,2,206,387
Ottawa Centre/Ottawa-Centre,200,Ottawa,76,23,0,0,0,0,76,50,0,0,225,429
Ottawa Centre/Ottawa-Centre,201,Ottawa,139,24,0,0,1,0,75,34,0,3,276,464
Ottawa Centre/Ottawa-Centre,202,Ottawa,71,20,0,2,0,0,73,24,0,0,190,378
Ottawa Centre/Ottawa-Centre,203,Ottawa,114,25,0,2,1,1,116,43,0,0,302,440
Ottawa Centre/Ottawa-Centre,204,Ottawa,124,33,0,1,0,0,74,38,0,1,271,386
Ottawa Centre/Ottawa-Centre,205,Ottawa,87,21,0,0,1,0,83,75,0,0,267,420
Ottawa Centre/Ottawa-Centre,206,Ottawa,105,17,0,1,0,0,102,38,0,0,263,422
Ottawa Centre/Ottawa-Centre,207,Ottawa,115,18,0,1,0,0,66,37,0,0,237,336
Ottawa Centre/Ottawa-Centre,208,Ottawa,113,21,1,1,0,0,69,38,0,1,244,365
Ottawa Centre/Ottawa-Centre,209,Ottawa,136,21,0,0,0,0,63,29,0,0,249,346
Ottawa Centre/Ottawa-Centre,210,Ottawa,114,13,0,2,1,0,81,29,0,0,240,408
Ottawa Centre/Ottawa-Centre,211,Ottawa,150,45,0,2,1,0,88,34,0,0,320,439
Ottawa Centre/Ottawa-Centre,212A,Ottawa,134,27,0,1,1,0,46,27,1,1,238,349
Ottawa Centre/Ottawa-Centre,212B,Ottawa,21,1,0,0,0,0,31,19,0,6,78,148
Ottawa Centre/Ottawa-Centre,213,Ottawa,131,37,0,1,0,1,57,26,1,0,254,371
Ottawa Centre/Ottawa-Centre,214,Ottawa,118,20,0,1,0,0,53,33,0,2,227,341
Ottawa Centre/Ottawa-Centre,215,Ottawa,145,36,0,1,0,0,75,33,0,0,290,425
Ottawa Centre/Ottawa-Centre,216,Ottawa,103,17,0,0,0,0,47,39,1,1,208,298
Ottawa Centre/Ottawa-Centre,217,Ottawa,87,31,0,2,0,0,61,23,0,0,204,308
Ottawa Centre/Ottawa-Centre,218,Ottawa,99,22,0,2,0,1,32,28,0,0,184,231
Ottawa Centre/Ottawa-Centre,219,Ottawa,107,32,0,1,0,0,40,27,1,0,208,281
Ottawa Centre/Ottawa-Centre,220,Ottawa,133,27,0,4,0,0,62,26,0,1,253,359
Ottawa Centre/Ottawa-Centre,400,Ottawa,42,6,0,0,1,0,33,31,0,0,113,154
Ottawa Centre/Ottawa-Centre,401,Ottawa,90,30,0,4,0,0,114,44,4,0,286,463
Ottawa Centre/Ottawa-Centre,402,Ottawa,51,5,0,0,1,0,47,26,0,1,131,234
Ottawa Centre/Ottawa-Centre,403,Ottawa,68,16,0,3,0,0,56,26,0,0,169,433
Ottawa Centre/Ottawa-Centre,404,Ottawa,43,14,0,1,0,0,52,23,0,0,133,262
Ottawa Centre/Ottawa-Centre,405,Ottawa,53,3,0,3,0,0,80,12,0,1,152,411
Ottawa Centre/Ottawa-Centre,406,Ottawa,78,11,0,0,1,0,39,23,0,1,153,228
Ottawa Centre/Ottawa-Centre,407,Ottawa,7,0,0,0,0,0,5,0,0,0,12,12
Ottawa Centre/Ottawa-Centre,408,Ottawa,Merged with No. 407,,,,,,,,,,,1
Ottawa Centre/Ottawa-Centre,409,Ottawa,Merged with No. 407,,,,,,,,,,,1
Ottawa Centre/Ottawa-Centre,410,Ottawa,Merged with No. 407,,,,,,,,,,,1
Ottawa Centre/Ottawa-Centre,411,Ottawa,Merged with No. 407,,,,,,,,,,,2
Ottawa Centre/Ottawa-Centre,412,Ottawa,55,11,2,0,0,0,61,45,0,2,176,365
Ottawa Centre/Ottawa-Centre,413,Ottawa,54,13,0,1,0,0,61,49,0,0,178,318
Ottawa Centre/Ottawa-Centre,414,Ottawa,53,8,1,1,0,0,48,37,0,0,148,341
Ottawa Centre/Ottawa-Centre,415,Ottawa,46,10,0,1,0,0,63,48,0,1,169,326
Ottawa Centre/Ottawa-Centre,416,Ottawa,41,12,0,1,3,0,38,20,1,0,116,300
Ottawa Centre/Ottawa-Centre,417,Ottawa,30,1,0,2,0,0,28,26,0,4,91,252
Ottawa Centre/Ottawa-Centre,418,Ottawa,27,2,2,0,1,6,79,31,1,1,150,284
