District,Poll Number,Poll Name,Dominique Boyer,Johanne Deschamps,Guillaume Desjardins,Jacques Léger,Brendan Naef,Rejected Ballots,Total Vote,Electors
Laurentides--Labelle/Laurentides--Labelle,205A,Sainte-Anne-des-Lacs,59,80,6,8,2,1,156,247
Laurentides--Labelle/Laurentides--Labelle,205B,Sainte-Anne-des-Lacs,58,72,5,7,11,4,157,273
Laurentides--Labelle/Laurentides--Labelle,500,Mobile poll/Bureau itinérant,8,3,1,0,1,0,13,28
Laurentides--Labelle/Laurentides--Labelle,501,Mobile poll/Bureau itinérant,19,4,4,0,0,2,29,31
Laurentides--Labelle/Laurentides--Labelle,502,Mobile poll/Bureau itinérant,15,10,2,0,0,1,28,57
Laurentides--Labelle/Laurentides--Labelle,503,Mobile poll/Bureau itinérant,32,18,4,1,1,5,61,59
Laurentides--Labelle/Laurentides--Labelle,504,Mobile poll/Bureau itinérant,35,22,4,1,1,1,64,73
Laurentides--Labelle/Laurentides--Labelle,505,Mobile poll/Bureau itinérant,22,12,2,1,0,1,38,39
Laurentides--Labelle/Laurentides--Labelle,506,Mobile poll/Bureau itinérant,9,11,2,0,0,0,22,22
Laurentides--Labelle/Laurentides--Labelle,507,Mobile poll/Bureau itinérant,20,20,1,0,0,1,42,48
Laurentides--Labelle/Laurentides--Labelle,508,Mobile poll/Bureau itinérant,19,10,4,0,0,0,33,33
Laurentides--Labelle/Laurentides--Labelle,600,Ferme-Neuve,32,129,13,4,4,3,185,
Laurentides--Labelle/Laurentides--Labelle,601,Des Ruisseaux,26,138,12,2,1,2,181,
Laurentides--Labelle/Laurentides--Labelle,602,Mont-Laurier (1),24,107,8,1,5,0,145,
Laurentides--Labelle/Laurentides--Labelle,603,Mont-Laurier (2),35,103,5,1,3,4,151,
Laurentides--Labelle/Laurentides--Labelle,604,Lac-du-Cerf,19,53,7,1,3,1,84,
Laurentides--Labelle/Laurentides--Labelle,605,Beaux-Rivages,24,75,8,4,2,2,115,
Laurentides--Labelle/Laurentides--Labelle,606,Rivière-Rouge,50,104,18,4,3,1,180,
Laurentides--Labelle/Laurentides--Labelle,607,L'Annonciation,64,84,21,5,1,0,175,
Laurentides--Labelle/Laurentides--Labelle,608,LaBelle,53,120,9,3,11,2,198,
Laurentides--Labelle/Laurentides--Labelle,609,Mont-Tremblant (1),60,60,7,9,3,3,142,
Laurentides--Labelle/Laurentides--Labelle,610,Mont-Tremblant (2),91,127,17,9,11,9,264,
Laurentides--Labelle/Laurentides--Labelle,611,Huberdeau,50,59,6,4,4,3,126,
Laurentides--Labelle/Laurentides--Labelle,612,Saint-Faustin-Lac-Carré,50,137,13,8,1,1,210,
Laurentides--Labelle/Laurentides--Labelle,613,Saint-Agathe-des-Monts (1),105,133,33,12,8,2,293,
Laurentides--Labelle/Laurentides--Labelle,614,Saint-Agathe-des-Monts (2),159,240,41,8,10,9,467,
Laurentides--Labelle/Laurentides--Labelle,615,Val-David--Val-Morin,155,216,42,18,18,1,450,
Laurentides--Labelle/Laurentides--Labelle,616,Sainte-Marguerite--Mont-Rolland,85,108,15,10,5,4,227,
Laurentides--Labelle/Laurentides--Labelle,617,Sainte-Adèle,216,196,38,12,17,4,483,
Laurentides--Labelle/Laurentides--Labelle,618,Saint-Sauveur (1),219,125,36,11,2,0,393,
Laurentides--Labelle/Laurentides--Labelle,619,Saint-Sauveur (2),128,127,36,5,14,2,312,
Laurentides--Labelle/Laurentides--Labelle,620,Piedmont--Sainte-Anne-des-Lacs,179,144,34,11,6,1,375,
Laurentides--Labelle/Laurentides--Labelle,,Group 1/Groupe 1,25,46,14,7,4,3,99,186
Laurentides--Labelle/Laurentides--Labelle,,Group 2/Groupe 2,584,671,97,58,30,37,1477,
