District,Poll Number,Poll Name,Dorian Baxter,Ed Chudak,Martha Hall Findlay,Belinda Stronach,Daryl Wyatt,Rejected Ballots,Total Vote,Electors
Newmarket--Aurora/Newmarket--Aurora,400,Aurora,0,11,30,49,9,1,100,308
Newmarket--Aurora/Newmarket--Aurora,500,Mobile poll/Bureau itinérant,4,11,61,73,5,4,158,218
Newmarket--Aurora/Newmarket--Aurora,501,Mobile poll/Bureau itinérant,5,8,31,19,1,1,65,204
Newmarket--Aurora/Newmarket--Aurora,502,Mobile poll/Bureau itinérant,2,9,25,29,1,3,69,156
Newmarket--Aurora/Newmarket--Aurora,503,Mobile poll/Bureau itinérant,10,6,25,39,3,3,86,226
Newmarket--Aurora/Newmarket--Aurora,600,Newmarket,4,42,155,224,10,0,435,
Newmarket--Aurora/Newmarket--Aurora,601,Newmarket,6,31,148,217,12,2,416,
Newmarket--Aurora/Newmarket--Aurora,602,Newmarket,10,48,178,244,19,6,505,
Newmarket--Aurora/Newmarket--Aurora,603,Newmarket,15,66,192,268,17,2,560,
Newmarket--Aurora/Newmarket--Aurora,604,Newmarket,5,63,172,312,25,2,579,
Newmarket--Aurora/Newmarket--Aurora,605,Aurora,10,52,297,436,39,1,835,
Newmarket--Aurora/Newmarket--Aurora,606,Aurora,3,67,274,378,25,0,747,
Newmarket--Aurora/Newmarket--Aurora,607,Aurora,11,62,319,457,40,2,891,
Newmarket--Aurora/Newmarket--Aurora,,Group 1/Groupe 1,2,6,23,21,3,2,57,134
Newmarket--Aurora/Newmarket--Aurora,,Group 2/Groupe 2,10,73,240,317,23,5,668,
