District,Poll Number,Poll Name,Roy Cullen,Anna Di Carlo,Mir Kamal,Cesar Martello,Rupinder Nannar,George Szebik,William Ubbens,Rejected Ballots,Total Vote,Electors
Etobicoke North/Etobicoke-Nord,121,Etobicoke,156,7,5,24,45,1,4,0,242,450
Etobicoke North/Etobicoke-Nord,122,Etobicoke,165,5,4,32,47,2,7,1,263,567
Etobicoke North/Etobicoke-Nord,123,Etobicoke,68,0,7,12,39,0,0,2,128,247
Etobicoke North/Etobicoke-Nord,124,Etobicoke,139,2,4,26,54,3,5,1,234,412
Etobicoke North/Etobicoke-Nord,125,Etobicoke,85,0,3,17,20,3,4,0,132,287
Etobicoke North/Etobicoke-Nord,126,Etobicoke,118,1,3,21,25,3,9,0,180,326
Etobicoke North/Etobicoke-Nord,127,Etobicoke,164,3,3,25,38,4,4,2,243,397
Etobicoke North/Etobicoke-Nord,128,Etobicoke,136,2,6,17,37,0,4,0,202,364
Etobicoke North/Etobicoke-Nord,129,Etobicoke,61,1,1,30,24,1,1,0,119,283
Etobicoke North/Etobicoke-Nord,130,Etobicoke,74,1,5,20,29,3,0,0,132,303
Etobicoke North/Etobicoke-Nord,131,Etobicoke,61,2,4,22,32,1,5,1,128,340
Etobicoke North/Etobicoke-Nord,132,Etobicoke,73,0,3,19,22,2,9,1,129,279
Etobicoke North/Etobicoke-Nord,400,Etobicoke,106,1,2,11,10,1,0,0,131,304
Etobicoke North/Etobicoke-Nord,401,Etobicoke,92,1,4,26,12,0,2,0,137,327
Etobicoke North/Etobicoke-Nord,402,Etobicoke,96,1,3,15,20,1,1,0,137,356
Etobicoke North/Etobicoke-Nord,403,Etobicoke,114,1,1,17,22,1,4,0,160,356
Etobicoke North/Etobicoke-Nord,404,Etobicoke,92,1,3,24,43,7,2,2,174,389
Etobicoke North/Etobicoke-Nord,405,Etobicoke,68,0,0,12,11,1,5,2,99,231
Etobicoke North/Etobicoke-Nord,406,Etobicoke,47,0,2,18,16,0,2,1,86,238
Etobicoke North/Etobicoke-Nord,407,Etobicoke,82,1,2,17,22,3,2,0,129,259
Etobicoke North/Etobicoke-Nord,408,Etobicoke,82,1,3,12,28,6,3,0,135,344
Etobicoke North/Etobicoke-Nord,409,Etobicoke,19,1,2,5,6,0,0,0,33,108
Etobicoke North/Etobicoke-Nord,410,Etobicoke,63,1,0,6,8,0,5,1,84,187
Etobicoke North/Etobicoke-Nord,411,Etobicoke,41,1,0,5,7,1,1,1,57,92
Etobicoke North/Etobicoke-Nord,412,Etobicoke,61,0,0,14,20,0,4,2,101,216
Etobicoke North/Etobicoke-Nord,413,Etobicoke,Merged with No. 412,,,,,,,,,6
Etobicoke North/Etobicoke-Nord,414,Etobicoke,34,0,1,9,9,2,1,0,56,216
