District,Poll Number,Poll Name,Malcolm Azania,Debby Carlson,Dave Dowling,Kevan Hunter,Rahim Jaffer,Cameron Wakefield,Rejected Ballots,Total Vote,Electors
Edmonton--Strathcona/Edmonton--Strathcona,501,Mobile poll/Bureau itinérant,14,31,1,0,42,7,2,97,152
Edmonton--Strathcona/Edmonton--Strathcona,502,Mobile poll/Bureau itinérant,10,30,1,2,38,7,2,90,141
Edmonton--Strathcona/Edmonton--Strathcona,503,Mobile poll/Bureau itinérant,14,28,1,2,30,2,3,80,135
Edmonton--Strathcona/Edmonton--Strathcona,504,Mobile poll/Bureau itinérant,11,19,2,0,39,3,0,74,87
Edmonton--Strathcona/Edmonton--Strathcona,505,Mobile poll/Bureau itinérant,9,17,2,2,18,1,2,51,87
Edmonton--Strathcona/Edmonton--Strathcona,506,Mobile poll/Bureau itinérant,7,26,1,1,44,2,2,83,120
Edmonton--Strathcona/Edmonton--Strathcona,507,Mobile poll/Bureau itinérant,9,43,2,3,53,2,1,113,147
Edmonton--Strathcona/Edmonton--Strathcona,600,Edmonton,99,114,0,0,87,26,0,326,
Edmonton--Strathcona/Edmonton--Strathcona,601,Edmonton,178,135,3,0,198,20,3,537,
Edmonton--Strathcona/Edmonton--Strathcona,602,Edmonton,60,149,5,1,265,25,3,508,
Edmonton--Strathcona/Edmonton--Strathcona,603,Edmonton,82,213,2,1,272,35,0,605,
Edmonton--Strathcona/Edmonton--Strathcona,604,Edmonton,56,129,1,0,255,27,1,469,
Edmonton--Strathcona/Edmonton--Strathcona,605,Edmonton,69,63,3,0,119,31,0,285,
Edmonton--Strathcona/Edmonton--Strathcona,606,Edmonton,128,70,2,0,149,24,5,378,
Edmonton--Strathcona/Edmonton--Strathcona,607,Edmonton,118,159,0,0,139,27,1,444,
Edmonton--Strathcona/Edmonton--Strathcona,608,Edmonton,77,176,1,1,263,34,1,553,
Edmonton--Strathcona/Edmonton--Strathcona,609,Edmonton,62,123,5,0,239,28,2,459,
Edmonton--Strathcona/Edmonton--Strathcona,,Group 1/Groupe 1,36,49,4,2,59,5,3,158,257
Edmonton--Strathcona/Edmonton--Strathcona,,Group 2/Groupe 2,286,264,5,0,383,56,6,1000,
