District,Poll Number,Poll Name,Joe Fontana,Tim Gatten,Gustavo Granados-Ocon,Bronagh Joyce Morgan,Rod Morley,Joe Swan,Rejected Ballots,Total Vote,Electors
London North Centre/London-Centre-Nord,138,London,111,54,1,17,0,77,0,260,440
London North Centre/London-Centre-Nord,139,London,95,53,1,9,2,80,1,241,431
London North Centre/London-Centre-Nord,140,London,74,30,0,7,1,73,1,186,331
London North Centre/London-Centre-Nord,141,London,55,29,0,3,4,93,0,184,360
London North Centre/London-Centre-Nord,142,London,65,38,0,12,0,75,0,190,380
London North Centre/London-Centre-Nord,143,London,42,42,1,4,0,66,0,155,333
London North Centre/London-Centre-Nord,144,London,71,61,0,11,3,59,0,205,361
London North Centre/London-Centre-Nord,145,London,53,27,0,13,0,53,0,146,283
London North Centre/London-Centre-Nord,146,London,62,41,0,14,0,41,0,158,330
London North Centre/London-Centre-Nord,147,London,23,24,1,1,1,13,0,63,149
London North Centre/London-Centre-Nord,148,London,62,21,0,11,1,46,0,141,256
London North Centre/London-Centre-Nord,149,London,58,21,0,16,0,42,0,137,264
London North Centre/London-Centre-Nord,150,London,99,34,0,10,0,52,2,197,316
London North Centre/London-Centre-Nord,151,London,96,46,0,28,2,55,0,227,397
London North Centre/London-Centre-Nord,152,London,65,22,0,7,0,51,2,147,266
London North Centre/London-Centre-Nord,153,London,53,29,0,18,0,52,1,153,340
London North Centre/London-Centre-Nord,154,London,67,31,0,9,3,58,1,169,335
London North Centre/London-Centre-Nord,155,London,60,30,0,17,0,51,0,158,273
London North Centre/London-Centre-Nord,156,London,48,26,0,20,1,50,1,146,299
London North Centre/London-Centre-Nord,157,London,37,17,0,8,2,40,1,105,204
London North Centre/London-Centre-Nord,158,London,58,21,0,10,2,37,1,129,240
London North Centre/London-Centre-Nord,159,London,68,24,0,1,0,32,0,125,274
London North Centre/London-Centre-Nord,160,London,92,31,0,10,0,48,0,181,333
London North Centre/London-Centre-Nord,161,London,74,61,0,13,0,24,1,173,282
London North Centre/London-Centre-Nord,162,London,127,76,0,16,0,74,1,294,466
London North Centre/London-Centre-Nord,163,London,73,33,0,10,0,72,2,190,332
London North Centre/London-Centre-Nord,164,London,71,32,1,10,0,32,1,147,278
London North Centre/London-Centre-Nord,165,London,53,20,0,6,3,39,0,121,255
London North Centre/London-Centre-Nord,166,London,120,80,0,22,1,74,1,298,564
London North Centre/London-Centre-Nord,167,London,67,35,0,12,0,45,1,160,380
London North Centre/London-Centre-Nord,168,London,32,29,0,8,1,34,0,104,226
London North Centre/London-Centre-Nord,169,London,55,37,0,11,2,61,1,167,454
London North Centre/London-Centre-Nord,170,London,68,38,0,14,0,63,0,183,340
London North Centre/London-Centre-Nord,171,London,46,18,0,5,0,29,1,99,226
London North Centre/London-Centre-Nord,172,London,63,31,0,3,4,58,2,161,305
London North Centre/London-Centre-Nord,173,London,72,67,0,17,1,89,1,247,537
London North Centre/London-Centre-Nord,174,London,57,50,0,3,0,82,0,192,384
