District,Poll Number,Poll Name,André Clermont,Paul Crête,Marc-André Drolet,Frédérick Garon,Isabelle Mignault,Rejected Ballots,Total Vote,Electors
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,204,Saint-Pierre-de-la-Rivière-du-Sud,8,80,36,5,53,6,188,310
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,205,Saint-François-de-la-Rivière-du-Sud,6,50,9,0,32,6,103,212
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,206,Saint-Pierre-de-la-Rivière-du-Sud,7,60,28,0,81,6,182,369
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,207,Sainte-Euphémie,3,78,20,0,27,3,131,261
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,208,Notre-Dame-du-Rosaire,0,57,33,2,66,31,189,329
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,209,Sainte-Apolline-de-Patton,5,78,16,1,21,2,123,221
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,210,Sainte-Apolline-de-Patton,2,88,18,2,29,2,141,262
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,211,Sainte-Lucie-de-Beauregard,3,86,15,5,48,4,161,283
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,212,Lac-Frontière,1,46,7,0,36,2,92,141
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,213,Saint-Paul-de-Montminy,2,84,28,3,76,4,197,361
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,214,Saint-Paul-de-Montminy,6,66,19,6,99,1,197,358
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,215,Saint-Fabien-de-Panet,2,61,22,5,28,4,122,235
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,216,Saint-Fabien-de-Panet,10,140,53,8,69,10,290,554
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,217,Saint-Just-de-Bretenières,4,58,29,3,35,9,138,300
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,218,Saint-Just-de-Bretenières,3,80,44,1,68,7,203,361
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,500,Mobile poll/Bureau itinérant,1,22,7,0,19,2,51,101
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,501,Mobile poll/Bureau itinérant,0,26,5,0,41,1,73,114
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,502,Mobile poll/Bureau itinérant,1,42,2,1,46,1,93,165
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,503,Mobile poll/Bureau itinérant,1,15,3,0,29,4,52,128
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,504,Mobile poll/Bureau itinérant,3,2,2,0,10,0,17,72
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,505,Mobile poll/Bureau itinérant,3,4,4,1,14,1,27,65
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,506,Mobile poll/Bureau itinérant,1,8,7,1,41,0,58,130
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,507A,Mobile poll/Bureau itinérant,2,10,9,4,29,2,56,78
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,507B,Mobile poll/Bureau itinérant,1,11,4,0,6,0,22,73
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,508,Mobile poll/Bureau itinérant,0,3,1,1,4,0,9,23
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,600,Cacouna-Saint-Arsène,0,84,11,4,42,2,143,
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,601,Rivière-du-Loup,3,169,28,5,55,7,267,
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,602,Rivière-du-Loup,6,268,24,4,186,6,494,
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,603,Rivière-du-Loup,1,18,5,0,13,0,37,
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,604,Saint-Pascal,1,49,4,2,21,1,78,
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,605,La Pocatière--Rivière-Ouelle,3,284,17,6,118,2,430,
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,606,Saint-Jean-Port-Joli,10,119,34,4,67,2,236,
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,607,Cap-Saint-Ignace,4,104,19,0,72,2,201,
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,608,Saint-Pamphile,5,75,30,4,93,6,213,
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,609,Montmagny,11,195,57,9,169,8,449,
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,610,Berthier-sur-Mer--Saint-Just-de-Bretenières,4,51,15,2,34,2,108,
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,,Group 1/Groupe 1,9,36,32,8,43,8,136,270
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,,Group 2/Groupe 2,8,361,54,13,273,11,720,
