District,Poll Number,Poll Name,Steve Armstrong,Chris Bradshaw,Gord Brown,Joe Jordan,Rejected Ballots,Total Vote,Electors
Leeds--Grenville/Leeds--Grenville,187,Edwardsburgh/Cardinal,42,14,190,72,2,320,514
Leeds--Grenville/Leeds--Grenville,188,Edwardsburgh/Cardinal,22,9,82,39,0,152,242
Leeds--Grenville/Leeds--Grenville,189,Edwardsburgh/Cardinal,41,12,84,42,1,180,314
Leeds--Grenville/Leeds--Grenville,190,Edwardsburgh/Cardinal,13,11,103,53,3,183,265
Leeds--Grenville/Leeds--Grenville,191,Edwardsburgh/Cardinal,40,13,140,111,1,305,415
Leeds--Grenville/Leeds--Grenville,192,Edwardsburgh/Cardinal,20,6,102,52,1,181,274
Leeds--Grenville/Leeds--Grenville,193,Edwardsburgh/Cardinal,19,8,103,38,2,170,275
Leeds--Grenville/Leeds--Grenville,194,Edwardsburgh/Cardinal,44,12,141,77,2,276,430
Leeds--Grenville/Leeds--Grenville,195,Edwardsburgh/Cardinal,37,21,133,90,1,282,454
Leeds--Grenville/Leeds--Grenville,196,Edwardsburgh/Cardinal,35,9,131,73,0,248,346
Leeds--Grenville/Leeds--Grenville,500,Mobile poll/Bureau itinérant,7,1,72,29,3,112,196
Leeds--Grenville/Leeds--Grenville,501,Mobile poll/Bureau itinérant,3,2,38,42,4,89,94
Leeds--Grenville/Leeds--Grenville,502,Mobile poll/Bureau itinérant,11,0,33,48,6,98,258
Leeds--Grenville/Leeds--Grenville,503,Mobile poll/Bureau itinérant,9,4,36,38,2,89,213
Leeds--Grenville/Leeds--Grenville,600,Westport--Rideau Lakes,27,14,259,145,1,446,
Leeds--Grenville/Leeds--Grenville,601,Leeds and Thousand Islands,19,19,165,122,0,325,
Leeds--Grenville/Leeds--Grenville,602,Gananoque,15,20,204,98,0,337,
Leeds--Grenville/Leeds--Grenville,603,Athens & Front of Yonge,21,15,183,70,1,290,
Leeds--Grenville/Leeds--Grenville,604,Elizabethtown-Kitley,30,21,221,138,1,411,
Leeds--Grenville/Leeds--Grenville,605,Brockville,66,16,360,252,0,694,
Leeds--Grenville/Leeds--Grenville,606,Brockville,43,22,298,244,3,610,
Leeds--Grenville/Leeds--Grenville,607,Augusta & Merrickville,45,14,275,98,0,432,
Leeds--Grenville/Leeds--Grenville,608,Prescott,22,11,233,99,0,365,
Leeds--Grenville/Leeds--Grenville,609,North Grenville,59,56,659,260,2,1036,
Leeds--Grenville/Leeds--Grenville,610,Edwardsburgh/Cardinal,26,18,204,57,0,305,
Leeds--Grenville/Leeds--Grenville,,Group 1/Groupe 1,10,7,71,49,2,139,278
Leeds--Grenville/Leeds--Grenville,,Group 2/Groupe 2,70,33,557,343,9,1012,
