District,Poll Number,Poll Name,Mark de Pelham,Daria Fox,Stephen J. Harper,Larry R. Heather,Darcy Kraus,Avalon Roberts,Rejected Ballots,Total Vote,Electors
Calgary Southwest/Calgary-Sud-Ouest,128,Calgary,2,12,121,1,13,45,1,195,347
Calgary Southwest/Calgary-Sud-Ouest,129,Calgary,3,20,142,6,9,34,0,214,337
Calgary Southwest/Calgary-Sud-Ouest,130,Calgary,0,14,146,4,15,38,1,218,355
Calgary Southwest/Calgary-Sud-Ouest,131,Calgary,5,18,108,3,13,23,1,171,347
Calgary Southwest/Calgary-Sud-Ouest,132,Calgary,3,11,122,0,13,33,0,182,388
Calgary Southwest/Calgary-Sud-Ouest,133,Calgary,0,10,73,0,7,31,0,121,298
Calgary Southwest/Calgary-Sud-Ouest,134,Calgary,4,19,87,1,6,23,0,140,356
Calgary Southwest/Calgary-Sud-Ouest,135,Calgary,2,15,115,2,13,46,0,193,385
Calgary Southwest/Calgary-Sud-Ouest,136,Calgary,3,12,179,2,24,47,0,267,415
Calgary Southwest/Calgary-Sud-Ouest,137,Calgary,3,21,138,4,13,32,0,211,462
Calgary Southwest/Calgary-Sud-Ouest,137-1,Calgary,3,14,103,1,13,23,0,157,306
Calgary Southwest/Calgary-Sud-Ouest,138,Calgary,4,10,82,1,7,18,1,123,205
Calgary Southwest/Calgary-Sud-Ouest,139,Calgary,2,8,155,5,17,51,2,240,359
Calgary Southwest/Calgary-Sud-Ouest,140,Calgary,3,14,185,1,13,48,0,264,415
Calgary Southwest/Calgary-Sud-Ouest,141,Calgary,2,15,206,1,19,52,0,295,481
Calgary Southwest/Calgary-Sud-Ouest,142,Calgary,0,12,159,2,17,42,1,233,374
Calgary Southwest/Calgary-Sud-Ouest,143,Calgary,1,8,166,2,22,43,1,243,409
Calgary Southwest/Calgary-Sud-Ouest,144,Calgary,1,10,139,0,12,34,0,196,362
Calgary Southwest/Calgary-Sud-Ouest,145,Calgary,2,12,169,3,16,39,0,241,391
Calgary Southwest/Calgary-Sud-Ouest,146,Calgary,1,9,122,2,24,30,0,188,412
Calgary Southwest/Calgary-Sud-Ouest,147,Calgary,2,18,162,3,14,51,1,251,409
Calgary Southwest/Calgary-Sud-Ouest,148,Calgary,1,10,100,2,15,37,1,166,351
Calgary Southwest/Calgary-Sud-Ouest,149,Calgary,1,6,209,2,11,46,0,275,468
Calgary Southwest/Calgary-Sud-Ouest,150,Calgary,2,13,71,0,15,22,0,123,281
Calgary Southwest/Calgary-Sud-Ouest,151,Calgary,1,9,161,0,18,56,0,245,390
Calgary Southwest/Calgary-Sud-Ouest,152A,Calgary,3,8,239,1,13,40,0,304,427
Calgary Southwest/Calgary-Sud-Ouest,152B,Calgary,0,12,161,1,4,46,0,224,199
Calgary Southwest/Calgary-Sud-Ouest,153,Calgary,2,5,157,0,14,63,0,241,399
Calgary Southwest/Calgary-Sud-Ouest,154A,Calgary,0,12,160,1,10,29,0,212,324
Calgary Southwest/Calgary-Sud-Ouest,154B,Calgary,1,3,146,0,5,40,0,195,340
Calgary Southwest/Calgary-Sud-Ouest,155,Calgary,3,4,234,1,5,53,2,302,447
Calgary Southwest/Calgary-Sud-Ouest,156A,Calgary,2,13,208,1,12,66,1,303,438
Calgary Southwest/Calgary-Sud-Ouest,156B,Calgary,Merged with No. 152B,,,,,,,,156
Calgary Southwest/Calgary-Sud-Ouest,157,Calgary,3,16,174,1,14,42,0,250,431
Calgary Southwest/Calgary-Sud-Ouest,158,Calgary,4,8,209,0,22,41,0,284,453
Calgary Southwest/Calgary-Sud-Ouest,159,Calgary,2,14,220,0,21,46,1,304,541
Calgary Southwest/Calgary-Sud-Ouest,160,Calgary,3,13,131,0,16,30,1,194,348
Calgary Southwest/Calgary-Sud-Ouest,161,Calgary,0,10,91,1,15,25,0,142,269
Calgary Southwest/Calgary-Sud-Ouest,162,Calgary,1,9,138,3,4,42,0,197,330
Calgary Southwest/Calgary-Sud-Ouest,163,Calgary,1,5,96,1,5,31,4,143,235
Calgary Southwest/Calgary-Sud-Ouest,164,Calgary,1,6,120,1,7,33,0,168,307
Calgary Southwest/Calgary-Sud-Ouest,164-1,Calgary,4,8,168,0,14,28,0,222,398
Calgary Southwest/Calgary-Sud-Ouest,165,Calgary,2,14,155,0,10,30,0,211,401
Calgary Southwest/Calgary-Sud-Ouest,166,Calgary,6,33,182,0,7,35,1,264,449
Calgary Southwest/Calgary-Sud-Ouest,167,Calgary,0,13,170,0,15,33,0,231,347
Calgary Southwest/Calgary-Sud-Ouest,168,Calgary,2,13,203,2,7,41,0,268,423
Calgary Southwest/Calgary-Sud-Ouest,169,Calgary,4,9,163,1,10,29,0,216,350
Calgary Southwest/Calgary-Sud-Ouest,170,Calgary,7,19,159,0,16,44,3,248,478
Calgary Southwest/Calgary-Sud-Ouest,171,Calgary,3,15,127,2,11,29,1,188,289
Calgary Southwest/Calgary-Sud-Ouest,172,Calgary,6,16,152,0,18,20,0,212,385
Calgary Southwest/Calgary-Sud-Ouest,173,Calgary,2,11,184,1,16,49,0,263,429
Calgary Southwest/Calgary-Sud-Ouest,174A,Calgary,4,12,198,0,14,47,1,276,466
Calgary Southwest/Calgary-Sud-Ouest,174B,Calgary,4,13,214,1,8,44,0,284,444
Calgary Southwest/Calgary-Sud-Ouest,175A,Calgary,4,13,135,1,9,31,1,194,362
Calgary Southwest/Calgary-Sud-Ouest,175B,Calgary,0,15,127,0,7,31,0,180,324
Calgary Southwest/Calgary-Sud-Ouest,176,Calgary,2,25,137,0,15,29,0,208,413
Calgary Southwest/Calgary-Sud-Ouest,177,Calgary,1,19,142,0,13,27,0,202,392
Calgary Southwest/Calgary-Sud-Ouest,178,Calgary,4,14,171,0,10,24,1,224,383
Calgary Southwest/Calgary-Sud-Ouest,179,Calgary,2,14,142,0,7,41,0,206,356
Calgary Southwest/Calgary-Sud-Ouest,180,Calgary,1,13,130,0,5,22,1,172,292
Calgary Southwest/Calgary-Sud-Ouest,181,Calgary,1,11,114,1,8,28,0,163,326
Calgary Southwest/Calgary-Sud-Ouest,182,Calgary,3,23,175,0,7,32,0,240,446
Calgary Southwest/Calgary-Sud-Ouest,183,Calgary,5,9,190,0,8,51,3,266,433
Calgary Southwest/Calgary-Sud-Ouest,184,Calgary,2,13,135,1,11,34,3,199,374
Calgary Southwest/Calgary-Sud-Ouest,185,Calgary,1,17,122,0,13,30,0,183,340
Calgary Southwest/Calgary-Sud-Ouest,186,Calgary,2,21,151,0,12,47,0,233,418
Calgary Southwest/Calgary-Sud-Ouest,187,Calgary,3,20,164,1,3,42,0,233,401
Calgary Southwest/Calgary-Sud-Ouest,187-1,Calgary,1,11,217,1,15,45,2,292,458
Calgary Southwest/Calgary-Sud-Ouest,188,Calgary,3,14,161,0,11,28,0,217,376
Calgary Southwest/Calgary-Sud-Ouest,189,Calgary,0,15,134,2,5,31,0,187,349
Calgary Southwest/Calgary-Sud-Ouest,190,Calgary,4,12,138,2,14,32,2,204,407
Calgary Southwest/Calgary-Sud-Ouest,191,Calgary,0,23,143,2,8,32,0,208,383
Calgary Southwest/Calgary-Sud-Ouest,192,Calgary,3,14,173,0,7,46,0,243,467
Calgary Southwest/Calgary-Sud-Ouest,193,Calgary,0,12,171,2,6,51,0,242,423
