District,Poll Number,Poll Name,Jason Kenney,Brian Pincott,George Read,Jim Tanner,Rejected Ballots,Total Vote,Electors
Calgary Southeast/Calgary-Sud-Est,200B,Calgary,197,11,18,32,0,258,429
Calgary Southeast/Calgary-Sud-Est,400,Calgary,40,13,7,15,1,76,263
Calgary Southeast/Calgary-Sud-Est,500,Mobile poll/Bureau itinérant,100,7,6,31,0,144,214
Calgary Southeast/Calgary-Sud-Est,501,Mobile poll/Bureau itinérant,73,8,4,15,2,102,213
Calgary Southeast/Calgary-Sud-Est,600,Calgary,215,27,23,41,0,306,
Calgary Southeast/Calgary-Sud-Est,601,Calgary,381,27,34,79,0,521,
Calgary Southeast/Calgary-Sud-Est,602,Calgary,439,20,23,83,2,567,
Calgary Southeast/Calgary-Sud-Est,603,Calgary,233,26,23,37,0,319,
Calgary Southeast/Calgary-Sud-Est,604,Calgary,357,20,11,54,0,442,
Calgary Southeast/Calgary-Sud-Est,605,Calgary,207,14,6,36,1,264,
Calgary Southeast/Calgary-Sud-Est,606,Calgary,208,20,25,23,0,276,
Calgary Southeast/Calgary-Sud-Est,607,Calgary,420,17,17,76,1,531,
Calgary Southeast/Calgary-Sud-Est,608,Calgary,389,18,18,60,0,485,
Calgary Southeast/Calgary-Sud-Est,609,Calgary,131,13,5,28,2,179,
Calgary Southeast/Calgary-Sud-Est,,Group 1/Groupe 1,54,8,3,24,4,93,172
Calgary Southeast/Calgary-Sud-Est,,Group 2/Groupe 2,497,54,31,130,16,728,
