District,Poll Number,Poll Name,Giorgio Cattabeni,Morgan DuFord,Steve Garland,Art Hanger,Dale Muti,Rejected Ballots,Total Vote,Electors
Calgary Northeast/Calgary-Nord-Est,15,Calgary,10,10,1,168,33,0,222,351
Calgary Northeast/Calgary-Nord-Est,16A,Calgary,9,5,1,126,23,0,164,304
Calgary Northeast/Calgary-Nord-Est,16B,Calgary,6,5,2,146,33,0,192,322
Calgary Northeast/Calgary-Nord-Est,17,Calgary,12,15,0,226,31,0,284,453
Calgary Northeast/Calgary-Nord-Est,18,Calgary,23,23,2,190,39,0,277,485
Calgary Northeast/Calgary-Nord-Est,19,Calgary,8,9,4,221,41,0,283,493
Calgary Northeast/Calgary-Nord-Est,20,Calgary,21,13,0,155,47,0,236,433
Calgary Northeast/Calgary-Nord-Est,21A,Calgary,11,7,2,84,11,0,115,268
Calgary Northeast/Calgary-Nord-Est,21B,Calgary,7,4,0,104,23,0,138,287
Calgary Northeast/Calgary-Nord-Est,22,Calgary,14,11,1,109,19,0,154,313
Calgary Northeast/Calgary-Nord-Est,23A,Calgary,6,11,1,94,34,0,146,315
Calgary Northeast/Calgary-Nord-Est,23B,Mobile poll/Bureau itinérant,3,0,1,32,12,1,49,52
Calgary Northeast/Calgary-Nord-Est,24,Calgary,Void,,,,,,,
Calgary Northeast/Calgary-Nord-Est,24-1,Calgary,16,6,3,104,27,0,156,198
Calgary Northeast/Calgary-Nord-Est,24-2,Calgary,Merged with No. 24-1,,,,,,,111
Calgary Northeast/Calgary-Nord-Est,25,Calgary,7,7,1,99,19,0,133,313
Calgary Northeast/Calgary-Nord-Est,26,Calgary,8,10,2,109,54,0,183,480
Calgary Northeast/Calgary-Nord-Est,27,Calgary,14,10,0,123,59,0,206,483
Calgary Northeast/Calgary-Nord-Est,28,Calgary,10,4,1,70,19,1,105,254
Calgary Northeast/Calgary-Nord-Est,28-1,Calgary,14,13,3,107,47,1,185,383
Calgary Northeast/Calgary-Nord-Est,29,Calgary,7,2,1,31,16,0,57,116
Calgary Northeast/Calgary-Nord-Est,29-1,Calgary,11,3,1,45,89,0,149,414
Calgary Northeast/Calgary-Nord-Est,29-2,Calgary,13,0,0,36,39,0,88,182
Calgary Northeast/Calgary-Nord-Est,30,Calgary,15,12,1,96,40,0,164,428
