District,Poll Number,Poll Name,Blaine Armstrong,Carol Hughes,Lindsay Killen,Brent St. Denis,Rejected Ballots,Total Vote,Electors
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,76,Wawa,28,69,4,59,1,161,371
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,77,Wawa,35,68,10,36,0,149,344
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,78,Wawa,44,79,16,52,1,192,414
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,79,Hawk Junction,19,68,8,30,0,125,221
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,80,Missanabie,4,16,1,5,0,26,45
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,81,Montreal River Harbour,Void,,,,,,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,82A,Chapleau,30,37,4,36,1,108,186
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,82B,Chapleau,5,24,0,6,0,35,95
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,83,Chapleau,17,49,2,68,0,136,322
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,84,Chapleau,25,55,0,45,1,126,289
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,85,Chapleau,28,68,3,59,2,160,514
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,86,Chapleau,30,48,10,47,0,135,402
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,87,Chapleau,15,31,5,28,2,81,178
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,88,Chapleau,32,52,6,57,1,148,348
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,89,Chapleau--Island Lake,Void,,,,,,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,90,Wharncliffe,26,36,6,18,0,86,120
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,91,Nestorville--Little Rapids,104,55,6,67,0,232,422
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,92,Wharncliffe,Void,,,,,,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,93,Nestorville--Little Rapids,Void,,,,,,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,94,Bruce Station,Void,,,,,,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,95,Nestorville--Little Rapids,Void,,,,,,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,96,Thessalon,66,32,11,53,0,162,381
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,97,Thessalon,56,54,4,50,4,168,316
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,98,Thessalon,59,36,2,60,0,157,287
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,99,Sowerby,47,40,3,37,0,127,240
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,100,Iron Bridge,133,50,11,75,1,270,497
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,101,Iron Bridge,Void,,,,,,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,102,Dean Lake--Iron Bridge,80,50,3,43,1,177,321
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,103,Blind River,51,63,10,85,3,212,384
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,104,Blind River,29,47,6,63,1,146,293
