District,Poll Number,Poll Name,Bob Kilger,Guy Lauzon,Elaine MacDonald,Tom Manley,Rejected Ballots,Total Vote,Electors
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,138,Cornwall,65,27,14,8,1,115,245
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,139,Cornwall,114,63,30,9,5,221,409
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,140,Cornwall,69,48,38,13,0,168,394
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,141,Cornwall,99,30,28,5,3,165,388
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,142,Cornwall,46,19,19,8,0,92,251
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,143,Cornwall,78,81,24,9,0,192,414
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,144,Cornwall,113,51,26,10,0,200,364
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,145,Cornwall,77,45,14,12,0,148,307
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,146,Cornwall,138,76,23,8,2,247,396
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,147,Cornwall,109,64,19,14,1,207,342
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,148,Cornwall,78,38,19,4,1,140,319
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,149,Cornwall,131,69,14,6,1,221,358
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,150,Cornwall,115,72,14,10,2,213,400
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,151,Cornwall,52,29,12,7,0,100,298
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,152,Cornwall,101,30,13,2,0,146,299
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,153,Cornwall,87,43,24,6,3,163,397
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,154,Cornwall,57,36,22,7,2,124,294
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,155,Cornwall,51,23,17,5,1,97,304
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,156,Cornwall,45,22,25,4,0,96,374
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,157,Cornwall,71,37,16,5,1,130,383
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,158,Cornwall,49,22,15,4,0,90,274
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,159,Cornwall,41,24,25,7,3,100,311
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,160,Cornwall,165,79,27,14,1,286,397
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,161,Cornwall,78,38,27,7,2,152,319
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,162,Cornwall,110,68,34,14,6,232,411
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,163,Cornwall,141,83,43,6,3,276,523
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,164,Cornwall,144,70,23,8,0,245,390
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,165,Cornwall,64,49,29,6,1,149,353
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,166,Cornwall,134,71,49,8,2,264,413
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,167,Cornwall,101,39,21,10,1,172,301
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,168,Cornwall,184,94,22,15,0,315,534
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,169,Cornwall,94,50,22,4,1,171,324
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,170,Cornwall,104,66,18,17,2,207,431
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,171,Cornwall,81,50,17,4,0,152,264
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,172,Cornwall,71,38,16,21,4,150,268
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,173,Cornwall,117,68,36,24,1,246,485
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,174,Martintown,35,98,27,22,1,183,282
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,175,Martintown,101,154,25,22,2,304,486
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,176,Glenroy,82,71,27,17,1,198,317
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,177,Glenroy,110,103,39,29,0,281,461
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,178,Martintown,86,142,23,21,2,274,397
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,179,Williamstown,106,104,36,20,2,268,446
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,180,St. Raphaels,94,130,31,33,3,291,446
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,181,Glendale,87,102,29,26,0,244,365
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,182,Glendale,37,75,26,3,1,142,294
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,183,Summerstown Station,99,123,30,26,2,280,431
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,184,Tyotown,122,135,40,20,2,319,488
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,185,Paragon,64,57,20,13,0,154,261
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,186,Summerstown,76,102,24,12,1,215,342
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,187,Heritage,72,56,17,8,1,154,273
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,188,Cornwall Island,Merged with No. 128,,,,,,17
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,189,Tyotown,192,134,36,16,4,382,576
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,190,Parco Village,101,97,26,23,0,247,353
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,191,Glen Norman,143,87,43,45,4,322,496
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,192,Glen Nevis,156,148,44,44,2,394,648
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,193,North Lancaster,83,84,21,9,2,199,314
