District,Poll Number,Poll Name,Ruby Dhalla,Nick Hudson,Sam Hundal,Gurdev Singh Mattu,Kathy Pounder,Rejected Ballots,Total Vote,Electors
Brampton--Springdale/Brampton--Springdale,147A,Brampton,26,1,17,0,8,0,52,219
Brampton--Springdale/Brampton--Springdale,147B,Brampton,22,1,9,0,11,2,45,217
Brampton--Springdale/Brampton--Springdale,148,Brampton,109,7,31,1,20,2,170,464
Brampton--Springdale/Brampton--Springdale,149,Brampton,75,6,44,1,33,1,160,469
Brampton--Springdale/Brampton--Springdale,150,Brampton,69,10,39,0,43,1,162,467
Brampton--Springdale/Brampton--Springdale,151A,Brampton,70,5,29,0,19,0,123,248
Brampton--Springdale/Brampton--Springdale,151B,Brampton,58,4,31,0,19,5,117,257
Brampton--Springdale/Brampton--Springdale,152A,Brampton,59,6,29,1,17,1,113,243
Brampton--Springdale/Brampton--Springdale,152B,Brampton,52,7,23,0,28,0,110,267
Brampton--Springdale/Brampton--Springdale,153,Brampton,86,9,63,0,48,1,207,415
Brampton--Springdale/Brampton--Springdale,154A,Brampton,41,13,35,1,30,1,121,253
Brampton--Springdale/Brampton--Springdale,154B,Brampton,48,7,38,0,40,0,133,251
Brampton--Springdale/Brampton--Springdale,155,Brampton,54,19,57,0,60,3,193,410
Brampton--Springdale/Brampton--Springdale,156,Brampton,67,10,29,0,36,1,143,287
Brampton--Springdale/Brampton--Springdale,157,Brampton,55,9,52,1,31,0,148,301
Brampton--Springdale/Brampton--Springdale,158,Brampton,65,10,28,0,25,0,128,294
Brampton--Springdale/Brampton--Springdale,159A,Brampton,55,5,33,1,20,0,114,251
Brampton--Springdale/Brampton--Springdale,159B,Brampton,46,9,27,0,21,0,103,259
Brampton--Springdale/Brampton--Springdale,160,Brampton,86,14,68,0,56,0,224,474
Brampton--Springdale/Brampton--Springdale,161,Brampton,Void,,,,,,,
Brampton--Springdale/Brampton--Springdale,162,Brampton,96,17,68,1,43,0,225,498
Brampton--Springdale/Brampton--Springdale,163,Brampton,81,11,34,0,51,0,177,460
Brampton--Springdale/Brampton--Springdale,164,Brampton,42,6,41,0,32,1,122,337
Brampton--Springdale/Brampton--Springdale,165A,Brampton,51,3,35,0,31,0,120,240
Brampton--Springdale/Brampton--Springdale,165B,Brampton,45,3,23,2,41,4,118,273
Brampton--Springdale/Brampton--Springdale,166,Brampton,Void,,,,,,,
Brampton--Springdale/Brampton--Springdale,167,Brampton,62,15,63,1,32,0,173,397
Brampton--Springdale/Brampton--Springdale,168,Brampton,98,13,42,1,41,3,198,454
Brampton--Springdale/Brampton--Springdale,169,Brampton,76,3,54,2,36,1,172,446
Brampton--Springdale/Brampton--Springdale,170,Brampton,98,22,45,1,41,4,211,488
Brampton--Springdale/Brampton--Springdale,171,Brampton,59,7,35,0,39,0,140,288
Brampton--Springdale/Brampton--Springdale,400,Brampton,72,4,37,0,34,2,149,331
