District,Poll Number,Poll Name,Julie C. Baribeau,Nick Discepola,Meili Faille,Bert Markgraf,Robert Ramage,Charles Soucy,Rejected Ballots,Total Vote,Electors
Vaudreuil-Soulanges/Vaudreuil-Soulanges,195B,Saint-Zotique,6,26,73,4,12,0,0,121,236
Vaudreuil-Soulanges/Vaudreuil-Soulanges,196,Saint-Zotique,1,51,81,4,20,2,0,159,296
Vaudreuil-Soulanges/Vaudreuil-Soulanges,197,Saint-Zotique,8,118,90,4,14,2,3,239,433
Vaudreuil-Soulanges/Vaudreuil-Soulanges,500,Mobile poll/Bureau itinérant,0,29,20,2,1,3,3,58,117
Vaudreuil-Soulanges/Vaudreuil-Soulanges,501,Mobile poll/Bureau itinérant,3,90,34,0,2,0,3,132,260
Vaudreuil-Soulanges/Vaudreuil-Soulanges,600,Rigaud,9,147,168,12,25,0,6,367,
Vaudreuil-Soulanges/Vaudreuil-Soulanges,601,Hudson,15,265,21,17,62,2,3,385,
Vaudreuil-Soulanges/Vaudreuil-Soulanges,602,Vaudreuil-Dorion,15,158,150,13,50,1,4,391,
Vaudreuil-Soulanges/Vaudreuil-Soulanges,603,Vaudreuil-Dorion,17,305,220,16,53,4,11,626,
Vaudreuil-Soulanges/Vaudreuil-Soulanges,604,Pincourt--Terrasse-Vaudreuil,17,324,214,27,72,3,5,662,
Vaudreuil-Soulanges/Vaudreuil-Soulanges,605,L'Île-Perrot,15,173,209,19,33,5,7,461,
Vaudreuil-Soulanges/Vaudreuil-Soulanges,606,Notre-Dame-de-l'Île-Perrot,7,171,167,14,47,2,3,411,
Vaudreuil-Soulanges/Vaudreuil-Soulanges,607,Les Cèdres--Pointe-des-Cascades,10,67,146,9,20,2,6,260,
Vaudreuil-Soulanges/Vaudreuil-Soulanges,608,Saint-Lazare,26,241,141,15,105,1,7,536,
Vaudreuil-Soulanges/Vaudreuil-Soulanges,609,Coteau-du-Lac,13,170,213,10,20,1,12,439,
Vaudreuil-Soulanges/Vaudreuil-Soulanges,610,Saint-Polycarpe,6,35,57,5,4,1,3,111,
Vaudreuil-Soulanges/Vaudreuil-Soulanges,611,Saint-Zotique,5,151,144,4,15,1,12,332,
Vaudreuil-Soulanges/Vaudreuil-Soulanges,,Group 1/Groupe 1,6,33,24,5,16,3,2,89,165
Vaudreuil-Soulanges/Vaudreuil-Soulanges,,Group 2/Groupe 2,26,365,317,40,94,4,16,862,
