District,Poll Number,Poll Name,Romeo De La Pena,Russ Hiebert,Judy Higginbotham,H. Pummy Kaur,Pat Taylor,Rejected Ballots,Total Vote,Electors
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,502B,Mobile poll/Bureau itinérant,1,28,21,13,3,0,66,38
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,503,Mobile poll/Bureau itinérant,4,33,35,17,1,0,90,45
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,504A,Mobile poll/Bureau itinérant,4,53,44,19,4,0,124,25
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,504B,Mobile poll/Bureau itinérant,Merged with No. 505,,,,,,,50
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,505,Mobile poll/Bureau itinérant,7,29,37,17,1,2,93,69
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,600,Surrey,4,202,89,30,3,0,328,
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,601,Surrey,19,290,151,64,3,0,527,
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,602,Surrey,29,339,231,61,0,0,660,
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,603,Surrey,28,254,196,42,0,0,520,
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,604,Surrey,37,407,293,132,4,1,874,
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,605,Semiahmoo--Surrey,22,326,180,36,0,0,564,
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,606,White Rock,37,284,202,94,1,2,620,
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,607,White Rock,43,256,179,89,3,3,573,
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,,Group 1/Groupe 1,7,23,19,14,1,1,65,104
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,,Group 2/Groupe 2,38,460,308,92,8,8,914,
