District,Poll Number,Poll Name,Normand Beaudet,Diane Bourgeois,Martin Drapeau,Pierre Gingras,Patrick Légaré,Rejected Ballots,Total Vote,Electors
Terrebonne--Blainville/Terrebonne--Blainville,128,Blainville,5,93,7,13,8,2,128,219
Terrebonne--Blainville/Terrebonne--Blainville,129,Blainville,9,175,9,78,12,9,292,454
Terrebonne--Blainville/Terrebonne--Blainville,130,Blainville,7,165,9,40,11,7,239,359
Terrebonne--Blainville/Terrebonne--Blainville,131,Blainville,10,135,2,39,11,4,201,374
Terrebonne--Blainville/Terrebonne--Blainville,132,Blainville,7,157,7,54,16,3,244,388
Terrebonne--Blainville/Terrebonne--Blainville,133,Blainville,8,134,7,40,9,9,207,347
Terrebonne--Blainville/Terrebonne--Blainville,134,Blainville,5,134,5,74,10,9,237,430
Terrebonne--Blainville/Terrebonne--Blainville,135,Blainville,10,155,13,64,13,7,262,427
Terrebonne--Blainville/Terrebonne--Blainville,136,Blainville,6,193,8,63,9,9,288,555
Terrebonne--Blainville/Terrebonne--Blainville,137,Blainville,3,127,6,38,7,2,183,345
Terrebonne--Blainville/Terrebonne--Blainville,138,Blainville,8,114,4,55,10,3,194,372
Terrebonne--Blainville/Terrebonne--Blainville,139,Blainville,10,177,10,108,17,5,327,505
Terrebonne--Blainville/Terrebonne--Blainville,140,Blainville,10,170,9,57,7,6,259,441
Terrebonne--Blainville/Terrebonne--Blainville,141,Blainville,8,167,11,61,10,11,268,441
Terrebonne--Blainville/Terrebonne--Blainville,142,Blainville,4,198,10,52,9,7,280,442
Terrebonne--Blainville/Terrebonne--Blainville,143,Blainville,10,200,11,70,10,7,308,465
Terrebonne--Blainville/Terrebonne--Blainville,144,Blainville,13,184,8,67,10,5,287,471
Terrebonne--Blainville/Terrebonne--Blainville,145,Blainville,7,120,9,32,6,6,180,337
Terrebonne--Blainville/Terrebonne--Blainville,146,Blainville,8,128,6,39,14,2,197,347
Terrebonne--Blainville/Terrebonne--Blainville,147,Blainville,14,188,7,47,16,8,280,498
Terrebonne--Blainville/Terrebonne--Blainville,148,Blainville,8,149,8,41,14,8,228,392
Terrebonne--Blainville/Terrebonne--Blainville,149,Blainville,5,141,6,52,14,5,223,362
Terrebonne--Blainville/Terrebonne--Blainville,150,Blainville,2,116,10,26,6,4,164,348
Terrebonne--Blainville/Terrebonne--Blainville,151,Blainville,1,105,4,32,6,12,160,305
Terrebonne--Blainville/Terrebonne--Blainville,152,Blainville,12,155,3,42,7,4,223,367
Terrebonne--Blainville/Terrebonne--Blainville,153,Blainville,5,113,9,44,7,6,184,288
Terrebonne--Blainville/Terrebonne--Blainville,154,Blainville,5,114,4,49,7,3,182,315
Terrebonne--Blainville/Terrebonne--Blainville,155A,Blainville,12,166,12,77,19,5,291,434
Terrebonne--Blainville/Terrebonne--Blainville,155B,Blainville,14,168,6,65,22,4,279,459
Terrebonne--Blainville/Terrebonne--Blainville,156A,Blainville,1,104,4,61,10,2,182,357
Terrebonne--Blainville/Terrebonne--Blainville,156B,Blainville,0,113,6,64,19,3,205,400
Terrebonne--Blainville/Terrebonne--Blainville,157,Blainville,9,141,7,71,18,4,250,430
Terrebonne--Blainville/Terrebonne--Blainville,158,Blainville,9,195,16,107,15,13,355,596
Terrebonne--Blainville/Terrebonne--Blainville,159,Blainville,2,116,10,116,15,5,264,463
Terrebonne--Blainville/Terrebonne--Blainville,160,Blainville,8,137,10,118,20,4,297,583
Terrebonne--Blainville/Terrebonne--Blainville,161,Blainville,5,102,5,82,10,4,208,365
Terrebonne--Blainville/Terrebonne--Blainville,162,Blainville,2,143,16,60,8,4,233,383
Terrebonne--Blainville/Terrebonne--Blainville,163,Blainville,13,164,11,140,18,6,352,548
Terrebonne--Blainville/Terrebonne--Blainville,164,Blainville,12,162,6,69,14,12,275,354
Terrebonne--Blainville/Terrebonne--Blainville,165,Blainville,19,255,12,83,25,8,402,628
Terrebonne--Blainville/Terrebonne--Blainville,166,Blainville,8,130,7,46,5,12,208,340
Terrebonne--Blainville/Terrebonne--Blainville,167,Blainville,7,179,11,44,16,5,262,368
Terrebonne--Blainville/Terrebonne--Blainville,168,Blainville,14,169,5,63,12,7,270,414
Terrebonne--Blainville/Terrebonne--Blainville,169,Blainville,8,141,8,39,10,5,211,304
Terrebonne--Blainville/Terrebonne--Blainville,600,Sainte-Anne-des-Plaines,11,304,8,77,32,5,437,
Terrebonne--Blainville/Terrebonne--Blainville,601,Terrebonne,9,294,5,69,28,14,419,
Terrebonne--Blainville/Terrebonne--Blainville,602,Terrebonne,17,292,12,101,45,11,478,
Terrebonne--Blainville/Terrebonne--Blainville,603,Terrebonne,16,238,12,91,28,14,399,
Terrebonne--Blainville/Terrebonne--Blainville,604,Terrebonne,6,98,9,19,13,3,148,
Terrebonne--Blainville/Terrebonne--Blainville,605,Blainville,18,348,14,154,43,18,595,
Terrebonne--Blainville/Terrebonne--Blainville,606,Blainville,10,333,9,172,37,9,570,
Terrebonne--Blainville/Terrebonne--Blainville,607,Blainville,8,148,10,78,148,4,396,
Terrebonne--Blainville/Terrebonne--Blainville,,Group 1/Groupe 1,7,33,3,13,10,0,66,123
Terrebonne--Blainville/Terrebonne--Blainville,,Group 2/Groupe 2,12,260,5,85,36,11,409,
