District,Poll Number,Poll Name,Alice Brown,Gordon Campbell,K. No. Daniels,Claire A. Foss,Will Hansma,Blair T. Longley,Erin Nelson,Darrel Stinson,Rejected Ballots,Total Vote,Electors
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,173C,Coldstream--Orchard Ridge,16,1,0,0,73,1,7,77,0,175,302
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,174,Coldstream,38,1,1,3,50,4,11,78,0,186,318
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,175,Coldstream,41,1,0,1,66,1,12,69,2,193,319
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,176A,Coldstream,48,0,0,0,42,0,9,63,0,162,279
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,176B,Coldstream,51,0,0,2,57,1,4,69,0,184,275
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,177,Coldstream,21,0,1,0,19,0,4,40,0,85,129
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,178,Coldstream,55,2,1,0,60,2,9,110,1,240,394
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,179,Coldstream,52,3,0,1,41,1,9,60,1,168,297
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,180,Coldstream,60,0,0,0,91,1,12,115,0,279,457
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,181,Coldstream,51,6,0,0,73,3,7,101,2,243,421
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,182,Lavington,42,3,1,1,46,2,8,120,1,224,370
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,183,Lavington,33,0,2,0,42,3,10,123,1,214,338
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,184,Lavington,47,2,0,2,54,2,14,143,1,265,459
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,185,Coldstream,54,0,0,2,55,7,21,107,0,246,406
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,186,Lumby--Trinity Valley,42,3,2,2,35,1,9,144,1,239,447
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,187A,Lumby,33,0,0,1,34,3,9,80,0,160,314
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,187B,Lumby ,35,0,0,0,21,0,7,60,0,123,304
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,188A,Lumby,24,0,0,5,23,1,3,75,0,131,247
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,188B,Lumby,30,4,0,2,17,1,10,70,0,134,244
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,189,Lumby--Creighton Valley,41,0,1,4,26,4,19,74,0,169,288
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,190A,Lumby ,47,1,1,3,22,5,6,98,0,183,355
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,190B,Lumby ,47,0,0,6,32,3,8,98,1,195,369
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,191A,Lumby ,39,2,0,4,18,1,3,47,0,114,245
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,191B,Lumby ,32,3,0,3,16,0,6,48,0,108,251
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,192,Cherryville,70,3,2,3,25,6,17,80,1,207,376
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,500,Mobile poll/Bureau itinérant,8,2,2,2,15,0,3,27,2,61,97
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,501,Mobile poll/Bureau itinérant,19,5,0,0,2,0,1,31,3,61,101
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,502,Mobile poll/Bureau itinérant,25,4,0,1,20,0,2,41,3,96,104
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,503,Mobile poll/Bureau itinérant,8,3,0,1,12,0,2,23,1,50,52
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,504,Mobile poll/Bureau itinérant,8,3,0,0,10,0,1,7,0,29,52
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,505,Mobile poll/Bureau itinérant,17,9,1,1,12,0,2,37,3,82,110
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,600,Chase,28,1,0,3,41,2,11,119,0,205,
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,601,Scotch Creek--Anglemont,33,1,1,1,28,0,7,65,1,137,
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,602,Sorrento--Eagle Bay,59,4,0,0,58,1,4,219,0,345,
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,603,Sicamous,36,0,0,0,43,1,6,97,1,184,
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,604,Salmon Arm #1,140,1,0,2,96,0,10,216,2,467,
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,605,Salmon Arm #2,132,4,0,2,77,6,29,229,1,480,
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,606,Enderby,64,2,1,3,50,1,10,134,0,265,
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,607,Armstrong--Spallumcheen,96,3,1,2,102,2,22,356,3,587,
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,608,Vernon,59,2,0,2,81,2,14,218,0,378,
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,609,Vernon,88,1,0,1,104,2,23,250,1,470,
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,610,Vernon,130,6,1,3,142,6,30,286,1,605,
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,611,Vernon,104,4,1,5,127,2,13,296,2,554,
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,612,Vernon,122,4,0,0,124,5,11,265,2,533,
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,613,Coldstream,48,1,1,2,67,2,13,162,1,297,
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,614,Lumby,41,2,0,0,28,2,10,114,1,198,
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,,Group 1/Groupe 1,13,1,0,1,25,1,7,39,2,89,197
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,,Group 2/Groupe 2,217,3,0,3,181,3,51,672,8,1138,
