District,Poll Number,Poll Name,Robert A. Cruise,Paul Forman,David Tremblay,Jeff Watson,Susan Whelan,Rejected Ballots,Total Vote,Electors
Essex/Essex,51,LaSalle,0,5,66,62,66,1,200,409
Essex/Essex,52,LaSalle,0,8,64,83,110,2,267,509
Essex/Essex,53,LaSalle,0,7,45,73,64,0,189,371
Essex/Essex,54,LaSalle,0,12,65,90,71,0,238,400
Essex/Essex,55,LaSalle,0,6,38,64,83,2,193,380
Essex/Essex,56,LaSalle,0,9,57,50,85,2,203,372
Essex/Essex,57,LaSalle,1,7,62,70,94,0,234,454
Essex/Essex,58,LaSalle,0,11,44,81,85,1,222,459
Essex/Essex,59,LaSalle,0,12,75,82,117,3,289,479
Essex/Essex,60,LaSalle,0,5,45,43,51,1,145,291
Essex/Essex,61,LaSalle,0,3,43,65,47,0,158,287
Essex/Essex,62,LaSalle,0,9,47,74,92,0,222,404
Essex/Essex,63,LaSalle,0,14,46,100,83,0,243,471
Essex/Essex,64,LaSalle,0,4,56,71,70,0,201,393
Essex/Essex,65,LaSalle,0,4,48,52,58,0,162,296
Essex/Essex,66,LaSalle,0,7,97,72,78,1,255,476
Essex/Essex,67A,LaSalle,0,6,29,65,53,2,155,352
Essex/Essex,67B,LaSalle,0,4,27,55,59,0,145,352
Essex/Essex,68,LaSalle,0,8,19,75,67,0,169,281
Essex/Essex,69,LaSalle,0,5,33,61,77,2,178,373
Essex/Essex,70,LaSalle,0,15,53,92,100,0,260,437
Essex/Essex,71,LaSalle,0,27,50,83,73,0,233,373
Essex/Essex,72,LaSalle,0,9,34,51,59,1,154,308
Essex/Essex,73,LaSalle,0,10,78,134,94,1,317,685
Essex/Essex,74,LaSalle,0,3,34,50,55,0,142,258
Essex/Essex,75,LaSalle,0,6,38,75,67,0,186,418
Essex/Essex,76,LaSalle,1,14,83,101,93,3,295,641
Essex/Essex,77,LaSalle,3,14,59,125,149,3,353,638
Essex/Essex,78A,LaSalle,1,8,33,84,81,1,208,437
Essex/Essex,78B,LaSalle,0,7,36,69,80,2,194,447
Essex/Essex,79,LaSalle,0,9,52,146,138,2,347,542
Essex/Essex,80,LaSalle,0,4,45,107,122,2,280,552
Essex/Essex,81,LaSalle,0,15,102,87,106,2,312,661
Essex/Essex,82,LaSalle,1,5,42,53,46,0,147,276
Essex/Essex,83,LaSalle,2,9,66,54,114,1,246,455
Essex/Essex,84,LaSalle,0,15,73,90,114,0,292,506
Essex/Essex,85,LaSalle,2,6,57,89,82,2,238,440
Essex/Essex,86,LaSalle,0,2,34,39,65,0,140,269
