District,Poll Number,Poll Name,Charles Isaac Hubbard,Michael J. Morrison,Hilaire Rousselle,Garry Sanipass,Rejected Ballots,Total Vote,Electors
Miramichi/Miramichi,64,Miramichi,135,83,27,9,1,255,456
Miramichi/Miramichi,65,Miramichi,23,38,18,4,3,86,158
Miramichi/Miramichi,66A,Miramichi,54,46,27,6,2,135,233
Miramichi/Miramichi,66B,Miramichi,98,44,9,3,4,158,262
Miramichi/Miramichi,67,Miramichi,115,48,33,13,5,214,410
Miramichi/Miramichi,68,Miramichi,78,68,19,2,2,169,292
Miramichi/Miramichi,69,Miramichi,128,93,39,20,6,286,458
Miramichi/Miramichi,70A,Miramichi,79,38,22,5,3,147,256
Miramichi/Miramichi,70B,Miramichi,87,52,20,6,2,167,273
Miramichi/Miramichi,71,Miramichi,131,85,37,11,5,269,444
Miramichi/Miramichi,72A,Miramichi,106,56,28,6,2,198,292
Miramichi/Miramichi,72B,Miramichi,74,53,20,9,2,158,265
Miramichi/Miramichi,73A,Miramichi,105,71,25,15,4,220,347
Miramichi/Miramichi,73B,Miramichi,70,60,27,10,0,167,279
Miramichi/Miramichi,74,Miramichi,82,55,35,16,2,190,310
Miramichi/Miramichi,75,Miramichi,134,80,51,21,3,289,413
Miramichi/Miramichi,76,Miramichi,121,44,39,15,2,221,348
Miramichi/Miramichi,77,Miramichi,90,45,23,9,2,169,280
Miramichi/Miramichi,78,Miramichi,68,20,34,6,3,131,196
Miramichi/Miramichi,79,Miramichi,102,50,20,14,10,196,313
Miramichi/Miramichi,80,Miramichi,125,84,49,26,9,293,407
Miramichi/Miramichi,81,Miramichi,90,65,12,15,1,183,342
Miramichi/Miramichi,82A,Miramichi,97,44,21,7,5,174,259
Miramichi/Miramichi,82B,Miramichi,68,34,16,6,2,126,241
Miramichi/Miramichi,83,Miramichi,83,51,32,11,2,179,409
Miramichi/Miramichi,84,Miramichi,84,35,30,11,1,161,277
Miramichi/Miramichi,85,Miramichi,81,39,21,11,1,153,271
