District,Poll Number,Poll Name,Piper Huggins,Louise Martineau,Christian Ouellet,Denis Paradis,Peter Stastny,Rejected Ballots,Total Vote,Electors
Brome--Missisquoi/Brome--Missisquoi,131,Magog,1,6,95,62,16,2,182,347
Brome--Missisquoi/Brome--Missisquoi,132,Austin,14,17,142,131,50,7,361,673
Brome--Missisquoi/Brome--Missisquoi,133,Eastman,8,21,154,90,25,6,304,493
Brome--Missisquoi/Brome--Missisquoi,134,Eastman,3,2,91,65,10,2,173,279
Brome--Missisquoi/Brome--Missisquoi,135,Saint-Étienne-de-Bolton,9,11,122,53,25,4,224,393
Brome--Missisquoi/Brome--Missisquoi,136,Bolton-Est,8,25,81,177,44,3,338,576
Brome--Missisquoi/Brome--Missisquoi,137,Austin,10,9,52,138,48,4,261,388
Brome--Missisquoi/Brome--Missisquoi,138,Magog,19,17,125,183,42,7,393,658
Brome--Missisquoi/Brome--Missisquoi,139,Magog,11,13,167,99,29,3,322,685
Brome--Missisquoi/Brome--Missisquoi,140,Magog,5,11,93,36,16,5,166,324
Brome--Missisquoi/Brome--Missisquoi,141,Magog,4,13,116,100,26,3,262,464
Brome--Missisquoi/Brome--Missisquoi,142,Magog,6,4,62,111,24,2,209,499
Brome--Missisquoi/Brome--Missisquoi,143,Magog,14,7,170,108,18,3,320,570
Brome--Missisquoi/Brome--Missisquoi,144,Magog,3,8,131,129,22,5,298,519
Brome--Missisquoi/Brome--Missisquoi,145,Magog,4,4,119,92,14,2,235,397
Brome--Missisquoi/Brome--Missisquoi,146,Magog,5,16,146,98,16,4,285,546
Brome--Missisquoi/Brome--Missisquoi,147,Magog,6,14,135,121,25,8,309,611
Brome--Missisquoi/Brome--Missisquoi,148,Magog,2,7,94,37,13,1,154,519
Brome--Missisquoi/Brome--Missisquoi,149,Magog,3,1,112,87,26,5,234,428
Brome--Missisquoi/Brome--Missisquoi,150,Magog,11,15,149,74,20,9,278,474
Brome--Missisquoi/Brome--Missisquoi,151,Magog,2,6,106,42,7,3,166,308
Brome--Missisquoi/Brome--Missisquoi,152,Magog,2,7,80,67,14,2,172,349
Brome--Missisquoi/Brome--Missisquoi,153,Magog,5,7,87,62,18,3,182,421
Brome--Missisquoi/Brome--Missisquoi,154,Magog,3,6,93,49,13,2,166,314
Brome--Missisquoi/Brome--Missisquoi,155,Magog,2,11,88,70,20,3,194,427
Brome--Missisquoi/Brome--Missisquoi,156,Magog,3,3,48,45,5,4,108,363
Brome--Missisquoi/Brome--Missisquoi,157,Magog,5,11,55,37,7,1,116,332
Brome--Missisquoi/Brome--Missisquoi,158,Magog,3,6,49,42,7,4,111,319
Brome--Missisquoi/Brome--Missisquoi,159,Magog,0,5,98,61,11,3,178,341
Brome--Missisquoi/Brome--Missisquoi,160,Magog,2,3,85,57,15,1,163,402
Brome--Missisquoi/Brome--Missisquoi,161,Magog,2,3,47,35,18,2,107,367
Brome--Missisquoi/Brome--Missisquoi,162,Magog,7,3,77,54,27,4,172,475
Brome--Missisquoi/Brome--Missisquoi,163,Magog,3,11,117,49,18,1,199,445
Brome--Missisquoi/Brome--Missisquoi,164,Magog,7,14,158,82,24,7,292,564
Brome--Missisquoi/Brome--Missisquoi,165,Magog,8,20,153,89,28,8,306,520
Brome--Missisquoi/Brome--Missisquoi,166,Magog,1,18,143,166,26,4,358,563
Brome--Missisquoi/Brome--Missisquoi,167,Magog,7,4,107,104,17,2,241,412
Brome--Missisquoi/Brome--Missisquoi,600,Venise-en-Québec,7,6,95,124,35,4,271,
Brome--Missisquoi/Brome--Missisquoi,601,Bedford,11,15,117,191,55,2,391,
Brome--Missisquoi/Brome--Missisquoi,602,Farnham,13,22,172,227,62,4,500,
Brome--Missisquoi/Brome--Missisquoi,603,Bromont,6,18,109,142,45,8,328,
Brome--Missisquoi/Brome--Missisquoi,604,Cowansville,15,13,194,358,94,10,684,
Brome--Missisquoi/Brome--Missisquoi,605,Lac-Brome,17,18,83,360,105,2,585,
Brome--Missisquoi/Brome--Missisquoi,606,Canton de Magog,18,23,320,286,59,12,718,
Brome--Missisquoi/Brome--Missisquoi,607,Magog,12,19,246,344,68,10,699,
Brome--Missisquoi/Brome--Missisquoi,,Group 1/Groupe 1,2,2,21,26,18,1,70,167
Brome--Missisquoi/Brome--Missisquoi,,Group 2/Groupe 2,13,35,265,685,142,42,1182,
