District,Poll Number,Poll Name,Gordon Guyatt,David Januczkowski,Russ Powers,David Sweet,Rejected Ballots,Total Vote,Electors
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,204,Ancaster,48,6,101,115,1,271,472
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,205,Ancaster,27,4,64,66,0,161,272
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,206A,Ancaster,47,7,136,84,0,274,452
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,206B,Ancaster,44,10,151,78,1,284,395
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,207,Ancaster,20,3,124,103,1,251,392
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,208,Ancaster,40,16,87,144,2,289,487
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,209,Ancaster,21,3,53,96,1,174,277
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,210,Ancaster,14,6,35,92,2,149,234
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,211,Ancaster,27,5,50,49,2,133,206
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,400,Dundas,26,9,81,33,2,151,496
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,401,Dundas,Void,,,,,,
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,402,Hamilton,Merged with No. 102,,,,,,7
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,403,Hamilton,57,5,66,20,0,148,206
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,404,Ancaster,Merged with No. 201,,,,,,13
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,500,Mobile poll/Bureau itinérant,11,2,13,14,0,40,58
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,501,Mobile poll/Bureau itinérant,6,1,15,21,0,43,167
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,502,Mobile poll/Bureau itinérant,9,2,22,40,0,73,97
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,503,Mobile poll/Bureau itinérant,12,0,46,5,1,64,83
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,504,Mobile poll/Bureau itinérant,14,1,23,11,1,50,120
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,505,Mobile poll/Bureau itinérant,8,2,28,17,1,56,81
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,506,Mobile poll/Bureau itinérant,21,4,55,29,2,111,144
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,507,Mobile poll/Bureau itinérant,19,5,28,39,3,94,193
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,508,Mobile poll/Bureau itinérant,20,3,44,21,0,88,184
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,509,Mobile poll/Bureau itinérant,8,5,8,3,1,25,35
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,600,Hamilton,44,11,129,265,3,452,
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,601,Hamilton,46,11,70,149,1,277,
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,602,Hamilton,32,7,81,111,1,232,
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,603,Hamilton,55,20,128,221,3,427,
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,604,Hamilton,62,24,199,264,1,550,
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,605,Hamilton,168,32,275,244,0,719,
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,606,Hamilton,166,16,158,116,0,456,
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,607,Hamilton,168,9,165,116,1,459,
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,608,Hamilton,228,25,436,357,0,1046,
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,609,Hamilton,128,19,406,468,4,1025,
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,610,Hamilton,35,8,57,147,1,248,
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,611,Hamilton,81,26,246,365,4,722,
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,,Group 1/Groupe 1,26,7,36,41,1,111,195
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,,Group 2/Groupe 2,154,40,285,251,13,743,
