District,Poll Number,Poll Name,David Askew,Katrina Chowne,Connie Fogal,Stephen Owen,Stephen Rogers,Doug Warkentin,Donovan Young,Rejected Ballots,Total Vote,Electors
Vancouver Quadra/Vancouver Quadra,24,Vancouver,43,0,0,154,53,26,0,0,276,439
Vancouver Quadra/Vancouver Quadra,25,Vancouver,31,0,0,102,38,8,1,0,180,273
Vancouver Quadra/Vancouver Quadra,26,Vancouver,43,0,1,120,56,17,0,1,238,408
Vancouver Quadra/Vancouver Quadra,27,Vancouver,53,0,0,111,44,28,0,0,236,376
Vancouver Quadra/Vancouver Quadra,28,Vancouver,28,0,0,121,44,10,0,1,204,362
Vancouver Quadra/Vancouver Quadra,29,Vancouver,55,0,1,157,63,12,1,1,290,459
Vancouver Quadra/Vancouver Quadra,30,Vancouver,48,0,1,171,58,20,0,0,298,448
Vancouver Quadra/Vancouver Quadra,31,Vancouver,41,0,0,160,85,24,0,1,311,500
Vancouver Quadra/Vancouver Quadra,32,Vancouver,27,2,0,139,56,13,0,0,237,366
Vancouver Quadra/Vancouver Quadra,33,Vancouver,24,0,0,121,49,7,1,0,202,337
Vancouver Quadra/Vancouver Quadra,34,Vancouver,22,0,1,120,43,17,0,1,204,399
Vancouver Quadra/Vancouver Quadra,35,Vancouver,26,0,0,108,67,13,0,1,215,327
Vancouver Quadra/Vancouver Quadra,36,Vancouver,37,0,0,162,39,10,0,0,248,390
Vancouver Quadra/Vancouver Quadra,37,Vancouver,87,1,2,117,44,19,0,0,270,417
Vancouver Quadra/Vancouver Quadra,38,Vancouver,100,1,0,98,43,24,0,5,271,375
Vancouver Quadra/Vancouver Quadra,39,Vancouver,44,2,1,116,47,12,0,0,222,389
Vancouver Quadra/Vancouver Quadra,40,Vancouver,54,1,0,134,37,21,0,1,248,378
Vancouver Quadra/Vancouver Quadra,41,Vancouver,18,0,1,110,57,18,0,0,204,344
Vancouver Quadra/Vancouver Quadra,42,Vancouver,78,4,1,181,47,15,2,0,328,568
Vancouver Quadra/Vancouver Quadra,43,Vancouver,71,0,0,123,42,21,0,1,258,455
Vancouver Quadra/Vancouver Quadra,44,Vancouver,45,1,0,119,26,18,0,0,209,442
Vancouver Quadra/Vancouver Quadra,45,Vancouver,52,0,1,133,34,29,0,0,249,442
Vancouver Quadra/Vancouver Quadra,46,Vancouver,46,0,2,100,31,20,0,0,199,331
Vancouver Quadra/Vancouver Quadra,47,Vancouver,75,1,1,134,45,21,0,0,277,416
Vancouver Quadra/Vancouver Quadra,48,Vancouver,46,2,2,103,29,8,1,1,192,337
Vancouver Quadra/Vancouver Quadra,49,Vancouver,49,0,0,123,28,10,0,0,210,315
Vancouver Quadra/Vancouver Quadra,50,Vancouver,68,0,1,122,22,13,1,1,228,342
