District,Poll Number,Poll Name,Rex Barnes,John Lannon,Samuel Robert McLean,Scott Simms,Ed Sailor White,Rejected Ballots,Total Vote,Electors
Bonavista--Exploits/Bonavista--Exploits,198,Plate Cove West and East,81,0,14,32,2,1,130,274
Bonavista--Exploits/Bonavista--Exploits,199,Summerville,18,0,2,21,0,0,41,159
Bonavista--Exploits/Bonavista--Exploits,200,Southern Bay--Princeton,40,1,13,35,0,0,89,195
Bonavista--Exploits/Bonavista--Exploits,201,Duntara--Keels,32,1,4,24,2,0,63,120
Bonavista--Exploits/Bonavista--Exploits,202,King's Cove,29,2,17,21,1,1,71,195
Bonavista--Exploits/Bonavista--Exploits,203,Upper--Middle--Lower Amherst Cove,14,3,11,49,1,3,81,271
Bonavista--Exploits/Bonavista--Exploits,204,Bonavista,12,0,3,58,1,0,74,239
Bonavista--Exploits/Bonavista--Exploits,205,Bonavista,30,1,3,62,1,0,97,253
Bonavista--Exploits/Bonavista--Exploits,206,Bonavista,14,0,5,60,1,0,80,261
Bonavista--Exploits/Bonavista--Exploits,207,Bonavista,25,0,9,69,1,1,105,370
Bonavista--Exploits/Bonavista--Exploits,208,Bonavista,23,1,6,32,1,0,63,250
Bonavista--Exploits/Bonavista--Exploits,209,Bonavista,19,0,13,51,4,4,91,334
Bonavista--Exploits/Bonavista--Exploits,210,Bonavista,16,0,3,47,1,0,67,274
Bonavista--Exploits/Bonavista--Exploits,211,Bonavista,8,0,5,35,0,0,48,207
Bonavista--Exploits/Bonavista--Exploits,212,Bonavista,18,0,7,50,0,0,75,255
Bonavista--Exploits/Bonavista--Exploits,213,Bonavista,13,1,7,41,0,0,62,170
Bonavista--Exploits/Bonavista--Exploits,214,Bonavista,25,2,3,45,0,0,75,211
Bonavista--Exploits/Bonavista--Exploits,215,Bonavista,30,1,9,41,2,0,83,253
Bonavista--Exploits/Bonavista--Exploits,216,Spillers Cove,28,0,7,85,0,2,122,373
Bonavista--Exploits/Bonavista--Exploits,217,Little Catalina,23,1,3,37,0,1,65,198
Bonavista--Exploits/Bonavista--Exploits,218,Little Catalina,15,0,5,48,0,0,68,231
Bonavista--Exploits/Bonavista--Exploits,219,Catalina,36,0,6,27,2,1,72,255
Bonavista--Exploits/Bonavista--Exploits,220,Catalina,42,0,10,27,1,0,80,221
Bonavista--Exploits/Bonavista--Exploits,221,Catalina,51,0,7,38,3,2,101,239
Bonavista--Exploits/Bonavista--Exploits,222,Port Union,33,0,4,22,0,0,59,122
Bonavista--Exploits/Bonavista--Exploits,223,Port Union,50,1,4,50,1,0,106,289
Bonavista--Exploits/Bonavista--Exploits,224,Melrose,87,1,2,23,1,1,115,226
Bonavista--Exploits/Bonavista--Exploits,225,English Harbour--Champney's East,34,2,3,20,5,0,64,102
Bonavista--Exploits/Bonavista--Exploits,226,Champney's West--Champney's Arm,24,2,13,19,0,0,58,156
Bonavista--Exploits/Bonavista--Exploits,227,Trinity East,42,1,29,84,5,0,161,320
Bonavista--Exploits/Bonavista--Exploits,228,Trinity--Lockston,42,0,9,30,2,0,83,176
Bonavista--Exploits/Bonavista--Exploits,229A,Old & New Bonaventure,21,1,10,24,1,0,57,172
Bonavista--Exploits/Bonavista--Exploits,229B,Goose Cove--Dunfield,17,0,10,50,3,0,80,177
