Province,District,Candidate,Residence,Occupation,Number of Votes,Number of Votes Percent,Number Majority,Majority Percent
"Quebec/Québec","Matapédia--Matane","Nicolas Deville Green Party/Parti Vert","Matane, QC/Qué.","Teacher/Enseignant",585,1.85,,
"Quebec/Québec","Mégantic--L'Érable","Marc Boulianne Bloc Québécois/Bloc Québécois","Thetford Mines, QC/Qué.","Retired/Retraité",19264,44.74,      3486,   8.1
"Quebec/Québec","Mégantic--L'Érable","Gérard Binet ** Liberal/Libéral","Adstock, QC/Qué.","Business Person/Homme d'affaires",15778,36.65,,
"Quebec/Québec","Mégantic--L'Érable","Yves Mailly Conservative/conservateur","Saint-Apollinaire, QC/Qué.","Paralegal/Technicien juridique",4916,11.42,,
"Quebec/Québec","Mégantic--L'Érable","Alexandre Côté N.D.P./N.P.D.","Victoriaville, QC/Qué.","Security Officer/Agent de sécurité",1608,3.73,,
"Quebec/Québec","Mégantic--L'Érable","Bruno Vézina Green Party/Parti Vert","Irlande, QC/Qué.","Silviculture Worker/Ouvrier sylvicole",1489,3.46,,
"Quebec/Québec","Montcalm","Roger Gaudet ** Bloc Québécois/Bloc Québécois","Saint-Liguori, QC/Qué.","Parliamentarian/Parlementaire",34383,71.24,     26468,  54.8
"Quebec/Québec","Montcalm","Daniel Brazeau Liberal/Libéral","Chertsey, QC/Qué.","Business Person/Homme d'affaires",7915,16.4,,
"Quebec/Québec","Montcalm","Michel Paulette Conservative/conservateur","Mascouche, QC/Qué.","Business Person/Entrepreneur",2831,5.87,,
"Quebec/Québec","Montcalm","Serge Bellemare Green Party/Parti Vert","Montréal, QC/Qué.","Teacher/Enseignant",1606,3.33,,
"Quebec/Québec","Montcalm","François Rivest N.D.P./N.P.D.","Sainte-Béatrix, QC/Qué.","Student/Étudiant",1531,3.17,,
"Quebec/Québec","Mount Royal/Mont-Royal","Irwin Cotler ** Liberal/Libéral","Côte-Saint-Luc, QC/Qué.","Professor/Lawyer/Professeur/avocat",28670,75.68,     25399,  67.0
"Quebec/Québec","Mount Royal/Mont-Royal","Matthew Fireman Conservative/conservateur","Mont-Royal, QC/Qué.","Senior Strategy Analyst/Analyste principal en stratégie",3271,8.63,,
"Quebec/Québec","Mount Royal/Mont-Royal","Vincent Gagnon Bloc Québécois/Bloc Québécois","Boucherville, QC/Qué.","Teacher/Enseignant",2636,6.96,,
"Quebec/Québec","Mount Royal/Mont-Royal","Sébastien Beaudet N.D.P./N.P.D.","Montréal, QC/Qué.","Student/Étudiant",1859,4.91,,
"Quebec/Québec","Mount Royal/Mont-Royal","Adam Sommerfeld Green Party/Parti Vert","Montréal, QC/Qué.","Student/Étudiant",1046,2.76,,
"Quebec/Québec","Mount Royal/Mont-Royal","Adam Greenblatt Marijuana Party/Parti Marijuana","Montréal, QC/Qué.","Sales Representative/Représentant des ventes",308,.81,,
"Quebec/Québec","Mount Royal/Mont-Royal","Diane Johnston Marxist-Leninist/Marxiste-Léniniste","Montréal, QC/Qué.","Secretary/Secrétaire",94,.25,,
"Quebec/Québec","Notre-Dame-de-Grâce--Lachine","Marlene Jennings ** Liberal/Libéral","Montréal, QC/Qué.","Parliamentarian/Lawyer/Parlementaire/avocate",23552,53.2,     13816,  31.2
"Quebec/Québec","Notre-Dame-de-Grâce--Lachine","Jean-Philippe Chartré Bloc Québécois/Bloc Québécois","Montréal, QC/Qué.","Student/Étudiant",9736,21.99,,
"Quebec/Québec","Notre-Dame-de-Grâce--Lachine","William R. McCullock Conservative/conservateur","Lachine, QC/Qué.","Certified Management Accountant/Comptable en management accrédité",4526,10.22,,
"Quebec/Québec","Notre-Dame-de-Grâce--Lachine","Maria Pia Chávez N.D.P./N.P.D.","Montréal, QC/Qué.","Teacher/Enseignante",3513,7.93,,
"Quebec/Québec","Notre-Dame-de-Grâce--Lachine","Jessica Gal Green Party/Parti Vert","Montréal, QC/Qué.","Musician/Musicienne",2214,5,,
"Quebec/Québec","Notre-Dame-de-Grâce--Lachine","Jay Dell Marijuana Party/Parti Marijuana","Montréal, QC/Qué.","Self-employed /Travailleur autonome",479,1.08,,
"Quebec/Québec","Notre-Dame-de-Grâce--Lachine","Earl Wertheimer Libertarian/Libertarien","Montréal, QC/Qué.","Computer Consultant/Consultant en informatique",165,.37,,
"Quebec/Québec","Notre-Dame-de-Grâce--Lachine","Rachel Hoffman Marxist-Leninist/Marxiste-Léniniste","Montréal, QC/Qué.","Graphic Designer/Conceptrice graphique",88,.2,,
"Quebec/Québec","Nunavik--Eeyou","Yvon Lévesque Bloc Québécois/Bloc Québécois","Val-Senneville, QC/Qué.","Electrician/Électricien",12578,45.23,       572,   2.1
"Quebec/Québec","Nunavik--Eeyou","Guy St-Julien ** Liberal/Libéral","Val-d'Or, QC/Qué.","Human Resources Director/Directeur des ressources humaines",12006,43.17,,
"Quebec/Québec","Nunavik--Eeyou","François Dionne Conservative/conservateur","Saint-Laurent, QC/Qué.","Accountant/Comptable",1265,4.55,,
"Quebec/Québec","Nunavik--Eeyou","Pierre Corbeil N.D.P./N.P.D.","Montréal, QC/Qué.","Advertising /Publicitaire",1097,3.94,,
"Quebec/Québec","Nunavik--Eeyou","Martin Fournier Green Party/Parti Vert","Vancouver, BC/C.-B.","Student/Étudiant",862,3.1,,
"Quebec/Québec","Outremont","Jean Lapierre Liberal/Libéral","Montréal, QC/Qué.","Lawyer/Communicator/Avocat/communicateur",15675,40.94,      2945,   7.7
"Quebec/Québec","Outremont","François Rebello Bloc Québécois/Bloc Québécois","Montréal, QC/Qué.","Consultant/Consultant",12730,33.25,,
"Quebec/Québec","Outremont","Omar Aktouf N.D.P./N.P.D.","Verdun, QC/Qué.","Professor/Professeur",5382,14.06,,
"Quebec/Québec","Outremont","Marc Rousseau Conservative/conservateur","Montréal, QC/Qué.","Banker/Banquier",2284,5.97,,
"Quebec/Québec","Outremont","Shaun Perceval-Maxwell Green Party/Parti Vert","Montréal, QC/Qué.","Professor/Professeur",1643,4.29,,
"Quebec/Québec","Outremont","Yan Lacombe Marijuana Party/Parti Marijuana","Montréal, QC/Qué.","/",452,1.18,,
"Quebec/Québec","Outremont","Linda Sullivan Marxist-Leninist/Marxiste-Léniniste","Montréal, QC/Qué.","Student/Étudiante",120,.31,,
"Quebec/Québec","Papineau","Pierre Pettigrew ** Liberal/Libéral","Outremont, QC/Qué.","Consultant/Consultant",16892,41.1,       468,   1.1
"Quebec/Québec","Papineau","Martine Carrière Bloc Québécois/Bloc Québécois","Montréal, QC/Qué.","Student/Étudiante",16424,39.96,,
"Quebec/Québec","Papineau","André Frappier N.D.P./N.P.D.","Montréal, QC/Qué.","Postal Carrier/Facteur",3603,8.77,,
"Quebec/Québec","Papineau","Mustaque Sarker Conservative/conservateur","Montréal, QC/Qué.","Accountant/Comptable",1961,4.77,,
"Quebec/Québec","Papineau","Adam Jastrzebski Green Party/Parti Vert","Montréal, QC/Qué.","Products Head/Chef des produits",1058,2.57,,
"Quebec/Québec","Papineau","Christelle Dusablon-Pelletier Marijuana Party/Parti Marijuana","Montréal, QC/Qué.","Activist/Activiste",490,1.19,,
"Quebec/Québec","Papineau","André Parizeau Communist/Communiste","Montréal, QC/Qué.","Journalist/Journaliste",252,.61,,
"Quebec/Québec","Papineau","Jimmy Garoufalis Independent/Indépendant","Montréal, QC/Qué.","Customer Service Representative/Représentant des services à la clientèle",250,.61,,
"Quebec/Québec","Papineau","Peter Macrisopoulos Marxist-Leninist/Marxiste-Léniniste","Montréal, QC/Qué.","Painter/Peintre",169,.41,,
"Quebec/Québec","Pierrefonds--Dollard","Bernard Patry ** Liberal/Libéral","L'Île-Bizard, QC/Qué.","Physician/Médecin",29601,63.57,     22175,  47.6
"Quebec/Québec","Pierrefonds--Dollard","Marie-Hélène Brunet Bloc Québécois/Bloc Québécois","Pierrefonds, QC/Qué.","Student/Étudiante",7426,15.95,,
"Quebec/Québec","Pierrefonds--Dollard","Andrea Paine Conservative/conservateur","Saint-Lazare, QC/Qué.","Communications Specialist/Spécialiste des communications",5010,10.76,,
"Quebec/Québec","Pierrefonds--Dollard","Danielle Lustgarten N.D.P./N.P.D.","Pierrefonds, QC/Qué.","Researcher/Chercheure",2545,5.47,,
"Quebec/Québec","Pierrefonds--Dollard","Theodore Kouretas Green Party/Parti Vert","Montréal, QC/Qué.","Professor/Professeur",1401,3.01,,
"Quebec/Québec","Pierrefonds--Dollard","Jean-François Labrecque Marijuana Party/Parti Marijuana","Dollard-des-Ormeaux, QC/Qué.","Band Technician/Technicien pour groupes de musique",511,1.1,,
"Quebec/Québec","Pierrefonds--Dollard","Garnet Colly Marxist-Leninist/Marxiste-Léniniste","Montréal, QC/Qué.","Flight Attendant/Agent de bord",71,.15,,
"Quebec/Québec","Pontiac","David Smith Liberal/Libéral","Gatineau, QC/Qué.","Public Servant/Fonctionnaire",15358,38.36,      3673,   9.2
"Quebec/Québec","Pontiac","L-Hubert Leduc Bloc Québécois/Bloc Québécois","Gatineau, QC/Qué.","Retired/Retraité",11685,29.19,,
"Quebec/Québec","Pontiac","Judith Grant Conservative/conservateur","Chelsea, QC/Qué.","/",8869,22.15,,
"Quebec/Québec","Pontiac","Gretchen Schwarz N.D.P./N.P.D.","Shawville, QC/Qué.","Teacher/Enseignante",2317,5.79,,
"Quebec/Québec","Pontiac","Thierry Vicente Green Party/Parti Vert","Gatineau, QC/Qué.","Election Organizer/Organisateur d'élection",1673,4.18,,
"Quebec/Québec","Pontiac","Benoit Legros Marxist-Leninist/Marxiste-Léniniste","Sainte-Cécile-de-Masham, QC/Qué.","Student/Étudiant",132,.33,,
"Quebec/Québec","Portneuf","Guy Côté Bloc Québécois/Bloc Québécois","Pont-Rouge, QC/Qué.","Communications Specialist/Spécialiste en communications",18471,42.91,      6608,  15.3
"Quebec/Québec","Portneuf","Claude Duplain ** Liberal/Libéral","Saint-Raymond, QC/Qué.","Parliamentarian/Parlementaire",11863,27.56,,
"Quebec/Québec","Portneuf","Howard M. Bruce Conservative/conservateur","Sainte-Foy, QC/Qué.","Lawyer/Avocat",9251,21.49,,
"Quebec/Québec","Portneuf","Pierre Poulin Green Party/Parti Vert","Québec, QC/Qué.","Electronics/Électronique",1925,4.47,,
"Quebec/Québec","Portneuf","Jean-François Breton N.D.P./N.P.D.","Québec, QC/Qué.","Political Scientist/Politicologue",1540,3.58,,
"Quebec/Québec","Québec","Christiane Gagnon ** Bloc Québécois/Bloc Québécois","Québec, QC/Qué.","Parliamentarian/Parlementaire",24373,50.63,     11391,  23.7
"Quebec/Québec","Québec","Jean-Philippe Côté Liberal/Libéral","Ottawa, Ont/Ont.","/",12982,26.97,,
"Quebec/Québec","Québec","Pierre Gaudreault Conservative/conservateur","Québec, QC/Qué.","Political Consultant/Conseiller politique",5330,11.07,,
"Quebec/Québec","Québec","Jean-Marie Fiset N.D.P./N.P.D.","Québec, QC/Qué.","/",2670,5.55,,
"Quebec/Québec","Québec","Antonine Yaccarini Green Party/Parti Vert","Québec, QC/Qué.","Sales/Student/Vendeuse/étudiante",2046,4.25,,
"Quebec/Québec","Québec","Pierre-Etienne Paradis Marijuana Party/Parti Marijuana","Montréal, QC/Qué.","Translator/Interpreter/Traducteur/interprète",512,1.06,,
"Quebec/Québec","Québec","Jean Bédard Marxist-Leninist/Marxiste-Léniniste","Beauport, QC/Qué.","Union Advisor/Conseiller syndical",223,.46,,
"Quebec/Québec","Repentigny","Benoît Sauvageau ** Bloc Québécois/Bloc Québécois","Repentigny, QC/Qué.","Parliamentarian/Parlementaire",35907,70.06,     26554,  51.8
"Quebec/Québec","Repentigny","Lévis Brien Liberal/Libéral","L'Épiphanie, QC/Qué.","Administrative Judge/Juge administratif",9353,18.25,,
"Quebec/Québec","Repentigny","Allen  F. MacKenzie Conservative/conservateur","Montréal, QC/Qué.","Business Person/Homme d'affaires",2447,4.77,,
"Quebec/Québec","Repentigny","André Cardinal N.D.P./N.P.D.","Montréal, QC/Qué.","Radio Host /Animateur de radio",1526,2.98,,
"Quebec/Québec","Repentigny","Jean-François Léveque Green Party/Parti Vert","Charlemagne, QC/Qué.","Horticulturist/Horticulteur",1482,2.89,,
"Quebec/Québec","Repentigny","François Boudreau Marijuana Party/Parti Marijuana","Montréal, QC/Qué.","Computer Programmer/Programmeur ",539,1.05,,
"Quebec/Québec","Richelieu","Louis Plamondon ** Bloc Québécois/Bloc Québécois","Sorel-Tracy, QC/Qué.","Parliamentarian/Parlementaire",31497,64.67,     20452,  42.0
"Quebec/Québec","Richelieu","Ghislaine Provencher Liberal/Libéral","Saint-Sylvère, QC/Qué.","Producer/Broker/Productrice/courtière",11045,22.68,,
"Quebec/Québec","Richelieu","Daniel A. Proulx Conservative/conservateur","Saint-Joseph-de-Sorel, QC/Qué.","Business Person/Homme d'affaires",3726,7.65,,
"Quebec/Québec","Richelieu","Charles Bussières N.D.P./N.P.D.","Montréal, QC/Qué.","Organizer/Organisateur",1017,2.09,,
"Quebec/Québec","Richelieu","Jean-Pierre Bonenfant Green Party/Parti Vert","Montréal, QC/Qué.","Clerk/Sales Representative/Commis/vendeur",839,1.72,,
"Quebec/Québec","Richelieu","Daniel Blackburn Marijuana Party/Parti Marijuana","Montréal, QC/Qué.","Television Producer/Réalisateur de télévision",580,1.19,,
"Quebec/Québec","Richmond--Arthabaska","André Bellavance Bloc Québécois/Bloc Québécois","Gatineau, QC/Qué.","Parliamentary Assistant/Adjoint parlementaire",26211,55.55,     13402,  28.4
"Quebec/Québec","Richmond--Arthabaska","Christine St-Pierre Liberal/Libéral","Victoriaville, QC/Qué.","Business Person/Femme d'affaires",12809,27.15,,
"Quebec/Québec","Richmond--Arthabaska","Pierre Poissant Conservative/conservateur","Danville, QC/Qué.","Business Development Consultant/Consultant en développement des entreprises",4925,10.44,,
"Quebec/Québec","Richmond--Arthabaska","Lucie Laforest Green Party/Parti Vert","Québec, QC/Qué.","Food Technician/Technicienne en alimentation",1699,3.6,,
"Quebec/Québec","Richmond--Arthabaska","Jason S. Noble N.D.P./N.P.D.","Windsor, QC/Qué.","Youth Pastoral Worker/Agent de pastorale jeunesse",1540,3.26,,
"Quebec/Québec","Rimouski--Témiscouata","Louise Thibault Bloc Québécois/Bloc Québécois","Le Bic, QC/Qué.","Retired/Retraitée",22215,57.63,     13054,  33.9
"Quebec/Québec","Rimouski--Témiscouata","Côme Roy Liberal/Libéral","Rimouski, QC/Qué.","Teacher (Retired)/Enseignant (retraité)",9161,23.77,,
"Quebec/Québec","Rimouski--Témiscouata","Denis Quimper Conservative/conservateur","Rimouski, QC/Qué.","Computer Network Manager/Gestionnaire de réseau informatique",3445,8.94,,
"Quebec/Québec","Rimouski--Témiscouata","Guy Caron N.D.P./N.P.D.","Gatineau, QC/Qué.","Economist/Économiste",2717,7.05,,
"Quebec/Québec","Rimouski--Témiscouata","Marjolaine Delaunière Green Party/Parti Vert","Rimouski, QC/Qué.","Chef/Chef cuisinière",1008,2.62,,
"Quebec/Québec","Rivière-des-Mille-Îles","Gilles-A. Perron ** Bloc Québécois/Bloc Québécois","Saint-Eustache, QC/Qué.","Parliamentarian/Parlementaire",27993,61.39,     16968,  37.2
"Quebec/Québec","Rivière-des-Mille-Îles","Yolaine Savignac Liberal/Libéral","Deux-Montagnes, QC/Qué.","Administrator/Administratrice",11025,24.18,,
"Quebec/Québec","Rivière-des-Mille-Îles","Érick Gauthier Conservative/conservateur","Saint-Eustache, QC/Qué.","Education Advisor/Conseiller en éducation",3064,6.72,,
"Quebec/Québec","Rivière-des-Mille-Îles","Marie Martine Bédard Green Party/Parti Vert","Deux-Montagnes, QC/Qué.","Artist/Artiste",1961,4.3,,
"Quebec/Québec","Rivière-des-Mille-Îles","Nicolas Du Cap N.D.P./N.P.D.","Deux-Montagnes, QC/Qué.","Student Journalist/Journaliste étudiant",1559,3.42,,
"Quebec/Québec","Rivière-du-Loup--Montmagny","Paul Crête ** Bloc Québécois/Bloc Québécois","La Pocatière, QC/Qué.","Parliamentarian/Parlementaire",25327,57.13,     12203,  27.5
"Quebec/Québec","Rivière-du-Loup--Montmagny","Isabelle Mignault Liberal/Libéral","Gatineau, QC/Qué.","Political Consultant/Conseillère politique",13124,29.61,,
"Quebec/Québec","Rivière-du-Loup--Montmagny","Marc-André Drolet Conservative/conservateur","Montmagny, QC/Qué.","Parts Clerk/Préposé aux pièces",4040,9.11,,
"Quebec/Québec","Rivière-du-Loup--Montmagny","André Clermont Green Party/Parti Vert","Ottawa, Ont/Ont.","Teacher (Retired)/Enseignant (retraité)",962,2.17,,
"Quebec/Québec","Rivière-du-Loup--Montmagny","Frédérick Garon N.D.P./N.P.D.","Montréal, QC/Qué.","Professional/Customer Service/Professionnel/service à la clientèle",876,1.98,,
"Quebec/Québec","Rivière-du-Nord","Monique Guay ** Bloc Québécois/Bloc Québécois","Prévost, QC/Qué.","Parliamentarian/Parlementaire",29204,66.33,     19695,  44.7
"Quebec/Québec","Rivière-du-Nord","Lorraine Auclair Liberal/Libéral","Saint-Jérôme, QC/Qué.","Accountant/Comptable",9509,21.6,,
"Quebec/Québec","Rivière-du-Nord","Catherine Brousseau Conservative/conservateur","Laval, QC/Qué.","Business Person/Entrepreneure",2435,5.53,,
"Quebec/Québec","Rivière-du-Nord","François Côté N.D.P./N.P.D.","Montréal, QC/Qué.","Lawyer/Avocat",1290,2.93,,
"Quebec/Québec","Rivière-du-Nord","Marcel Poirier Green Party/Parti Vert","Prévost, QC/Qué.","Educator/Éducateur ",1129,2.56,,
"Quebec/Québec","Rivière-du-Nord","Christian Marcoux Marijuana Party/Parti Marijuana","Sainte-Anne-des-Lacs, QC/Qué.","Retailer/Commerçant",459,1.04,,
"Quebec/Québec","Roberval","Michel Gauthier ** Bloc Québécois/Bloc Québécois","Roberval, QC/Qué.","Parliamentarian/Parlementaire",20655,59.41,     12591,  36.2
"Quebec/Québec","Roberval","Michel Mallette Liberal/Libéral","Saint-Eugène-d'Argentenay, QC/Qué.","Executive Director/Directeur général",8064,23.19,,
"Quebec/Québec","Roberval","Ghislain Lavoie Conservative/conservateur","Roberval, QC/Qué.","Retailer/Commerçant",3011,8.66,,
"Quebec/Québec","Roberval","Isabelle Tremblay N.D.P./N.P.D.","Saint-Prime, QC/Qué.","Student/Étudiante",1777,5.11,,
"Quebec/Québec","Roberval","Marc-André Gauthier Green Party/Parti Vert","Chambord, QC/Qué.","Student/Étudiant",1260,3.62,,
"Quebec/Québec","Rosemont--La Petite-Patrie","Bernard Bigras ** Bloc Québécois/Bloc Québécois","Montréal, QC/Qué.","Parliamentarian/Parlementaire",31224,61.8,     19652,  38.9
"Quebec/Québec","Rosemont--La Petite-Patrie","Christian Bolduc Liberal/Libéral","Montréal, QC/Qué.","Lawyer/Avocat",11572,22.9,,
"Quebec/Québec","Rosemont--La Petite-Patrie","Benoît Beauchamp N.D.P./N.P.D.","Montréal, QC/Qué.","Teacher/Enseignant",3876,7.67,,
"Quebec/Québec","Rosemont--La Petite-Patrie","François Chevalier Green Party/Parti Vert","Montréal, QC/Qué.","Translator/Traducteur",2145,4.25,,
"Quebec/Québec","Rosemont--La Petite-Patrie","Michel Sauvé Conservative/conservateur","Montréal, QC/Qué.","Marketing Consultant/Conseiller en commercialisation",1561,3.09,,
"Quebec/Québec","Rosemont--La Petite-Patrie","Kenneth Higham Communist/Communiste","Montréal, QC/Qué.","Worker/Ouvrier",145,.29,,
"Quebec/Québec","Saint-Bruno--Saint-Hubert","Carole Lavallée Bloc Québécois/Bloc Québécois","Longueuil, QC/Qué.","Communicator/Communicatrice",28050,55.11,     12593,  24.7
"Quebec/Québec","Saint-Bruno--Saint-Hubert","Marc Savard Liberal/Libéral","Montréal, QC/Qué.","Lawyer/Avocat",15457,30.37,,
"Quebec/Québec","Saint-Bruno--Saint-Hubert","Jean-François Mongeau Conservative/conservateur","La Prairie, QC/Qué.","Retirement and Benefits Advisor/Conseiller en retraite et avantages sociaux",3189,6.27,,
"Quebec/Québec","Saint-Bruno--Saint-Hubert","Marie Henretta N.D.P./N.P.D.","Mont-Saint-Hilaire, QC/Qué.","Teacher/Enseignante",2253,4.43,,
"Quebec/Québec","Saint-Bruno--Saint-Hubert","Janis Crawford Green Party/Parti Vert","Montréal, QC/Qué.","Communications Officer/Agente en communications ",1349,2.65,,
"Quebec/Québec","Saint-Bruno--Saint-Hubert","David Vachon Marijuana Party/Parti Marijuana","McMasterville, QC/Qué.","Student/Étudiant",596,1.17,,
"Quebec/Québec","Saint-Hyacinthe--Bagot","Yvan Loubier ** Bloc Québécois/Bloc Québécois","Saint-Hyacinthe, QC/Qué.","Economist/Économiste",29789,62.4,     19231,  40.3
"Quebec/Québec","Saint-Hyacinthe--Bagot","Michel Gaudette Liberal/Libéral","Saint-Hyacinthe, QC/Qué.","Lawyer/Avocat",10558,22.12,,
"Quebec/Québec","Saint-Hyacinthe--Bagot","Andrée Champagne Conservative/conservateur","Saint-Hyacinthe, QC/Qué.","Actor/Comédienne",5240,10.98,,
"Quebec/Québec","Saint-Hyacinthe--Bagot","Joëlle Chevrier N.D.P./N.P.D.","Montréal, QC/Qué.","Executive Secretary/Secrétaire de direction",1204,2.52,,
"Quebec/Québec","Saint-Hyacinthe--Bagot","Bruno Godbout Green Party/Parti Vert","Mont-Saint-Hilaire, QC/Qué.","Student/Étudiant",948,1.99,,
"Quebec/Québec","Saint-Jean","Claude Bachand ** Bloc Québécois/Bloc Québécois","Saint-Jean-sur-Richelieu, QC/Qué.","Educator/Éducateur",29485,60.11,     16756,  34.2
"Quebec/Québec","Saint-Jean","Michel Fecteau Liberal/Libéral","Saint-Jean-sur-Richelieu, QC/Qué.","Sales Director/Directeur des ventes",12729,25.95,,
"Quebec/Québec","Saint-Jean","Joseph Khoury Conservative/conservateur","Saint-Jean-sur-Richelieu, QC/Qué.","Business Person/Homme d'affaires",3856,7.86,,
"Quebec/Québec","Saint-Jean","Jonathan Trépanier N.D.P./N.P.D.","Montréal, QC/Qué.","Student/Étudiant",1687,3.44,,
"Quebec/Québec","Saint-Jean","Claude Genest Green Party/Parti Vert","LaSalle, QC/Qué.","Ecologist/Écologiste",1298,2.65,,
"Quebec/Québec","Saint-Lambert","Maka Kotto Bloc Québécois/Bloc Québécois","Montréal, QC/Qué.","Artist/Artiste",22024,48.84,      5370,  11.9
"Quebec/Québec","Saint-Lambert","Yolande Thibeault ** Liberal/Libéral","Saint-Lambert, QC/Qué.","Parliamentarian/Parlementaire",16654,36.93,,
"Quebec/Québec","Saint-Lambert","Patrick Clune Conservative/conservateur","Saint-Lambert, QC/Qué.","Business Person/Homme d'affaires",2739,6.07,,
"Quebec/Québec","Saint-Lambert","Monique Garcia N.D.P./N.P.D.","Longueuil, QC/Qué.","Student/Étudiante",2130,4.72,,
"Quebec/Québec","Saint-Lambert","Diane Joubert Green Party/Parti Vert","Saint-Lambert, QC/Qué.","Occupational Therapist/Ergothérapeute",1404,3.11,,
"Quebec/Québec","Saint-Lambert","Normand Fournier Marxist-Leninist/Marxiste-Léniniste","Rimouski, QC/Qué.","Prospector/Prospecteur",145,.32,,
"Quebec/Québec","Saint-Laurent--Cartierville","Stéphane Dion ** Liberal/Libéral","Montréal, QC/Qué.","Parliamentarian/Parlementaire",28107,66.82,     20846,  49.6
"Quebec/Québec","Saint-Laurent--Cartierville","William Fayad Bloc Québécois/Bloc Québécois","Saint-Laurent, QC/Qué.","Teacher/Enseignant",7261,17.26,,
"Quebec/Québec","Saint-Laurent--Cartierville","Zaid Mahayni N.D.P./N.P.D.","Saint-Laurent, QC/Qué.","Lawyer/Avocat",2630,6.25,,
"Quebec/Québec","Saint-Laurent--Cartierville","Marc Rahmé Conservative/conservateur","Pierrefonds, QC/Qué.","Doctor of Pharmacology/Docteur en pharmacologie",2606,6.2,,
"Quebec/Québec","Saint-Laurent--Cartierville","Almaz Aladass Green Party/Parti Vert","Montréal, QC/Qué.","Controller/Business Person/Accountant/Contrôleure/entrepreneure/comptable",875,2.08,,
"Quebec/Québec","Saint-Laurent--Cartierville","Alex Neron Marijuana Party/Parti Marijuana","Montréal, QC/Qué.","Video Producer/Producteur vidéo",298,.71,,
"Quebec/Québec","Saint-Laurent--Cartierville","Fernand Deschamps Marxist-Leninist/Marxiste-Léniniste","Montréal, QC/Qué.","Teacher/Enseignant",125,.3,,
"Quebec/Québec","Saint-Laurent--Cartierville","Ken Fernandez Canadian Action/Action canadienne","Saint-Eustache, QC/Qué.","Political Consultant/Conseiller politique",84,.2,,
"Quebec/Québec","Saint-Laurent--Cartierville","Nilda Vargas Communist/Communiste","Montréal, QC/Qué.","Worker /Ouvrière ",78,.19,,
"Quebec/Québec","Saint-Léonard--Saint-Michel","Massimo Pacetti ** Liberal/Libéral","Saint-Léonard, QC/Qué.","Parliamentarian/Parlementaire",25884,63.9,     17032,  42.0
"Quebec/Québec","Saint-Léonard--Saint-Michel","Paul-Alexis François Bloc Québécois/Bloc Québécois","Montréal, QC/Qué.","Community Worker/Travailleur communautaire",8852,21.85,,
"Quebec/Québec","Saint-Léonard--Saint-Michel","Laura Colella N.D.P./N.P.D.","Saint-Léonard, QC/Qué.","Student/Étudiante",2422,5.98,,
"Quebec/Québec","Saint-Léonard--Saint-Michel","Payam Eslami Conservative/conservateur","Montréal, QC/Qué.","Financial Services Director/Directeur des services financiers",2138,5.28,,
"Quebec/Québec","Saint-Léonard--Saint-Michel","Ricardo Fellicetti Green Party/Parti Vert","Montréal, QC/Qué.","Mechanic/Mécanicien",944,2.33,,
"Quebec/Québec","Saint-Léonard--Saint-Michel","Stéphane Chénier Marxist-Leninist/Marxiste-Léniniste","Montréal, QC/Qué.","Social Work Technician/Technicien en travail social",267,.66,,
"Quebec/Québec","Saint-Maurice--Champlain","Marcel Gagnon ** Bloc Québécois/Bloc Québécois","Mont-Carmel, QC/Qué.","Parliamentarian/Parlementaire",25918,55.29,     11598,  24.7
"Quebec/Québec","Saint-Maurice--Champlain","Marie-Eve Bilodeau Liberal/Libéral","Shawinigan, QC/Qué.","Public Affairs Consultant/Conseillère en affaires publiques",14320,30.55,,
"Quebec/Québec","Saint-Maurice--Champlain","Martial Toupin Conservative/conservateur","Saint-Maurice, QC/Qué.","Forestry Farmer/Agriculteur forestier",4129,8.81,,
"Quebec/Québec","Saint-Maurice--Champlain","Pierre J.C. Allard N.D.P./N.P.D.","Montréal, QC/Qué.","Lawyer/Avocat",1104,2.36,,
"Quebec/Québec","Saint-Maurice--Champlain","Pierre Cayou Audette Green Party/Parti Vert","Clova, QC/Qué.","Electrician/Électricien",855,1.82,,
"Quebec/Québec","Saint-Maurice--Champlain","Paul Giroux Marijuana Party/Parti Marijuana","Montauban, QC/Qué.","/",547,1.17,,
"Quebec/Québec","Shefford","Robert Vincent Bloc Québécois/Bloc Québécois","Granby, QC/Qué.","Union Advisor/Conseiller syndical",21968,46.6,      3243,   6.9
"Quebec/Québec","Shefford","Diane St-Jacques ** Liberal/Libéral","Granby, QC/Qué.","Parliamentarian/Parlementaire",18725,39.72,,
"Quebec/Québec","Shefford","Jacques Parenteau Conservative/conservateur","Chambly, QC/Qué.","Electrical Engineer/Ingénieur électricien",3732,7.92,,
"Quebec/Québec","Shefford","Francine Brière Green Party/Parti Vert","Marieville, QC/Qué.","President/Présidente",1571,3.33,,
"Quebec/Québec","Shefford","Sonia Bisson N.D.P./N.P.D.","Windsor, QC/Qué.","Student/Étudiante",1146,2.43,,
"Quebec/Québec","Sherbrooke","Serge Cardin ** Bloc Québécois/Bloc Québécois","Sherbrooke, QC/Qué.","Parliamentarian/Parlementaire",29323,58.74,     13841,  27.7
"Quebec/Québec","Sherbrooke","Bruno-Marie Béchard Liberal/Libéral","Rock Forest, QC/Qué.","Engineer/Ingénieur",15482,31.01,,
