District,Poll Number,Poll Name,Barry Devolin,Tim Holland,Gil J. McElroy,Charles Olito,John O'Reilly,Peter Vogel,Rejected Ballots,Total Vote,Electors
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,199,North Monaghan,65,7,16,0,45,1,1,135,207
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,200,North Monaghan,58,8,10,1,40,0,0,117,173
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,201,Cavan,143,19,54,2,121,0,0,339,578
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,202,Cavan,129,13,50,2,62,1,2,259,449
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,203,Cavan,63,5,26,2,63,1,0,160,276
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,204,Cavan,56,3,26,2,47,2,0,136,255
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,205A,Cavan,97,13,44,0,56,0,0,210,355
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,205B,Cavan,93,2,24,0,54,0,0,173,341
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,206,Millbrook,109,12,63,1,71,3,0,259,478
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,207,Millbrook,132,17,63,3,98,1,2,316,583
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,208,Cavan,113,18,26,0,94,3,0,254,412
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,209,Cavan,129,14,37,0,81,1,2,264,438
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,500,Mobile poll/Bureau itinérant,32,2,3,1,23,3,0,64,148
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,501,Mobile poll/Bureau itinérant,30,1,7,0,23,2,5,68,190
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,502,Mobile poll/Bureau itinérant,13,2,5,0,16,0,0,36,96
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,503,Mobile poll/Bureau itinérant,37,3,20,1,58,2,2,123,229
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,504,Mobile poll/Bureau itinérant,16,0,11,0,18,0,3,48,114
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,505,Mobile poll/Bureau itinérant,31,4,15,0,31,4,0,85,169
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,506,Mobile poll/Bureau itinérant,26,2,6,1,30,2,1,68,251
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,507,Mobile poll/Bureau itinérant,29,0,13,2,28,4,1,77,182
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,600,Anson, Hindon and Minden,332,24,89,3,236,6,4,694,
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,601,Haliburton--Harvey,303,27,62,1,157,5,3,558,
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,602,Harvey,104,9,22,0,64,0,1,200,
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,603,Anson, Hindon and Minden,207,9,41,4,99,1,0,361,
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,604,Beaverton,317,14,78,1,168,2,2,582,
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,605,Mariposa,174,14,35,3,93,2,0,321,
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,606,Fenelon Falls,489,25,121,6,260,4,3,908,
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,607,Bobcaygeon,294,22,78,1,177,2,0,574,
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,608,Lindsay,347,13,62,0,267,6,0,695,
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,609,Lindsay,295,13,74,1,156,3,2,544,
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,610,Cavan--Lindsay,220,19,49,0,153,2,4,447,
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,,Group 1/Groupe 1,32,3,12,0,26,2,1,76,173
Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock,,Group 2/Groupe 2,420,23,114,6,286,8,7,864,
