District,Poll Number,Poll Name,David Anderson,Ariel Lade,Derek J. Skinner,David Turner,Logan Wenham,Rejected Ballots,Total Vote,Electors
Victoria/Victoria,67,Saanich,78,32,1,95,47,0,253,430
Victoria/Victoria,68,Saanich,13,10,0,12,9,0,44,145
Victoria/Victoria,69,Saanich,73,34,1,74,47,0,229,387
Victoria/Victoria,70,Saanich,65,22,0,31,25,0,143,216
Victoria/Victoria,71,Saanich,130,20,1,25,98,1,275,414
Victoria/Victoria,72,Saanich,145,46,2,55,65,1,314,449
Victoria/Victoria,73,Saanich,123,41,0,55,62,0,281,399
Victoria/Victoria,74,Saanich,98,26,1,34,92,0,251,399
Victoria/Victoria,75,Saanich,148,22,1,30,94,0,295,402
Victoria/Victoria,76,Saanich,134,13,0,15,101,2,265,394
