District,Poll Number,Poll Name,Jovette Cyr,Jean-Claude J.C. D'Amours,Rodolphe Martin,Benoit Violette,Rejected Ballots,Total Vote,Electors
Madawaska--Restigouche/Madawaska--Restigouche,125A,Edmundston,Merged with No. 126A,,,,,,24
Madawaska--Restigouche/Madawaska--Restigouche,125B,Edmundston,Merged with No. 126B,,,,,,28
Madawaska--Restigouche/Madawaska--Restigouche,126A,Edmundston,8,78,39,48,11,184,300
Madawaska--Restigouche/Madawaska--Restigouche,126B,Edmundston,8,81,35,32,10,166,246
Madawaska--Restigouche/Madawaska--Restigouche,127,Edmundston,7,97,55,53,10,222,412
Madawaska--Restigouche/Madawaska--Restigouche,128,Edmundston,5,95,49,60,15,224,419
Madawaska--Restigouche/Madawaska--Restigouche,129,Siegas,2,33,38,37,1,111,219
Madawaska--Restigouche/Madawaska--Restigouche,130,Sainte-Anne,6,64,48,38,4,160,331
Madawaska--Restigouche/Madawaska--Restigouche,131,Sainte-Anne-de-Madawaska,3,63,77,53,5,201,365
Madawaska--Restigouche/Madawaska--Restigouche,132,Sainte-Anne-de-Madawaska,0,85,76,60,7,228,469
Madawaska--Restigouche/Madawaska--Restigouche,133,Sainte-Anne,7,78,79,38,9,211,441
Madawaska--Restigouche/Madawaska--Restigouche,134,Notre-Dame-de-Lourdes,4,36,50,44,8,142,247
Madawaska--Restigouche/Madawaska--Restigouche,135,Saint-Léonard,3,27,25,53,5,113,244
Madawaska--Restigouche/Madawaska--Restigouche,136A,Saint-Léonard,6,37,42,64,10,159,305
Madawaska--Restigouche/Madawaska--Restigouche,136B,Saint-Léonard,4,37,25,44,4,114,232
Madawaska--Restigouche/Madawaska--Restigouche,137,Saint-Léonard,5,32,26,66,8,137,307
Madawaska--Restigouche/Madawaska--Restigouche,138,Saint-Léonard,8,58,53,71,8,198,434
Madawaska--Restigouche/Madawaska--Restigouche,139,Saint-Léonard,5,49,27,86,6,173,316
Madawaska--Restigouche/Madawaska--Restigouche,140,Edmundston,3,34,21,31,0,89,155
Madawaska--Restigouche/Madawaska--Restigouche,141,Edmundston,6,95,38,52,4,195,345
Madawaska--Restigouche/Madawaska--Restigouche,142,St. Hilaire,7,82,38,37,11,175,297
Madawaska--Restigouche/Madawaska--Restigouche,143,St. Hilaire,4,76,31,52,12,175,294
Madawaska--Restigouche/Madawaska--Restigouche,144,Baker Brook,10,87,33,42,7,179,327
Madawaska--Restigouche/Madawaska--Restigouche,145,Val-Lambert,2,25,10,32,0,69,148
Madawaska--Restigouche/Madawaska--Restigouche,146,Baker Brook,3,50,16,40,4,113,216
Madawaska--Restigouche/Madawaska--Restigouche,147,Lac-Baker,3,78,30,36,5,152,246
Madawaska--Restigouche/Madawaska--Restigouche,148,Lac-Baker,7,77,37,66,4,191,344
Madawaska--Restigouche/Madawaska--Restigouche,149,Clair,2,100,21,95,1,219,474
Madawaska--Restigouche/Madawaska--Restigouche,150,Clair,4,86,19,69,2,180,465
Madawaska--Restigouche/Madawaska--Restigouche,151,Saint-François,3,70,43,72,2,190,413
Madawaska--Restigouche/Madawaska--Restigouche,152,Saint-François de Madawaska,2,91,24,70,8,195,411
Madawaska--Restigouche/Madawaska--Restigouche,153,Connors,4,63,33,43,4,147,269
Madawaska--Restigouche/Madawaska--Restigouche,500,Mobile poll/Bureau itinérant,3,21,12,11,8,55,116
Madawaska--Restigouche/Madawaska--Restigouche,501,Mobile poll/Bureau itinérant,3,36,21,29,4,93,264
Madawaska--Restigouche/Madawaska--Restigouche,502,Mobile poll/Bureau itinérant,0,27,5,9,2,43,34
Madawaska--Restigouche/Madawaska--Restigouche,503,Mobile poll/Bureau itinérant,5,41,13,21,3,83,107
Madawaska--Restigouche/Madawaska--Restigouche,504,Mobile poll/Bureau itinérant,2,29,8,16,2,57,111
Madawaska--Restigouche/Madawaska--Restigouche,505,Mobile poll/Bureau itinérant,4,38,15,16,5,78,119
Madawaska--Restigouche/Madawaska--Restigouche,506,Mobile poll/Bureau itinérant,4,49,5,28,4,90,26
Madawaska--Restigouche/Madawaska--Restigouche,507,Mobile poll/Bureau itinérant,3,45,14,13,3,78,211
Madawaska--Restigouche/Madawaska--Restigouche,600,Dalhousie,14,238,109,86,8,455,
Madawaska--Restigouche/Madawaska--Restigouche,601,Eel River Crossing,7,72,37,32,2,150,
Madawaska--Restigouche/Madawaska--Restigouche,602,Campbellton,15,278,78,111,10,492,
Madawaska--Restigouche/Madawaska--Restigouche,603,Atholville,9,129,34,51,7,230,
Madawaska--Restigouche/Madawaska--Restigouche,604,Balmoral,10,60,26,27,6,129,
Madawaska--Restigouche/Madawaska--Restigouche,605,Saint-Quentin,5,41,26,28,3,103,
Madawaska--Restigouche/Madawaska--Restigouche,606,Kedgwick,7,59,28,13,1,108,
Madawaska--Restigouche/Madawaska--Restigouche,607,St. Jacques,8,144,53,127,8,340,
Madawaska--Restigouche/Madawaska--Restigouche,608,Edmundston,24,541,171,352,26,1114,
Madawaska--Restigouche/Madawaska--Restigouche,609,Rivière-Verte,9,88,32,62,10,201,
Madawaska--Restigouche/Madawaska--Restigouche,610,Saint-Léonard,4,91,32,68,7,202,
Madawaska--Restigouche/Madawaska--Restigouche,611,St. Hilaire,2,26,12,22,0,62,
Madawaska--Restigouche/Madawaska--Restigouche,612,Clair,3,45,9,56,1,114,
Madawaska--Restigouche/Madawaska--Restigouche,,Group 1/Groupe 1,5,47,13,67,1,133,346
Madawaska--Restigouche/Madawaska--Restigouche,,Group 2/Groupe 2,7,387,79,182,12,667,
