District,Poll Number,Poll Name,Andrew Faust,Tony J. Karadimas,Jim Karygiannis,D'Arcy Palmer,Wayne Yeechong,Rejected Ballots,Total Vote,Electors
Scarborough--Agincourt/Scarborough--Agincourt,115,Scarborough,66,4,158,22,7,1,258,518
Scarborough--Agincourt/Scarborough--Agincourt,116,Scarborough,30,4,112,25,1,1,173,369
Scarborough--Agincourt/Scarborough--Agincourt,117,Scarborough,57,7,202,43,7,0,316,608
Scarborough--Agincourt/Scarborough--Agincourt,118,Scarborough,50,7,171,37,6,3,274,418
Scarborough--Agincourt/Scarborough--Agincourt,119,Scarborough,52,13,164,38,10,1,278,436
Scarborough--Agincourt/Scarborough--Agincourt,120,Scarborough,36,8,151,28,4,1,228,425
Scarborough--Agincourt/Scarborough--Agincourt,121,Scarborough,51,7,154,23,4,1,240,427
Scarborough--Agincourt/Scarborough--Agincourt,122,Scarborough,33,6,80,30,7,1,157,377
Scarborough--Agincourt/Scarborough--Agincourt,123,Scarborough,72,14,176,24,9,1,296,544
Scarborough--Agincourt/Scarborough--Agincourt,124,Scarborough,7,0,28,9,0,0,44,204
Scarborough--Agincourt/Scarborough--Agincourt,125,Scarborough,40,21,153,39,3,2,258,426
Scarborough--Agincourt/Scarborough--Agincourt,126,Scarborough,35,4,144,17,6,0,206,361
Scarborough--Agincourt/Scarborough--Agincourt,127,Scarborough,63,17,205,30,9,4,328,659
Scarborough--Agincourt/Scarborough--Agincourt,128,Scarborough,16,2,75,10,4,0,107,288
Scarborough--Agincourt/Scarborough--Agincourt,129,Scarborough,40,6,140,27,9,0,222,457
Scarborough--Agincourt/Scarborough--Agincourt,130,Scarborough,57,4,142,28,4,2,237,458
Scarborough--Agincourt/Scarborough--Agincourt,131,Scarborough,42,10,186,19,6,0,263,475
Scarborough--Agincourt/Scarborough--Agincourt,132,Scarborough,44,2,173,24,9,1,253,406
Scarborough--Agincourt/Scarborough--Agincourt,133,Scarborough,42,10,144,25,4,2,227,402
Scarborough--Agincourt/Scarborough--Agincourt,134,Scarborough,55,5,119,42,2,0,223,441
Scarborough--Agincourt/Scarborough--Agincourt,135,Scarborough,51,4,148,22,3,0,228,465
Scarborough--Agincourt/Scarborough--Agincourt,136,Scarborough,83,4,140,21,4,0,252,432
Scarborough--Agincourt/Scarborough--Agincourt,137,Scarborough,55,4,134,23,5,3,224,422
Scarborough--Agincourt/Scarborough--Agincourt,138,Scarborough,54,3,99,17,6,0,179,362
Scarborough--Agincourt/Scarborough--Agincourt,139,Scarborough,55,2,123,32,10,2,224,425
Scarborough--Agincourt/Scarborough--Agincourt,140,Scarborough,67,5,166,31,9,7,285,533
Scarborough--Agincourt/Scarborough--Agincourt,141,Scarborough,39,9,175,20,5,2,250,422
Scarborough--Agincourt/Scarborough--Agincourt,142,Scarborough,36,8,134,28,7,1,214,415
Scarborough--Agincourt/Scarborough--Agincourt,143,Scarborough,36,6,107,23,7,0,179,362
Scarborough--Agincourt/Scarborough--Agincourt,144,Scarborough,47,6,181,21,8,1,264,500
Scarborough--Agincourt/Scarborough--Agincourt,400,Scarborough,49,7,140,22,6,0,224,542
Scarborough--Agincourt/Scarborough--Agincourt,401,Scarborough,50,5,154,15,3,0,227,450
Scarborough--Agincourt/Scarborough--Agincourt,402,Scarborough,46,7,152,18,4,0,227,506
Scarborough--Agincourt/Scarborough--Agincourt,403,Scarborough,25,2,55,10,3,1,96,330
Scarborough--Agincourt/Scarborough--Agincourt,404,Scarborough,62,9,145,14,3,1,234,568
Scarborough--Agincourt/Scarborough--Agincourt,405,Scarborough,25,10,86,16,1,0,138,345
Scarborough--Agincourt/Scarborough--Agincourt,406,Scarborough,43,6,105,21,6,2,183,396
