District,Poll Number,Poll Name,Stéphane Chénier,Laura Colella,Payam Eslami,Ricardo Fellicetti,Paul-Alexis François,Massimo Pacetti,Rejected Ballots,Total Vote,Electors
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,106,Saint-Léonard,1,17,6,2,35,119,0,180,400
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,107,Saint-Léonard,1,13,7,2,29,106,3,161,347
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,108,Saint-Léonard,3,13,11,3,17,136,1,184,474
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,109,Saint-Léonard,2,13,8,2,28,85,2,140,343
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,110,Saint-Léonard,0,3,5,1,34,92,5,140,375
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,111,Saint-Léonard,0,9,12,2,41,110,4,178,352
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,112,Saint-Léonard,1,10,5,3,19,96,4,138,322
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,113,Saint-Léonard,1,7,9,4,21,160,0,202,350
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,114,Saint-Léonard,1,8,8,8,25,164,2,216,368
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,115,Saint-Léonard,2,8,12,2,21,129,1,175,307
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,116,Saint-Léonard,2,15,9,5,26,131,1,189,343
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,117,Saint-Léonard,2,11,9,4,30,134,6,196,343
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,118,Saint-Léonard,3,9,13,7,41,119,4,196,399
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,119,Saint-Léonard,0,8,2,2,38,105,2,157,395
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,120,Saint-Léonard,0,18,9,4,29,119,6,185,352
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,121,Saint-Léonard,2,9,11,5,49,125,5,206,365
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,122,Saint-Léonard,0,8,8,5,22,118,6,167,306
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,123,Saint-Léonard,2,15,18,4,77,147,1,264,487
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,124,Saint-Léonard,0,15,6,6,40,85,5,157,306
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,125,Saint-Léonard,2,8,16,4,45,139,6,220,396
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,126,Saint-Léonard,0,17,20,7,75,212,5,336,554
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,127,Saint-Léonard,1,11,2,1,35,150,1,201,327
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,128,Saint-Léonard,0,8,8,4,14,163,0,197,312
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,129,Saint-Léonard,2,18,9,2,26,122,2,181,294
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,130,Saint-Léonard,1,16,16,2,29,128,6,198,321
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,131,Saint-Léonard,1,11,6,8,33,91,1,151,315
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,132,Saint-Léonard,1,6,7,3,59,92,1,169,339
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,133,Saint-Léonard,1,8,8,8,45,93,3,166,291
