District,Poll Number,Poll Name,Wayne Gates,Ted Mousseau,Rob Nicholson,Victor Pietrangelo,Rejected Ballots,Total Vote,Electors
Niagara Falls/Niagara Falls,164,Niagara Falls,27,4,104,101,2,238,403
Niagara Falls/Niagara Falls,165,Niagara Falls,60,14,104,101,0,279,426
Niagara Falls/Niagara Falls,166,Niagara Falls,42,12,83,84,1,222,390
Niagara Falls/Niagara Falls,167,Niagara Falls,46,5,65,32,2,150,320
Niagara Falls/Niagara Falls,168A,Niagara Falls,37,3,55,35,1,131,336
Niagara Falls/Niagara Falls,168B,Mobile poll/Bureau itinérant,15,1,32,28,0,76,179
Niagara Falls/Niagara Falls,169,Niagara Falls,50,3,57,50,1,161,397
Niagara Falls/Niagara Falls,170,Niagara Falls,56,1,62,67,2,188,321
Niagara Falls/Niagara Falls,171A,Niagara Falls,34,5,67,74,0,180,353
Niagara Falls/Niagara Falls,171B,Mobile poll/Bureau itinérant,Merged with No. 168B,,,,,,32
Niagara Falls/Niagara Falls,172,Niagara Falls,49,5,83,52,1,190,330
Niagara Falls/Niagara Falls,173,Niagara Falls,21,7,58,56,0,142,232
Niagara Falls/Niagara Falls,174,Niagara Falls,40,10,84,80,1,215,348
Niagara Falls/Niagara Falls,175,Niagara Falls,39,4,91,37,2,173,354
Niagara Falls/Niagara Falls,176,Niagara Falls,59,12,88,49,1,209,452
Niagara Falls/Niagara Falls,177,Niagara Falls,37,19,121,72,3,252,498
Niagara Falls/Niagara Falls,178,Fort Erie,64,18,128,49,0,259,440
Niagara Falls/Niagara Falls,179A,Fort Erie,32,2,81,70,3,188,323
Niagara Falls/Niagara Falls,179B,Fort Erie,30,7,99,49,1,186,314
Niagara Falls/Niagara Falls,180,Fort Erie,66,20,179,78,4,347,586
Niagara Falls/Niagara Falls,181,Fort Erie,39,7,94,40,0,180,341
Niagara Falls/Niagara Falls,182,Fort Erie,54,12,80,40,0,186,359
Niagara Falls/Niagara Falls,183,Fort Erie,37,10,105,78,0,230,433
Niagara Falls/Niagara Falls,184,Fort Erie,23,6,29,12,0,70,198
Niagara Falls/Niagara Falls,185,Fort Erie,45,17,93,53,3,211,466
Niagara Falls/Niagara Falls,186,Fort Erie,32,10,104,59,0,205,469
Niagara Falls/Niagara Falls,187,Fort Erie,20,7,53,31,0,111,250
Niagara Falls/Niagara Falls,188,Fort Erie,34,9,42,57,2,144,329
Niagara Falls/Niagara Falls,189,Fort Erie,37,14,32,23,0,106,257
Niagara Falls/Niagara Falls,190,Fort Erie,61,8,49,32,0,150,372
Niagara Falls/Niagara Falls,191,Fort Erie,42,0,46,54,0,142,387
Niagara Falls/Niagara Falls,192,Fort Erie,52,8,75,56,0,191,401
Niagara Falls/Niagara Falls,193,Fort Erie,45,13,83,74,3,218,404
Niagara Falls/Niagara Falls,194,Fort Erie,28,6,107,67,2,210,404
Niagara Falls/Niagara Falls,195,Fort Erie,42,10,109,79,3,243,495
Niagara Falls/Niagara Falls,196,Fort Erie,55,8,87,63,0,213,458
Niagara Falls/Niagara Falls,197,Fort Erie,40,12,84,79,0,215,488
Niagara Falls/Niagara Falls,198,Fort Erie,29,9,66,41,0,145,376
Niagara Falls/Niagara Falls,199A,Fort Erie,25,7,70,62,1,165,369
Niagara Falls/Niagara Falls,199B,Fort Erie,37,10,57,56,0,160,340
Niagara Falls/Niagara Falls,200,Fort Erie,50,17,78,78,3,226,422
Niagara Falls/Niagara Falls,201,Fort Erie,41,3,74,55,1,174,340
Niagara Falls/Niagara Falls,202,Fort Erie,34,10,53,45,2,144,316
Niagara Falls/Niagara Falls,203,Fort Erie,32,9,53,49,1,144,315
Niagara Falls/Niagara Falls,204,Fort Erie,22,3,33,64,0,122,307
Niagara Falls/Niagara Falls,205,Fort Erie,32,6,49,35,3,125,296
Niagara Falls/Niagara Falls,206,Fort Erie,55,9,59,42,2,167,377
Niagara Falls/Niagara Falls,207,Fort Erie,48,2,46,59,0,155,339
Niagara Falls/Niagara Falls,208,Fort Erie,56,17,50,44,0,167,391
Niagara Falls/Niagara Falls,209,Fort Erie,25,9,41,42,3,120,330
Niagara Falls/Niagara Falls,210,Fort Erie,32,12,44,53,3,144,327
Niagara Falls/Niagara Falls,211,Fort Erie,47,9,68,60,0,184,381
Niagara Falls/Niagara Falls,212,Fort Erie,50,13,67,41,1,172,392
Niagara Falls/Niagara Falls,213A,Fort Erie,24,4,44,53,3,128,312
