District,Poll Number,Poll Name,Marc Bombois,Andrea Goldsmith,Anne Jamieson,John Reynolds,Nicholas Simons,Blair Wilson,Rejected Ballots,Total Vote,Electors
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,59,Davis Bay,5,21,0,70,89,67,0,252,376
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,60,Davis Bay,1,34,0,106,86,52,0,279,424
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,61A,Davis Bay,2,21,0,47,58,42,1,171,281
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,61B,Davis Bay,4,22,0,37,57,42,2,164,256
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,62,Roberts Creek,2,46,0,88,98,59,1,294,438
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,63,Roberts Creek,3,40,1,58,130,62,1,295,455
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,64,Roberts Creek,4,38,0,27,67,49,0,185,259
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,65A,Roberts Creek,3,26,0,43,74,28,0,174,317
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,65B,Roberts Creek,1,33,3,48,64,40,0,189,290
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,66A,Gibsons,3,29,0,38,48,29,0,147,257
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,66B,Gibsons,1,23,1,35,48,23,1,132,258
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,67,Gibsons,1,21,0,96,70,57,0,245,358
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,68,Gibsons,2,25,0,112,111,85,1,336,523
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,69A,Gibsons,1,13,0,89,87,45,1,236,437
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,69B,Gibsons,2,27,0,69,78,35,1,212,332
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,69C,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,,,13
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,70,Gower Point,0,26,1,77,102,30,0,236,355
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,71,Gibsons,1,20,0,43,51,35,0,150,268
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,72A,Gibsons,2,20,0,59,50,39,1,171,292
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,72B,Gibsons,1,5,0,93,35,42,0,176,287
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,72C,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,,,32
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,73,Gower Point,5,22,0,50,81,32,0,190,283
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,74,Gibsons,7,41,0,62,82,60,0,252,426
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,75,Gibsons,1,28,0,60,55,46,0,190,320
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,76,Gibsons,2,20,0,87,65,46,2,222,395
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,77,Gibsons,2,53,0,77,99,72,1,304,473
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,78,Gibsons,5,35,0,64,56,50,0,210,370
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,79,Granthams Landing,4,32,0,80,102,53,0,271,454
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,80,Gibsons,1,10,0,43,34,25,0,113,213
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,81,Granthams Landing,3,37,0,76,64,56,0,236,356
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,82,Langdale,4,32,1,113,108,83,0,341,521
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,83,Gambier Harbour,0,22,1,23,21,30,0,97,127
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,84A,Squamish,2,15,1,32,36,52,2,140,367
