District,Poll Number,Poll Name,Andrée Champagne,Joëlle Chevrier,Michel Gaudette,Bruno Godbout,Yvan Loubier,Rejected Ballots,Total Vote,Electors
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,41,Saint-Simon,18,3,29,1,75,7,133,214
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,42,Saint-Simon,28,8,37,4,93,6,176,280
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,43,Saint-Simon,32,5,36,5,153,5,236,368
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,44,Sainte-Rosalie,31,6,51,7,220,19,334,520
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,45,Sainte-Rosalie,27,8,31,8,222,14,310,495
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,46,Sainte-Rosalie,22,4,53,6,134,5,224,353
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,47,Sainte-Rosalie,47,5,34,4,122,3,215,341
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,48,Sainte-Rosalie,50,5,51,6,165,10,287,429
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,49,Sainte-Rosalie,26,4,46,2,200,7,285,443
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,50A,Sainte-Rosalie,24,4,43,8,123,5,207,300
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,50B,Sainte-Rosalie,15,7,32,1,114,7,176,261
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,51A,Sainte-Rosalie,17,5,21,5,114,4,166,296
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,51B,Sainte-Rosalie,17,6,28,2,99,6,158,284
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,52,Sainte-Rosalie,33,9,41,6,228,8,325,497
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,53A,Saint-Hyacinthe,15,3,26,5,147,3,199,276
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,53B,Saint-Hyacinthe,17,7,34,2,153,1,214,280
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,54,Saint-Hyacinthe,27,4,48,1,190,8,278,431
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,55,Saint-Hyacinthe,12,1,24,2,93,5,137,286
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,56,Saint-Hyacinthe,16,3,30,1,94,7,151,328
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,57,Saint-Hyacinthe,20,0,56,3,164,4,247,431
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,58,Saint-Hyacinthe,18,7,38,5,146,7,221,360
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,59,Saint-Hyacinthe,15,12,41,2,153,7,230,370
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,60,Saint-Hyacinthe,29,7,37,4,158,1,236,384
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,61,Saint-Hyacinthe,21,5,45,2,249,8,330,513
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,62,Saint-Hyacinthe,26,1,64,7,257,12,367,540
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,63,Saint-Hyacinthe,23,6,42,2,110,7,190,409
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,64,Saint-Hyacinthe,24,3,38,6,142,6,219,354
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,65,Saint-Hyacinthe,24,12,52,6,137,9,240,395
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,66,Saint-Hyacinthe,19,12,71,6,144,5,257,419
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,67,Saint-Hyacinthe,23,4,42,2,212,8,291,413
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,68,Saint-Hyacinthe,26,1,68,0,107,4,206,357
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,69,Saint-Hyacinthe,13,4,54,2,137,7,217,292
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,70,Saint-Hyacinthe,13,5,64,3,151,11,247,390
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,71,Saint-Hyacinthe,23,2,52,4,154,3,238,389
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,72,Saint-Hyacinthe,32,11,62,3,240,7,355,508
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,73,Saint-Hyacinthe,24,14,54,9,223,5,329,455
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,74,Saint-Hyacinthe,25,9,62,6,270,10,382,543
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,75,Saint-Hyacinthe,26,1,45,2,178,6,258,399
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,76,Saint-Hyacinthe,38,14,60,5,167,15,299,408
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,77,Saint-Hyacinthe,14,6,36,4,165,6,231,368
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,78A,Saint-Hyacinthe,34,8,65,7,193,6,313,518
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,78B,Mobile poll/Bureau itinérant,9,4,66,0,22,0,101,75
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,79A,Saint-Hyacinthe,13,11,45,8,179,3,259,382
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,79B,Saint-Hyacinthe,17,8,66,8,160,3,262,366
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,80,Saint-Hyacinthe,49,9,93,8,169,2,330,474
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,81A,Saint-Hyacinthe,9,5,83,2,132,4,235,414
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,81B,Mobile poll/Bureau itinérant,Merged with No. 503B,,,,,,,53
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,82,Saint-Hyacinthe,26,6,42,3,166,7,250,412
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,83,Saint-Hyacinthe,18,4,70,7,164,6,269,442
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,84,Saint-Hyacinthe,19,9,43,2,147,4,224,460
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,85,Saint-Hyacinthe,2,4,13,3,90,1,113,231
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,86,Saint-Hyacinthe,11,1,25,2,88,7,134,306
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,87,Saint-Hyacinthe,9,2,39,5,139,14,208,413
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,88,Saint-Hyacinthe,20,3,33,0,109,6,171,354
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,89,Saint-Hyacinthe,10,2,18,5,71,6,112,328
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,90,Saint-Hyacinthe,29,3,49,5,152,5,243,535
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,91,Saint-Hyacinthe,22,5,26,4,120,5,182,493
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,92,Saint-Hyacinthe,Void,,,,,,,
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,93,Saint-Hyacinthe,20,5,32,8,100,7,172,357
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,94,Saint-Hyacinthe,14,1,61,4,128,2,210,394
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,95A,Saint-Hyacinthe,15,4,46,4,73,2,144,279
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,95B,Saint-Hyacinthe,15,4,62,2,74,2,159,306
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,96,Saint-Hyacinthe,17,5,33,5,137,4,201,414
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,97,Saint-Hyacinthe,11,7,49,2,125,5,199,347
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,98,Saint-Hyacinthe,19,7,44,5,129,4,208,367
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,99,Saint-Hyacinthe,20,3,55,6,127,14,225,327
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,100,Saint-Hyacinthe,20,6,60,2,147,0,235,482
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,101,Saint-Hyacinthe,17,4,59,2,137,13,232,455
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,102,Saint-Hyacinthe,30,5,65,7,161,7,275,389
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,103,Saint-Hyacinthe,21,8,47,2,113,5,196,351
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,104,Saint-Hyacinthe,10,3,43,6,115,5,182,392
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,105,Saint-Hyacinthe,22,0,49,2,144,8,225,399
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,106,Saint-Hyacinthe,24,6,44,5,152,3,234,363
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,107,Saint-Hyacinthe,17,3,47,1,151,9,228,338
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,108,Saint-Hyacinthe,16,11,42,6,151,3,229,375
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,109,Saint-Hyacinthe,39,6,66,4,182,7,304,548
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,110,Saint-Hyacinthe,22,3,60,8,114,13,220,399
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,111,Saint-Hyacinthe,22,4,68,2,166,4,266,458
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,112,Saint-Hyacinthe,18,1,33,6,108,5,171,356
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,113,Saint-Hyacinthe,14,2,37,6,89,10,158,360
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,114,Saint-Hyacinthe,5,2,13,2,45,0,67,127
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,115A,Saint-Hyacinthe,17,6,39,7,106,2,177,323
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,115B,Mobile poll/Bureau itinérant,Merged with No. 78B,,,,,,,54
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,116,Saint-Hyacinthe,17,8,69,1,146,4,245,401
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,117,Saint-Hyacinthe,18,3,29,4,90,1,145,268
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,118,Saint-Hyacinthe,4,7,31,8,110,5,165,239
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,119,Saint-Hyacinthe,15,5,44,4,117,0,185,272
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,120,Saint-Hyacinthe,11,2,45,3,70,0,131,293
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,121,Saint-Hyacinthe,13,6,33,5,58,6,121,211
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,122,Saint-Hyacinthe,11,7,56,3,103,2,182,312
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,123,Saint-Hyacinthe,18,2,65,3,171,3,262,412
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,124,Saint-Hyacinthe,29,5,60,4,140,4,242,395
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,125,Saint-Hyacinthe,15,12,50,3,151,11,242,390
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,126,Saint-Hyacinthe,24,6,60,7,182,6,285,419
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,127,Saint-Hyacinthe,21,11,50,7,265,5,359,519
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,128,Saint-Hyacinthe,16,3,44,5,124,6,198,314
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,129,Saint-Hyacinthe,21,8,60,5,224,6,324,513
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,130,Saint-Hyacinthe,42,11,60,8,268,4,393,534
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,131,Saint-Hyacinthe,15,11,54,3,212,8,303,446
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,132,La Présentation,30,10,68,8,210,4,330,538
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,133,La Présentation,46,8,82,11,203,5,355,521
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,134,La Présentation,31,3,45,13,158,5,255,386
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,135,Saint-Thomas-d'Aquin,23,14,38,4,187,8,274,417
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,136,Saint-Hyacinthe-le-Confesseur,12,6,37,1,102,2,160,294
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,137,Saint-Hyacinthe-le-Confesseur,11,4,36,7,151,2,211,360
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,138,Saint-Thomas-d'Aquin,36,12,65,15,192,9,329,488
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,139,Saint-Thomas-d'Aquin,29,7,45,6,189,5,281,417
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,140,Saint-Thomas-d'Aquin,47,5,68,8,245,12,385,540
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,141A,Saint-Thomas-d'Aquin,25,2,46,3,156,6,238,429
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,141B,Saint-Thomas-d'Aquin,20,3,41,4,114,6,188,352
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,141C,Saint-Thomas-d'Aquin,16,6,46,5,139,3,215,402
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,142,Saint-Thomas-d'Aquin,Void,,,,,,,
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,143,Saint-Thomas-d'Aquin,Void,,,,,,,
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,144A,Sainte-Madeleine,20,4,19,4,121,10,178,306
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,144B,Sainte-Madeleine,19,4,21,3,124,7,178,317
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,145,Sainte-Madeleine,24,12,48,7,145,8,244,435
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,146A,Sainte-Madeleine,25,5,40,5,151,6,232,388
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,146B,Sainte-Madeleine,12,3,19,2,92,1,129,206
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,147,Sainte-Marie-Madeleine,21,8,33,7,168,5,242,495
