District,Poll Number,Poll Name,Raymond Bonin,Mike Dupont,Michel D. Ethier,Claude Gravelle,Steve Lafleur,Don Lavallee,Steve Rutchinski,Rejected Ballots,Total Vote,Electors
Nickel Belt/Nickel Belt,64,Valley East,96,15,2,54,6,0,0,0,173,346
Nickel Belt/Nickel Belt,65,Valley East,78,28,1,90,9,2,0,2,210,397
Nickel Belt/Nickel Belt,66,Valley East,67,30,3,106,7,0,0,0,213,426
Nickel Belt/Nickel Belt,67,Valley East,121,53,1,78,6,0,0,2,261,485
Nickel Belt/Nickel Belt,68,Valley East,82,30,0,78,7,3,0,0,200,426
Nickel Belt/Nickel Belt,69,Valley East,62,31,1,99,5,2,0,2,202,387
Nickel Belt/Nickel Belt,70,Valley East,79,28,1,68,4,0,0,0,180,364
Nickel Belt/Nickel Belt,71,Valley East,77,24,0,56,8,0,0,1,166,369
Nickel Belt/Nickel Belt,72A,Valley East,62,19,2,58,5,1,0,0,147,278
Nickel Belt/Nickel Belt,72B,Valley East,60,19,2,45,4,0,0,1,131,273
Nickel Belt/Nickel Belt,73,Valley East,40,16,0,40,5,2,0,0,103,166
Nickel Belt/Nickel Belt,74,Valley East,90,45,2,81,6,4,0,0,228,420
Nickel Belt/Nickel Belt,75,Valley East,131,64,1,66,5,0,1,0,268,498
Nickel Belt/Nickel Belt,76,Valley East,74,26,3,63,7,0,0,0,173,373
Nickel Belt/Nickel Belt,77,Valley East,87,32,0,57,6,0,0,0,182,330
Nickel Belt/Nickel Belt,78,Valley East,101,17,6,97,3,0,0,0,224,361
Nickel Belt/Nickel Belt,79,Valley East,84,24,2,83,11,0,0,0,204,414
Nickel Belt/Nickel Belt,80,Valley East,115,29,4,90,2,0,0,0,240,410
Nickel Belt/Nickel Belt,81,Valley East,51,27,2,91,8,2,0,0,181,340
Nickel Belt/Nickel Belt,82,Valley East,57,29,1,63,3,0,1,1,155,346
Nickel Belt/Nickel Belt,83,Valley East,79,16,3,68,2,1,0,1,170,379
Nickel Belt/Nickel Belt,84,Valley East,77,21,3,97,9,2,0,1,210,377
Nickel Belt/Nickel Belt,85,Valley East,46,13,1,96,4,0,0,3,163,384
Nickel Belt/Nickel Belt,86,Valley East,80,21,2,79,4,0,0,0,186,393
Nickel Belt/Nickel Belt,87,Valley East,80,21,5,110,10,0,0,0,226,412
Nickel Belt/Nickel Belt,88,Valley East,88,13,5,86,6,3,0,1,202,431
Nickel Belt/Nickel Belt,89,Valley East,77,21,3,75,2,0,0,0,178,369
Nickel Belt/Nickel Belt,90,Valley East,74,23,0,50,1,0,0,0,148,324
Nickel Belt/Nickel Belt,91,Valley East,107,24,0,94,8,0,0,0,233,433
Nickel Belt/Nickel Belt,92,Valley East,74,22,1,75,9,0,0,1,182,403
Nickel Belt/Nickel Belt,93,Valley East,85,31,2,91,8,4,0,4,225,463
Nickel Belt/Nickel Belt,94,Valley East,9,4,1,12,0,0,0,0,26,117
Nickel Belt/Nickel Belt,95A,Wahnapitei 11,42,28,5,79,1,0,0,0,155,299
Nickel Belt/Nickel Belt,95B,Capreol,15,1,0,14,0,0,0,0,30,50
Nickel Belt/Nickel Belt,96,Capreol,43,33,3,75,2,1,3,0,160,330
Nickel Belt/Nickel Belt,97,Capreol,30,27,2,75,6,0,0,0,140,294
Nickel Belt/Nickel Belt,98,Capreol,18,14,2,56,3,2,1,0,96,202
Nickel Belt/Nickel Belt,99,Capreol,25,28,7,81,6,0,1,0,148,315
Nickel Belt/Nickel Belt,100,Capreol,66,31,1,57,8,1,0,0,164,359
Nickel Belt/Nickel Belt,101,Capreol,53,35,2,66,4,0,0,1,161,314
Nickel Belt/Nickel Belt,102,Capreol,98,46,0,90,7,0,2,0,243,471
Nickel Belt/Nickel Belt,103,Nickel Centre,118,61,0,111,18,0,1,0,309,515
Nickel Belt/Nickel Belt,104,Nickel Centre,55,25,3,63,10,0,0,0,156,269
Nickel Belt/Nickel Belt,105,Nickel Centre,51,29,1,61,6,3,0,0,151,263
Nickel Belt/Nickel Belt,106,Nickel Centre,50,29,2,90,5,4,0,0,180,429
Nickel Belt/Nickel Belt,107,Nickel Centre,100,44,0,49,9,4,0,0,206,457
Nickel Belt/Nickel Belt,108,Nickel Centre,44,7,0,63,7,2,1,0,124,292
Nickel Belt/Nickel Belt,109,Nickel Centre,54,30,4,74,7,3,0,2,174,372
Nickel Belt/Nickel Belt,110,Nickel Centre,28,15,1,68,3,3,0,0,118,230
Nickel Belt/Nickel Belt,111,Nickel Centre,70,39,3,71,2,3,0,0,188,426
Nickel Belt/Nickel Belt,112,Nickel Centre,82,37,5,38,10,3,0,0,175,345
Nickel Belt/Nickel Belt,113,Nickel Centre,32,17,0,79,5,4,0,0,137,277
Nickel Belt/Nickel Belt,114,Nickel Centre,70,37,0,88,7,1,0,1,204,412
Nickel Belt/Nickel Belt,115,Nickel Centre,59,18,0,40,3,2,0,1,123,340
Nickel Belt/Nickel Belt,116,Nickel Centre,47,14,1,50,4,1,0,0,117,295
Nickel Belt/Nickel Belt,117,Nickel Centre,90,42,2,61,3,5,0,2,205,387
Nickel Belt/Nickel Belt,118,Nickel Centre,28,14,0,67,4,0,0,0,113,301
Nickel Belt/Nickel Belt,119,Nickel Centre,85,63,2,84,5,1,0,1,241,454
Nickel Belt/Nickel Belt,120,Nickel Centre,72,48,2,87,11,1,0,0,221,422
Nickel Belt/Nickel Belt,121,Nickel Centre,89,28,2,84,0,1,1,1,206,385
