District,Poll Number,Poll Name,Fiorindo Agi,Gary Anderson,Moe Kovatch,Tom Lukiwski,Larry Spencer,Rejected Ballots,Total Vote,Electors
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,75,Regina,2,87,44,59,11,1,204,328
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,76,Regina,6,75,67,82,7,0,237,465
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,77,Regina,1,68,70,46,5,0,190,326
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,78,Regina,3,69,63,43,18,0,196,338
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,79A,Regina,2,63,50,32,1,0,148,253
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,79B,Regina,7,53,61,50,4,3,178,265
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,80,Regina,7,80,89,71,5,1,253,450
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,81,Regina,7,54,56,41,2,2,162,338
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,82,Regina,4,41,66,58,11,0,180,348
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,83,Regina,9,79,63,66,15,0,232,401
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,84,Regina,9,67,74,51,7,0,208,375
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,85,Regina,4,64,66,44,13,0,191,372
