District,Poll Number,Poll Name,David Anderson,Bill Caton,Bev Currie,Jeff Potts,Rejected Ballots,Total Vote,Electors
Cypress Hills--Grasslands/Cypress Hills--Grasslands,135,Assiniboia,162,93,10,53,0,318,734
Cypress Hills--Grasslands/Cypress Hills--Grasslands,136,Assiniboia,25,25,0,28,2,80,176
Cypress Hills--Grasslands/Cypress Hills--Grasslands,137,Assiniboia,106,79,8,34,1,228,325
Cypress Hills--Grasslands/Cypress Hills--Grasslands,138,Assiniboia,87,68,2,31,0,188,248
Cypress Hills--Grasslands/Cypress Hills--Grasslands,139,Fir Mountain,110,68,9,21,1,209,264
Cypress Hills--Grasslands/Cypress Hills--Grasslands,140,Wood Mountain,67,33,8,17,0,125,200
Cypress Hills--Grasslands/Cypress Hills--Grasslands,141,Willow Bunch,25,30,3,11,0,69,112
Cypress Hills--Grasslands/Cypress Hills--Grasslands,142,Willow Bunch,95,87,5,41,1,229,365
Cypress Hills--Grasslands/Cypress Hills--Grasslands,143,Rockglen,225,47,10,29,1,312,402
Cypress Hills--Grasslands/Cypress Hills--Grasslands,144,Rockglen,127,47,10,52,1,237,340
Cypress Hills--Grasslands/Cypress Hills--Grasslands,500,Mobile poll/Bureau itinérant,30,16,3,21,3,73,173
Cypress Hills--Grasslands/Cypress Hills--Grasslands,501,Mobile poll/Bureau itinérant,22,11,1,25,1,60,155
Cypress Hills--Grasslands/Cypress Hills--Grasslands,502,Mobile poll/Bureau itinérant,12,22,6,7,0,47,60
Cypress Hills--Grasslands/Cypress Hills--Grasslands,600,Eston,87,17,8,21,0,133,
Cypress Hills--Grasslands/Cypress Hills--Grasslands,601,Leader,63,29,0,11,0,103,
Cypress Hills--Grasslands/Cypress Hills--Grasslands,602,Cabri,145,30,11,39,2,227,
Cypress Hills--Grasslands/Cypress Hills--Grasslands,603,Swift Current,340,95,24,109,0,568,
Cypress Hills--Grasslands/Cypress Hills--Grasslands,604,Herbert,33,8,3,9,0,53,
Cypress Hills--Grasslands/Cypress Hills--Grasslands,605,Maple Creek,76,12,7,19,0,114,
Cypress Hills--Grasslands/Cypress Hills--Grasslands,606,Gull Lake,50,10,6,11,1,78,
Cypress Hills--Grasslands/Cypress Hills--Grasslands,607,Shaunavon,101,18,6,33,0,158,
Cypress Hills--Grasslands/Cypress Hills--Grasslands,608,Ponteix,31,20,5,7,0,63,
Cypress Hills--Grasslands/Cypress Hills--Grasslands,609,Gravelbourg,71,41,6,28,1,147,
Cypress Hills--Grasslands/Cypress Hills--Grasslands,610,Assiniboia,108,66,15,32,0,221,
Cypress Hills--Grasslands/Cypress Hills--Grasslands,,Group 1/Groupe 1,31,10,1,3,2,47,101
Cypress Hills--Grasslands/Cypress Hills--Grasslands,,Group 2/Groupe 2,306,132,15,97,13,563,
