District,Poll Number,Poll Name,Patrick Brown,Peter Bursztyn,Aileen Carroll,Erich Jacoby-Hawkins,Rejected Ballots,Total Vote,Electors
Barrie/Barrie,133,Barrie,69,24,89,15,1,198,344
Barrie/Barrie,134,Barrie,76,23,87,15,1,202,404
Barrie/Barrie,135,Barrie,61,13,100,15,0,189,337
Barrie/Barrie,136,Barrie,97,25,100,6,0,228,408
Barrie/Barrie,137,Barrie,53,11,78,13,2,157,271
Barrie/Barrie,138,Barrie,105,18,95,15,3,236,415
Barrie/Barrie,139,Barrie,77,23,116,16,1,233,415
Barrie/Barrie,140,Barrie,36,27,56,14,0,133,347
Barrie/Barrie,141,Barrie,90,27,115,18,2,252,407
Barrie/Barrie,142,Barrie,103,25,92,16,0,236,417
Barrie/Barrie,143,Barrie,111,16,72,12,0,211,375
Barrie/Barrie,144,Barrie,93,23,89,10,0,215,381
Barrie/Barrie,145,Barrie,82,23,108,9,2,224,405
Barrie/Barrie,146,Barrie,93,30,142,9,0,274,448
Barrie/Barrie,147,Barrie,102,34,85,18,2,241,417
Barrie/Barrie,148,Barrie,103,30,78,16,1,228,418
Barrie/Barrie,149,Barrie,98,15,127,20,0,260,395
Barrie/Barrie,150,Barrie,Merged with No. 143,,,,,,32
Barrie/Barrie,151A,Barrie,102,13,70,10,0,195,328
Barrie/Barrie,151B,Barrie,79,12,67,7,0,165,301
Barrie/Barrie,152,Barrie,121,9,95,16,0,241,406
Barrie/Barrie,153,Barrie,73,18,55,28,1,175,416
Barrie/Barrie,154,Barrie,104,19,100,13,3,239,408
Barrie/Barrie,155,Barrie,110,14,103,12,0,239,415
Barrie/Barrie,156,Barrie,108,27,105,16,0,256,431
Barrie/Barrie,157,Barrie,59,37,59,16,0,171,397
Barrie/Barrie,158,Barrie,58,34,72,24,2,190,427
Barrie/Barrie,159,Barrie,116,18,68,6,0,208,362
Barrie/Barrie,160,Barrie,89,35,80,12,2,218,413
Barrie/Barrie,161,Barrie,75,13,82,9,0,179,389
Barrie/Barrie,162,Barrie,71,20,64,3,1,159,294
Barrie/Barrie,163,Barrie,98,20,58,12,0,188,360
Barrie/Barrie,164,Barrie,67,14,46,10,0,137,312
Barrie/Barrie,165,Barrie,83,23,83,15,0,204,400
Barrie/Barrie,166,Barrie,44,27,48,12,0,131,309
Barrie/Barrie,167,Barrie,81,16,68,7,0,172,394
Barrie/Barrie,168,Barrie,74,19,58,9,2,162,340
Barrie/Barrie,169,Barrie,91,23,80,4,0,198,373
Barrie/Barrie,170,Barrie,79,29,59,10,0,177,339
Barrie/Barrie,171,Barrie,82,25,68,13,3,191,390
Barrie/Barrie,172,Barrie,96,22,60,15,0,193,370
Barrie/Barrie,173,Barrie,79,20,61,6,0,166,335
Barrie/Barrie,174,Barrie,51,21,56,13,1,142,328
Barrie/Barrie,175,Barrie,93,12,98,8,0,211,389
Barrie/Barrie,176,Barrie,64,15,53,9,0,141,283
Barrie/Barrie,177,Barrie,81,20,95,9,0,205,349
Barrie/Barrie,178,Barrie,72,15,75,10,0,172,351
Barrie/Barrie,179,Barrie,100,24,71,6,1,202,342
Barrie/Barrie,180,Barrie,60,25,70,5,0,160,419
Barrie/Barrie,181,Barrie,67,12,44,8,1,132,311
Barrie/Barrie,182,Barrie,77,9,48,4,0,138,274
Barrie/Barrie,183,Barrie,137,42,121,24,0,324,544
Barrie/Barrie,184,Barrie,69,30,75,7,1,182,335
Barrie/Barrie,185,Barrie,77,22,62,12,3,176,342
Barrie/Barrie,186,Barrie,74,15,46,8,2,145,301
Barrie/Barrie,187,Barrie,99,27,85,10,1,222,455
Barrie/Barrie,188,Barrie,100,12,102,21,1,236,419
Barrie/Barrie,189,Barrie,78,11,80,11,1,181,351
Barrie/Barrie,190,Barrie,72,26,90,13,1,202,362
Barrie/Barrie,191,Barrie,148,8,105,8,3,272,409
Barrie/Barrie,192,Barrie,80,24,89,9,0,202,365
