Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Laura Chesnik,Joe Comartin,Bruck Easton,Rick Fuschi,Catherine Pluard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Windsor--Tecumseh/Windsor--Tecumseh"," 97","Windsor",0,133,38,37,5,2,215,375
"Windsor--Tecumseh/Windsor--Tecumseh"," 98","Windsor",0,116,19,16,1,0,152,404
"Windsor--Tecumseh/Windsor--Tecumseh"," 99","Windsor",1,87,27,35,3,1,154,370
"Windsor--Tecumseh/Windsor--Tecumseh"," 100","Windsor",0,64,18,24,7,0,113,318
"Windsor--Tecumseh/Windsor--Tecumseh"," 101","Windsor",1,78,42,25,4,3,153,306
"Windsor--Tecumseh/Windsor--Tecumseh"," 102","Windsor",1,120,41,44,8,0,214,359
"Windsor--Tecumseh/Windsor--Tecumseh"," 103","Windsor",0,99,28,37,6,0,170,338
"Windsor--Tecumseh/Windsor--Tecumseh"," 104","Windsor",0,101,39,44,12,0,196,338
"Windsor--Tecumseh/Windsor--Tecumseh"," 105","Windsor",0,71,57,32,4,0,164,281
"Windsor--Tecumseh/Windsor--Tecumseh"," 106","Windsor",1,82,36,36,12,1,168,385
"Windsor--Tecumseh/Windsor--Tecumseh"," 107","Windsor",0,72,41,29,7,3,152,307
"Windsor--Tecumseh/Windsor--Tecumseh"," 108","Windsor",0,117,39,26,4,0,186,329
"Windsor--Tecumseh/Windsor--Tecumseh"," 109","Windsor",2,81,26,35,4,0,148,294
"Windsor--Tecumseh/Windsor--Tecumseh"," 110","Windsor",Void/Supprimé,,,,,,,
"Windsor--Tecumseh/Windsor--Tecumseh"," 111","Windsor",0,66,20,17,4,0,107,301
"Windsor--Tecumseh/Windsor--Tecumseh"," 112","Windsor",0,94,38,26,4,0,162,342
"Windsor--Tecumseh/Windsor--Tecumseh"," 113","Windsor",0,114,33,30,7,0,184,326
"Windsor--Tecumseh/Windsor--Tecumseh"," 114","Windsor",0,121,22,40,8,0,191,353
"Windsor--Tecumseh/Windsor--Tecumseh"," 115","Windsor",1,99,20,39,5,3,167,333
"Windsor--Tecumseh/Windsor--Tecumseh"," 116","Windsor",2,95,35,50,5,1,188,325
"Windsor--Tecumseh/Windsor--Tecumseh"," 117","Windsor",2,94,38,26,5,0,165,337
"Windsor--Tecumseh/Windsor--Tecumseh"," 118","Windsor",0,97,44,35,8,0,184,402
"Windsor--Tecumseh/Windsor--Tecumseh"," 119","Windsor",1,101,43,37,3,1,186,341
"Windsor--Tecumseh/Windsor--Tecumseh"," 120","Windsor",0,107,34,30,2,1,174,333
