Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ed Baye,Ron Gray,Malcolm James,Dorothy-Jean O'Donnell,Chuck Strahl,Myra Sweeney,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 502A","Mobile poll/Bureau itinérant",0,1,7,0,47,8,2,65,93
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 502B","Mobile poll/Bureau itinérant",1,3,9,2,41,10,3,69,31
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 503","Mobile poll/Bureau itinérant",0,0,9,0,53,13,2,77,125
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 504","Mobile poll/Bureau itinérant",1,2,17,1,90,17,2,130,188
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 505","Mobile poll/Bureau itinérant",1,1,1,0,4,2,3,12,16
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 600","Squamish--Lillooet West",15,0,9,0,31,21,0,76,
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 601","Squamish--Lillooet East",4,2,37,0,87,30,0,160,
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 602","Thompson--Nicola West",2,1,34,0,69,38,1,145,
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 603","Kent",13,2,83,1,218,68,1,386,
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 604","Boston Bar",4,1,21,0,46,28,0,100,
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 605","Hope",9,2,82,2,215,57,1,368,
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 606","Chilliwack",19,3,66,2,401,79,2,572,
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 607","Chilliwack",11,8,81,3,375,93,6,577,
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 608","Chilliwack",10,11,48,0,372,61,1,503,
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 609","Chilliwack",10,8,67,1,291,99,1,477,
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 610","Chilliwack",18,7,99,1,250,78,2,455,
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 611","Chilliwack",17,3,51,0,247,57,2,377,
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 612","Squawkum Creek 3--Skweahm 10",4,0,7,0,19,9,0,39,
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 613","Chilliwack",7,9,21,1,194,17,1,250,
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 614","Fraser Valley",2,1,10,0,41,17,0,71,
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon",,Group 1/Groupe 1,9,1,26,1,74,36,6,153,302
"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon",,Group 2/Groupe 2,22,10,150,1,753,148,15,1099,
