Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stephanie Ashley-Pryce,Ed Fast,Tim Felger,Richard Gebert,Jeffrey Hansen-Carlson,David S. MacKay,David Oliver,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Abbotsford/Abbotsford"," 146","Abbotsford",21,222,1,1,48,0,43,0,336,528
"Abbotsford/Abbotsford"," 147","Abbotsford",25,170,1,0,38,0,30,0,264,404
"Abbotsford/Abbotsford"," 148","Abbotsford",19,265,1,0,39,0,28,0,352,545
"Abbotsford/Abbotsford"," 149","Abbotsford",29,242,3,1,77,0,44,1,397,650
"Abbotsford/Abbotsford"," 150","Abbotsford",19,137,2,0,30,0,34,0,222,421
"Abbotsford/Abbotsford"," 151","Abbotsford",28,175,2,2,30,0,52,0,289,517
"Abbotsford/Abbotsford"," 152","Abbotsford",21,185,1,1,34,1,39,0,282,509
"Abbotsford/Abbotsford"," 153","Abbotsford",21,188,5,0,40,0,34,2,290,495
"Abbotsford/Abbotsford"," 154","Abbotsford",14,204,0,0,27,0,52,0,297,541
"Abbotsford/Abbotsford"," 155","Abbotsford",24,189,2,1,47,0,27,1,291,465
"Abbotsford/Abbotsford"," 156","Abbotsford",24,195,0,1,26,0,26,0,272,471
"Abbotsford/Abbotsford"," 157","Abbotsford",16,235,1,0,38,1,30,1,322,539
"Abbotsford/Abbotsford"," 158","Abbotsford",11,125,0,0,25,0,32,0,193,306
"Abbotsford/Abbotsford"," 159","Abbotsford",22,135,1,0,39,0,21,1,219,373
"Abbotsford/Abbotsford"," 160","Abbotsford",7,112,1,1,40,0,19,1,181,348
"Abbotsford/Abbotsford"," 161","Abbotsford",31,174,6,0,51,0,19,0,281,488
"Abbotsford/Abbotsford"," 162A","Abbotsford",16,86,0,1,19,2,21,0,145,279
"Abbotsford/Abbotsford"," 162B","Mobile poll/Bureau itinérant",Merged with No. 64B/Fusionné avec le nº 64B,,,,,,,,,27
"Abbotsford/Abbotsford"," 163","Abbotsford",14,162,0,0,28,0,19,0,223,401
"Abbotsford/Abbotsford"," 164","Abbotsford",16,114,2,2,52,0,31,2,219,424
"Abbotsford/Abbotsford"," 165","Abbotsford",9,91,2,0,38,0,24,1,165,280
"Abbotsford/Abbotsford"," 166","Abbotsford",5,66,2,1,33,0,24,1,132,299
"Abbotsford/Abbotsford"," 167","Abbotsford",18,86,0,1,46,0,27,0,178,379
"Abbotsford/Abbotsford"," 168","Abbotsford",15,124,4,1,89,0,15,1,249,475
"Abbotsford/Abbotsford"," 169","Abbotsford",12,262,2,0,104,3,67,1,451,835
"Abbotsford/Abbotsford"," 170","Abbotsford",3,60,2,0,21,1,18,0,105,225
"Abbotsford/Abbotsford"," 171","Abbotsford",3,116,1,1,35,0,26,0,182,281
"Abbotsford/Abbotsford"," 172","Abbotsford",16,111,2,0,47,1,32,2,211,389
"Abbotsford/Abbotsford"," 173","Abbotsford",12,124,1,0,41,0,18,1,197,367
"Abbotsford/Abbotsford"," 174","Abbotsford",16,110,1,0,36,0,14,0,177,341
"Abbotsford/Abbotsford"," 175","Abbotsford",15,154,2,1,59,0,29,3,263,481
"Abbotsford/Abbotsford"," 176","Abbotsford",9,160,0,1,22,0,41,6,239,492
"Abbotsford/Abbotsford"," 177","Abbotsford",23,110,1,0,46,0,33,1,214,414
"Abbotsford/Abbotsford"," 178","Abbotsford",13,174,1,1,25,0,32,3,249,406
"Abbotsford/Abbotsford"," 179","Abbotsford",12,228,4,2,51,1,28,3,329,583
"Abbotsford/Abbotsford"," 180","Abbotsford",14,177,1,0,21,0,27,1,241,475
"Abbotsford/Abbotsford"," 181","Abbotsford",23,249,3,0,19,1,27,1,323,476
"Abbotsford/Abbotsford"," 182","Abbotsford",10,198,1,2,20,1,30,1,263,474
"Abbotsford/Abbotsford"," 183","Abbotsford",15,131,0,0,25,0,15,0,186,322
"Abbotsford/Abbotsford"," 400","Abbotsford",2,173,0,0,23,1,23,1,223,290
