Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Barbara Biley,Jen Fisher-Bradley,James Lunney,R. L. Dusty Miller,Jim Stewart,Manjeet Uppal,Frank Wagner,David Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Nanaimo--Alberni/Nanaimo--Alberni"," 154B","Nanaimo",0,0,84,2,49,31,0,11,0,177,294
"Nanaimo--Alberni/Nanaimo--Alberni"," 155","Nanaimo",0,0,105,1,39,72,0,25,0,242,398
"Nanaimo--Alberni/Nanaimo--Alberni"," 156","Nanaimo",0,0,96,2,39,82,0,9,0,228,403
"Nanaimo--Alberni/Nanaimo--Alberni"," 157A","Nanaimo",0,0,62,1,48,49,0,7,0,167,296
"Nanaimo--Alberni/Nanaimo--Alberni"," 157B","Nanaimo",0,0,89,2,42,40,0,9,1,183,266
"Nanaimo--Alberni/Nanaimo--Alberni"," 158","Nanaimo",2,0,99,0,64,67,0,7,0,239,448
"Nanaimo--Alberni/Nanaimo--Alberni"," 159","Nanaimo",0,0,54,2,38,36,0,5,0,135,280
"Nanaimo--Alberni/Nanaimo--Alberni"," 160A","Nanaimo",0,1,65,2,34,31,1,3,0,137,241
"Nanaimo--Alberni/Nanaimo--Alberni"," 160B","Nanaimo",0,0,62,3,41,48,0,6,0,160,266
"Nanaimo--Alberni/Nanaimo--Alberni"," 161A","Nanaimo",1,0,151,0,80,63,0,9,0,304,487
"Nanaimo--Alberni/Nanaimo--Alberni"," 161B","Nanaimo",Merged with No. 504/Fusionné avec le nº 504,,,,,,,,,,68
"Nanaimo--Alberni/Nanaimo--Alberni"," 162A","Nanaimo",0,0,89,0,59,71,2,10,1,232,362
"Nanaimo--Alberni/Nanaimo--Alberni"," 162B","Nanaimo",0,0,90,2,48,64,1,11,0,216,354
"Nanaimo--Alberni/Nanaimo--Alberni"," 163","Nanaimo",0,0,103,0,80,75,0,20,0,278,445
"Nanaimo--Alberni/Nanaimo--Alberni"," 164","Nanaimo",1,0,134,5,54,56,0,14,0,264,437
"Nanaimo--Alberni/Nanaimo--Alberni"," 165A","Nanaimo",0,2,53,1,47,35,0,8,0,146,281
"Nanaimo--Alberni/Nanaimo--Alberni"," 165B","Nanaimo",0,1,76,0,37,45,1,6,0,166,293
"Nanaimo--Alberni/Nanaimo--Alberni"," 166","Nanaimo",1,0,110,5,50,78,0,14,0,258,439
"Nanaimo--Alberni/Nanaimo--Alberni"," 167","Nanaimo",0,0,85,2,36,38,1,4,0,166,304
"Nanaimo--Alberni/Nanaimo--Alberni"," 168","Nanaimo",0,0,117,2,65,56,1,6,1,248,390
"Nanaimo--Alberni/Nanaimo--Alberni"," 169","Nanaimo",0,1,90,3,41,48,1,16,0,200,368
"Nanaimo--Alberni/Nanaimo--Alberni"," 170","Nanaimo",0,0,53,2,30,46,0,8,1,140,245
"Nanaimo--Alberni/Nanaimo--Alberni"," 171A","Nanaimo",0,0,88,1,39,47,0,11,2,188,289
"Nanaimo--Alberni/Nanaimo--Alberni"," 171B","Nanaimo",0,0,96,0,39,59,1,11,0,206,317
"Nanaimo--Alberni/Nanaimo--Alberni"," 172","Nanaimo",0,0,86,1,47,80,0,21,0,235,391
"Nanaimo--Alberni/Nanaimo--Alberni"," 173","Nanaimo",0,0,119,3,40,74,0,14,0,250,392
"Nanaimo--Alberni/Nanaimo--Alberni"," 174","Nanaimo",1,0,103,1,62,56,0,21,1,245,405
"Nanaimo--Alberni/Nanaimo--Alberni"," 175","Nanaimo",1,1,70,1,40,43,0,16,0,172,292
"Nanaimo--Alberni/Nanaimo--Alberni"," 176","Nanaimo",0,0,101,1,60,85,0,17,2,266,406
"Nanaimo--Alberni/Nanaimo--Alberni"," 177A","Nanaimo",0,1,116,1,53,46,0,8,0,225,387
"Nanaimo--Alberni/Nanaimo--Alberni"," 177B","Nanaimo",0,0,111,3,61,50,1,7,0,233,400
"Nanaimo--Alberni/Nanaimo--Alberni"," 178A","Nanaimo",0,0,52,1,32,56,0,7,0,148,295
"Nanaimo--Alberni/Nanaimo--Alberni"," 178B","Nanaimo",1,0,67,0,34,41,0,5,0,148,267
"Nanaimo--Alberni/Nanaimo--Alberni"," 179","Nanaimo",0,1,72,1,48,84,0,5,0,211,359
"Nanaimo--Alberni/Nanaimo--Alberni"," 180","Nanaimo",0,1,71,2,29,66,1,18,0,188,316
"Nanaimo--Alberni/Nanaimo--Alberni"," 181A","Nanaimo",2,0,61,1,42,37,2,13,0,158,271
"Nanaimo--Alberni/Nanaimo--Alberni"," 181B","Nanaimo",0,0,65,1,35,55,0,8,0,164,304
"Nanaimo--Alberni/Nanaimo--Alberni"," 182","Nanaimo",0,1,95,2,57,81,1,8,0,245,444
"Nanaimo--Alberni/Nanaimo--Alberni"," 183A","Nanaimo",0,0,45,1,34,43,0,5,0,128,269
"Nanaimo--Alberni/Nanaimo--Alberni"," 183B","Nanaimo",0,0,44,0,25,29,0,6,0,104,277
"Nanaimo--Alberni/Nanaimo--Alberni"," 184A","Nanaimo",0,1,63,0,32,50,0,6,1,153,297
"Nanaimo--Alberni/Nanaimo--Alberni"," 184B","Nanaimo",2,1,68,1,37,46,2,3,2,162,285
"Nanaimo--Alberni/Nanaimo--Alberni"," 185A","Nanaimo",0,0,69,0,33,41,1,7,0,151,247
"Nanaimo--Alberni/Nanaimo--Alberni"," 185B","Nanaimo",0,0,69,1,30,48,0,7,0,155,251
"Nanaimo--Alberni/Nanaimo--Alberni"," 186","Nanaimo",0,1,72,0,39,56,1,7,0,176,275
"Nanaimo--Alberni/Nanaimo--Alberni"," 187","Nanaimo",0,0,58,1,49,67,1,12,0,188,323
"Nanaimo--Alberni/Nanaimo--Alberni"," 188","Nanaimo",0,0,104,0,95,80,0,15,0,294,486
"Nanaimo--Alberni/Nanaimo--Alberni"," 189","Nanaimo",0,0,86,1,42,96,0,11,0,236,454
"Nanaimo--Alberni/Nanaimo--Alberni"," 190","Nanaimo",0,1,106,3,48,97,0,14,0,269,409
"Nanaimo--Alberni/Nanaimo--Alberni"," 191","Nanaimo",0,1,90,2,43,110,0,9,0,255,455
"Nanaimo--Alberni/Nanaimo--Alberni"," 192","Nanaimo",0,0,106,1,57,114,0,12,1,291,461
"Nanaimo--Alberni/Nanaimo--Alberni"," 193","Nanaimo",0,0,57,1,35,46,0,12,0,151,290
"Nanaimo--Alberni/Nanaimo--Alberni"," 194","Nanaimo",0,0,61,0,35,75,0,15,1,187,397
"Nanaimo--Alberni/Nanaimo--Alberni"," 195","Nanaimo",0,3,106,3,47,99,0,11,1,270,437
"Nanaimo--Alberni/Nanaimo--Alberni"," 196","Nanaimo",0,0,61,1,36,49,0,11,0,158,304
"Nanaimo--Alberni/Nanaimo--Alberni"," 197","Nanaimo",0,1,76,2,41,68,1,12,0,201,318
"Nanaimo--Alberni/Nanaimo--Alberni"," 198A","Nanaimo",0,0,62,1,42,39,0,9,0,153,244
"Nanaimo--Alberni/Nanaimo--Alberni"," 198B","Nanaimo",0,0,80,0,46,43,0,5,1,175,275
"Nanaimo--Alberni/Nanaimo--Alberni"," 199A","Nanaimo",0,0,49,2,28,71,0,8,2,160,265
"Nanaimo--Alberni/Nanaimo--Alberni"," 199B","Nanaimo",0,0,58,0,20,53,0,5,1,137,248
"Nanaimo--Alberni/Nanaimo--Alberni"," 200","Nanaimo",0,0,67,1,22,72,1,1,0,164,290
