Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Steve Armes,Bob Callow,Pamela Courtot,Lui Temelkovski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Oak Ridges--Markham/Oak Ridges--Markham"," 49E","Richmond Hill",8,47,13,82,0,150,300
"Oak Ridges--Markham/Oak Ridges--Markham"," 50A","Richmond Hill",7,66,23,104,1,201,380
"Oak Ridges--Markham/Oak Ridges--Markham"," 50B","Richmond Hill",5,75,12,100,0,192,337
"Oak Ridges--Markham/Oak Ridges--Markham"," 50C","Richmond Hill",7,78,25,130,0,240,413
"Oak Ridges--Markham/Oak Ridges--Markham"," 50D","Richmond Hill",9,59,22,124,2,216,443
"Oak Ridges--Markham/Oak Ridges--Markham"," 51","Richmond Hill",10,130,13,121,1,275,574
"Oak Ridges--Markham/Oak Ridges--Markham"," 52A","Richmond Hill",4,59,32,96,0,191,333
"Oak Ridges--Markham/Oak Ridges--Markham"," 52B","Richmond Hill",4,66,21,115,3,209,372
"Oak Ridges--Markham/Oak Ridges--Markham"," 52C","Richmond Hill",8,72,14,83,0,177,346
"Oak Ridges--Markham/Oak Ridges--Markham"," 53","Richmond Hill",8,116,21,160,0,305,556
"Oak Ridges--Markham/Oak Ridges--Markham"," 54A","Richmond Hill",10,64,25,107,0,206,413
"Oak Ridges--Markham/Oak Ridges--Markham"," 54B","Richmond Hill",8,49,17,86,0,160,280
"Oak Ridges--Markham/Oak Ridges--Markham"," 54C","Mobile poll/Bureau itinérant",3,33,15,56,15,122,161
"Oak Ridges--Markham/Oak Ridges--Markham"," 54D","Mobile poll/Bureau itinérant",Merged with No. 54C/Fusionné avec le nº 54C,,,,,,120
"Oak Ridges--Markham/Oak Ridges--Markham"," 55","Richmond Hill",6,91,20,160,1,278,505
"Oak Ridges--Markham/Oak Ridges--Markham"," 56","Richmond Hill",12,63,34,125,0,234,424
"Oak Ridges--Markham/Oak Ridges--Markham"," 57","Richmond Hill",11,65,38,135,0,249,422
"Oak Ridges--Markham/Oak Ridges--Markham"," 58","Richmond Hill",8,79,30,109,1,227,443
"Oak Ridges--Markham/Oak Ridges--Markham"," 59","Richmond Hill",11,64,18,121,0,214,455
"Oak Ridges--Markham/Oak Ridges--Markham"," 60","Richmond Hill",10,65,27,129,1,232,478
"Oak Ridges--Markham/Oak Ridges--Markham"," 61","Richmond Hill",10,62,25,101,1,199,439
"Oak Ridges--Markham/Oak Ridges--Markham"," 62","Richmond Hill",5,51,27,118,1,202,435
"Oak Ridges--Markham/Oak Ridges--Markham"," 63","Richmond Hill",8,77,33,131,0,249,484
"Oak Ridges--Markham/Oak Ridges--Markham"," 64","Whitchurch-Stouffville",22,81,31,74,2,210,323
"Oak Ridges--Markham/Oak Ridges--Markham"," 65","Whitchurch-Stouffville",11,106,26,72,1,216,367
"Oak Ridges--Markham/Oak Ridges--Markham"," 66","Whitchurch-Stouffville",14,153,27,95,0,289,569
"Oak Ridges--Markham/Oak Ridges--Markham"," 67","Whitchurch-Stouffville",25,86,37,62,1,211,440
"Oak Ridges--Markham/Oak Ridges--Markham"," 68","Whitchurch-Stouffville",25,129,34,78,0,266,461
"Oak Ridges--Markham/Oak Ridges--Markham"," 69A","Whitchurch-Stouffville",9,123,10,100,0,242,438
"Oak Ridges--Markham/Oak Ridges--Markham"," 69B","Whitchurch-Stouffville",12,111,15,97,1,236,431
"Oak Ridges--Markham/Oak Ridges--Markham"," 69C","Whitchurch-Stouffville",9,73,19,73,0,174,357
"Oak Ridges--Markham/Oak Ridges--Markham"," 69D","Whitchurch-Stouffville",4,81,13,77,1,176,329
"Oak Ridges--Markham/Oak Ridges--Markham"," 70","Whitchurch-Stouffville",23,116,34,65,0,238,453
"Oak Ridges--Markham/Oak Ridges--Markham"," 71A","Whitchurch-Stouffville",6,87,32,49,1,175,343
"Oak Ridges--Markham/Oak Ridges--Markham"," 71B","Whitchurch-Stouffville",17,74,21,63,1,176,338
"Oak Ridges--Markham/Oak Ridges--Markham"," 72","Whitchurch-Stouffville",16,139,18,77,0,250,423
"Oak Ridges--Markham/Oak Ridges--Markham"," 73","Whitchurch-Stouffville",7,141,34,106,2,290,433
"Oak Ridges--Markham/Oak Ridges--Markham"," 74","Whitchurch-Stouffville",24,119,27,123,1,294,527
"Oak Ridges--Markham/Oak Ridges--Markham"," 75","Whitchurch-Stouffville",12,112,15,98,0,237,456
"Oak Ridges--Markham/Oak Ridges--Markham"," 76","Whitchurch-Stouffville",25,130,68,105,0,328,564
"Oak Ridges--Markham/Oak Ridges--Markham"," 77","Whitchurch-Stouffville",16,96,13,77,0,202,377
"Oak Ridges--Markham/Oak Ridges--Markham"," 78","Whitchurch-Stouffville",6,64,10,39,0,119,215
"Oak Ridges--Markham/Oak Ridges--Markham"," 79","Whitchurch-Stouffville",19,146,25,95,2,287,424
"Oak Ridges--Markham/Oak Ridges--Markham"," 80","Whitchurch-Stouffville",17,177,26,106,0,326,526
"Oak Ridges--Markham/Oak Ridges--Markham"," 81","Whitchurch-Stouffville",17,144,36,96,1,294,472
"Oak Ridges--Markham/Oak Ridges--Markham"," 82","Whitchurch-Stouffville",12,84,22,80,1,199,343
"Oak Ridges--Markham/Oak Ridges--Markham"," 83","Whitchurch-Stouffville",25,119,36,97,3,280,453
"Oak Ridges--Markham/Oak Ridges--Markham"," 84","Whitchurch-Stouffville",10,124,22,69,0,225,350
"Oak Ridges--Markham/Oak Ridges--Markham"," 85","Whitchurch-Stouffville",17,116,24,92,0,249,411
"Oak Ridges--Markham/Oak Ridges--Markham"," 86","Whitchurch-Stouffville",7,83,20,54,0,164,239
"Oak Ridges--Markham/Oak Ridges--Markham"," 87","Whitchurch-Stouffville",11,158,21,86,0,276,419
"Oak Ridges--Markham/Oak Ridges--Markham"," 88","Whitchurch-Stouffville",10,97,32,49,1,189,313
"Oak Ridges--Markham/Oak Ridges--Markham"," 89","Whitchurch-Stouffville",5,92,39,95,3,234,391
"Oak Ridges--Markham/Oak Ridges--Markham"," 90","Whitchurch-Stouffville",16,155,44,102,1,318,524
"Oak Ridges--Markham/Oak Ridges--Markham"," 91","Whitchurch-Stouffville",16,81,42,92,0,231,381
"Oak Ridges--Markham/Oak Ridges--Markham"," 92","Whitchurch-Stouffville",10,87,31,45,1,174,267
"Oak Ridges--Markham/Oak Ridges--Markham"," 93","Whitchurch-Stouffville",7,47,18,31,0,103,204
"Oak Ridges--Markham/Oak Ridges--Markham"," 94","Whitchurch-Stouffville",19,150,34,91,0,294,449
"Oak Ridges--Markham/Oak Ridges--Markham"," 95","Whitchurch-Stouffville",13,97,22,92,0,224,359
"Oak Ridges--Markham/Oak Ridges--Markham"," 96A","Whitchurch-Stouffville",26,106,44,67,0,243,400
"Oak Ridges--Markham/Oak Ridges--Markham"," 96B","Mobile poll/Bureau itinérant",Merged with No. 177C/Fusionné avec le nº 177C,,,,,,42
"Oak Ridges--Markham/Oak Ridges--Markham"," 97","Whitchurch-Stouffville",23,178,45,131,0,377,566
"Oak Ridges--Markham/Oak Ridges--Markham"," 98A","Whitchurch-Stouffville",19,77,12,84,1,193,313
"Oak Ridges--Markham/Oak Ridges--Markham"," 98B","Whitchurch-Stouffville",13,90,14,82,0,199,316
"Oak Ridges--Markham/Oak Ridges--Markham"," 99","Whitchurch-Stouffville",27,149,44,104,1,325,524
"Oak Ridges--Markham/Oak Ridges--Markham"," 100","Whitchurch-Stouffville",17,139,32,95,0,283,514
"Oak Ridges--Markham/Oak Ridges--Markham"," 101A","Markham",10,84,18,124,1,237,481
"Oak Ridges--Markham/Oak Ridges--Markham"," 101B","Markham",9,102,23,163,1,298,515
"Oak Ridges--Markham/Oak Ridges--Markham"," 101C","Markham",11,119,19,136,0,285,549
