Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anne Jamieson,John Weston,Blair Wilson,Judith Wilson,Silvaine Zimmermann,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 600","Powell River",3,310,230,269,22,3,837,
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 601","Sechelt",2,415,289,234,42,0,982,
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 602","Gibsons",3,315,263,208,46,0,835,
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 603","Squamish",1,232,280,151,45,0,709,
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 604","Whistler",1,136,187,51,35,0,410,
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 605","Bowen",0,122,142,57,45,0,366,
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 606","Caulfield",0,400,234,43,28,5,710,
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 607","West Vancouver",0,485,255,27,14,1,782,
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 608","West Vancouver",0,208,122,9,12,0,351,
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 609","West Vancouver",1,626,379,46,50,1,1103,
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 610","Capilano",1,134,143,23,21,0,322,
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country",,Group 1/Groupe 1,0,42,48,17,15,4,126,232
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country",,Group 2/Groupe 2,6,1096,928,495,125,28,2678,
