Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Armand Caouette,Pierre M. Denis,Gilles Gagnon,Yvon Lévesque,Dominique Vaillancourt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 143","Malartic",27,7,49,125,20,4,232,442
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 144","Malartic",34,6,46,98,10,3,197,412
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 145","Malartic",34,11,33,75,9,2,164,302
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 146","Malartic",20,5,30,58,8,2,123,315
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 147","Malartic",20,3,30,74,10,5,142,269
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 148","Malartic",23,3,30,78,11,3,148,274
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 149","Malartic",18,8,38,63,9,3,139,354
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 150","Malartic",26,6,48,87,17,0,184,350
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 151","Malartic",10,2,13,34,6,1,66,127
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 500","Mobile poll/Bureau itinérant",18,4,20,26,2,2,72,104
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 501","Mobile poll/Bureau itinérant",28,3,13,30,1,3,78,96
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 502","Mobile poll/Bureau itinérant",44,3,33,32,0,6,118,168
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 600","Rivière-Koksoak",4,1,2,12,0,0,19,
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 601","Baie-James",0,1,10,17,2,1,31,
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 602","Baie-James",17,3,22,56,8,2,108,
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 603","Baie-James",44,8,89,159,13,5,318,
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 604","Lebel-sur-Quévillon",8,2,29,125,10,1,175,
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 605","Senneterre",63,3,67,90,5,3,231,
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 606","Val-d'Or",69,13,59,203,19,8,371,
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 607","Val-d'Or",106,13,60,145,17,7,348,
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 608","Val-d'Or",138,22,111,254,26,14,565,
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 609","Lac-Fouillac--Malartic",74,10,65,181,5,7,342,
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou",,Group 1/Groupe 1,38,7,31,17,6,8,107,212
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou",,Group 2/Groupe 2,245,16,148,591,41,35,1076,
