Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Arthur,Jérôme Beaulieu,Howard M. Bruce,Guy Côté,Jean-Marie Fiset,Gilles Landry,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 124","Cap-Santé",105,5,57,95,13,13,3,291,451
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 125","Donnacona",93,4,52,105,15,5,0,274,463
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 126","Donnacona",154,10,76,102,10,7,2,361,568
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 127","Donnacona",114,16,47,97,6,11,4,295,561
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 128","Donnacona",138,10,87,103,12,6,5,361,524
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 129","Donnacona",72,5,42,33,6,2,1,161,321
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 130","Donnacona",56,3,46,61,9,6,2,183,319
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 131","Donnacona",60,4,32,51,7,11,1,166,361
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 132","Donnacona",52,2,28,43,5,11,2,143,276
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 133","Donnacona",70,3,55,55,8,12,0,203,360
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 134","Cap-Santé",125,7,54,75,11,5,2,279,430
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 135","Donnacona",79,3,20,32,6,5,3,148,295
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 136","Donnacona",76,5,26,81,5,16,0,209,382
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 137","Cap-Santé",81,5,65,77,3,9,6,246,396
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 138","Cap-Santé",114,6,64,86,12,18,0,300,470
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 139","Cap-Santé",99,8,38,109,19,10,2,285,418
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 140","Portneuf",99,6,51,75,7,12,2,252,422
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 141","Portneuf",114,1,84,64,10,3,2,278,378
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 142","Portneuf",137,4,50,60,7,7,2,267,457
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 143","Portneuf",81,2,46,60,6,11,6,212,370
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 144","Portneuf",85,3,54,64,4,9,6,225,377
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 145","Portneuf",40,7,9,26,3,3,1,89,155
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 146","Portneuf",129,3,56,72,10,8,2,280,451
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 147","Saint-Alban",109,10,93,70,5,22,1,310,505
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 148","Saint-Alban",90,6,75,48,3,20,1,243,421
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 149","Saint-Gilbert",53,7,51,31,4,12,1,159,221
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 150","Deschambault-Grondines",76,8,86,105,8,29,2,314,495
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 151","Deschambault-Grondines",74,6,59,78,3,18,3,241,340
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 152","Deschambault-Grondines",50,3,41,38,5,5,4,146,231
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 153","Saint-Marc-des-Carrières",67,4,63,63,2,6,1,206,339
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 154","Saint-Marc-des-Carrières",99,2,59,58,0,7,2,227,391
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 155","Saint-Marc-des-Carrières",90,7,67,57,1,8,1,231,391
