Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leon Benoit,Robert Peter Kratchmer,Len Legault,Brian Rozmahel,Blaine William Stephan,Duff Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Vegreville--Wainwright/Vegreville--Wainwright"," 600","Strathcona County",330,1,55,29,5,59,1,480,
"Vegreville--Wainwright/Vegreville--Wainwright"," 601","Strathcona County",449,2,42,25,2,37,0,557,
"Vegreville--Wainwright/Vegreville--Wainwright"," 602","Lamont County",173,3,30,25,1,22,0,254,
"Vegreville--Wainwright/Vegreville--Wainwright"," 603","Two Hills County No. 21",127,1,19,7,0,11,0,165,
"Vegreville--Wainwright/Vegreville--Wainwright"," 604","New Sarepta",147,1,12,11,2,21,0,194,
"Vegreville--Wainwright/Vegreville--Wainwright"," 605","Beaver County",40,0,8,7,2,3,0,60,
"Vegreville--Wainwright/Vegreville--Wainwright"," 606","Beaver County",134,1,12,55,0,9,0,211,
"Vegreville--Wainwright/Vegreville--Wainwright"," 607","Minburn County No. 27",281,1,42,36,1,38,0,399,
"Vegreville--Wainwright/Vegreville--Wainwright"," 608","Vermilion",291,3,24,33,3,17,1,372,
"Vegreville--Wainwright/Vegreville--Wainwright"," 609","Vermilion County No. 24",190,2,12,6,2,12,0,224,
"Vegreville--Wainwright/Vegreville--Wainwright"," 610","Lloydminster",544,8,42,26,7,69,0,696,
"Vegreville--Wainwright/Vegreville--Wainwright"," 611","Flagstaff County",96,1,8,13,0,5,0,123,
"Vegreville--Wainwright/Vegreville--Wainwright"," 612","Wainwright No. 61",133,5,7,7,0,9,0,161,
"Vegreville--Wainwright/Vegreville--Wainwright"," 613","Wainwright",239,5,18,16,1,30,1,310,
"Vegreville--Wainwright/Vegreville--Wainwright"," 614","Provost No. 52",166,0,6,5,2,5,0,184,
"Vegreville--Wainwright/Vegreville--Wainwright",,Group 1/Groupe 1,62,2,4,8,0,19,2,97,217
"Vegreville--Wainwright/Vegreville--Wainwright",,Group 2/Groupe 2,880,7,96,78,4,86,15,1166,
