Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Bellavance,Laurier Busque,Jean Landry,Isabelle Maguire,Louis Napoléon Mercier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Richmond--Arthabaska/Richmond--Arthabaska"," 189","Windsor",114,7,51,21,12,4,209,383
"Richmond--Arthabaska/Richmond--Arthabaska"," 190","Windsor",40,4,20,6,4,1,75,127
"Richmond--Arthabaska/Richmond--Arthabaska"," 191","Windsor",106,6,41,19,14,5,191,422
"Richmond--Arthabaska/Richmond--Arthabaska"," 192","Windsor",140,15,51,11,36,4,257,579
"Richmond--Arthabaska/Richmond--Arthabaska"," 193","Windsor",94,6,24,7,19,0,150,313
"Richmond--Arthabaska/Richmond--Arthabaska"," 194","Windsor",77,10,18,12,17,1,135,217
"Richmond--Arthabaska/Richmond--Arthabaska"," 195","Saint-Grégoire-de-Greenlay",131,7,57,21,16,5,237,498
"Richmond--Arthabaska/Richmond--Arthabaska"," 196","Saint-François-Xavier-de-Brompton",114,6,31,15,18,1,185,314
"Richmond--Arthabaska/Richmond--Arthabaska"," 197","Saint-François-Xavier-de-Brompton",162,17,81,33,16,7,316,492
"Richmond--Arthabaska/Richmond--Arthabaska"," 198","Saint-François-Xavier-de-Brompton",196,11,97,16,18,1,339,525
"Richmond--Arthabaska/Richmond--Arthabaska"," 199","Saint-François-Xavier-de-Brompton",85,7,60,11,12,1,176,261
"Richmond--Arthabaska/Richmond--Arthabaska"," 200","Saint-Denis-de-Brompton",148,16,65,14,27,2,272,447
"Richmond--Arthabaska/Richmond--Arthabaska"," 201","Saint-Denis-de-Brompton",211,15,92,26,34,2,380,613
"Richmond--Arthabaska/Richmond--Arthabaska"," 202A","Saint-Denis-de-Brompton",119,17,48,13,15,4,216,342
"Richmond--Arthabaska/Richmond--Arthabaska"," 202B","Saint-Denis-de-Brompton",122,15,50,11,18,3,219,322
"Richmond--Arthabaska/Richmond--Arthabaska"," 203","Saint-Denis-de-Brompton",223,21,70,36,11,5,366,599
"Richmond--Arthabaska/Richmond--Arthabaska"," 500","Mobile poll/Bureau itinérant",5,2,2,1,19,1,30,43
"Richmond--Arthabaska/Richmond--Arthabaska"," 501","Mobile poll/Bureau itinérant",5,3,4,0,12,2,26,75
"Richmond--Arthabaska/Richmond--Arthabaska"," 502","Mobile poll/Bureau itinérant",37,3,30,3,29,7,109,198
"Richmond--Arthabaska/Richmond--Arthabaska"," 600","Daveluyville",49,4,46,5,17,3,124,
"Richmond--Arthabaska/Richmond--Arthabaska"," 601","Saint-Albert",54,2,56,13,6,1,132,
"Richmond--Arthabaska/Richmond--Arthabaska"," 602","Victoriaville",277,26,153,22,52,4,534,
"Richmond--Arthabaska/Richmond--Arthabaska"," 603","Victoriaville",277,22,188,29,117,8,641,
"Richmond--Arthabaska/Richmond--Arthabaska"," 604","Arthabaska",245,14,174,27,66,2,528,
"Richmond--Arthabaska/Richmond--Arthabaska"," 605","Warwick--Kingsey",128,15,70,12,25,3,253,
"Richmond--Arthabaska/Richmond--Arthabaska"," 606","Ham-Nord",35,1,23,6,5,0,70,
"Richmond--Arthabaska/Richmond--Arthabaska"," 607","Wotton",65,7,40,25,5,3,145,
"Richmond--Arthabaska/Richmond--Arthabaska"," 608","Asbestos",324,12,218,28,144,5,731,
"Richmond--Arthabaska/Richmond--Arthabaska"," 609","Richmond",141,26,121,15,111,1,415,
"Richmond--Arthabaska/Richmond--Arthabaska"," 610","Windsor",215,5,171,17,80,2,490,
"Richmond--Arthabaska/Richmond--Arthabaska"," 611","Saint-François-Xavier",124,5,50,15,16,1,211,
"Richmond--Arthabaska/Richmond--Arthabaska",,Group 1/Groupe 1,33,4,35,8,13,5,98,247
"Richmond--Arthabaska/Richmond--Arthabaska",,Group 2/Groupe 2,676,39,354,42,226,14,1351,
