Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Neal Gray,Amarjit Grewal,Kate Harrington,Mike Lake,Kyle McLeod,Naomi Rankin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 132","Edmonton",48,51,9,155,2,1,1,267,447
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 133","Edmonton",50,31,18,134,2,0,0,235,461
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 134","Edmonton",36,55,12,192,1,0,1,297,543
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 135","Edmonton",19,36,15,118,1,0,1,190,301
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 136","Edmonton",40,35,15,200,3,1,1,295,466
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 137","Edmonton",57,44,10,159,6,0,0,276,444
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 138","Edmonton",34,46,13,154,1,0,0,248,425
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 139","Edmonton",21,35,1,98,3,0,0,158,304
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 140","Edmonton",44,25,15,118,0,0,1,203,363
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 141","Edmonton",46,47,11,145,0,1,0,250,470
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 142","Edmonton",32,38,11,131,3,0,0,215,365
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 143","Edmonton",55,72,10,104,6,1,1,249,504
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 144","Edmonton",44,56,8,104,2,0,1,215,456
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 145","Edmonton",45,44,10,137,2,0,1,239,407
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 146","Edmonton",59,45,11,169,3,0,1,288,507
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 147","Edmonton",43,41,3,94,3,0,2,186,322
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 148","Edmonton",55,37,5,112,1,0,0,210,394
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 149","Edmonton",32,39,16,144,7,0,0,238,410
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 150","Edmonton",46,41,10,139,1,1,2,240,369
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 151","Edmonton",47,42,19,159,3,0,0,270,403
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 152","Edmonton",28,23,10,119,2,0,0,182,376
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 153","Nisku",19,10,11,166,2,0,0,208,485
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 154","Beaumont",9,6,4,65,1,0,0,85,127
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 155A","Beaumont",29,19,7,203,2,0,0,260,455
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 155B","Beaumont",17,24,12,203,5,0,0,261,431
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 155C","Beaumont",19,31,13,185,4,0,0,252,439
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 156","Beaumont",40,34,22,200,3,0,0,299,496
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 157","Beaumont",22,17,8,147,5,0,0,199,368
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 158","Beaumont",40,23,11,156,4,1,0,235,424
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 159","Beaumont",36,11,14,144,3,0,1,209,367
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 160A","Beaumont",20,18,4,163,3,0,1,209,327
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 160B","Beaumont",15,8,12,137,4,0,1,177,296
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 161","Beaumont",17,19,5,140,1,0,0,182,300
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 162A","Beaumont",25,18,5,141,2,1,1,193,321
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 162B","Beaumont",24,22,17,133,1,0,1,198,335
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 163","Beaumont",25,27,6,155,4,0,0,217,404
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 164","Beaumont",32,28,13,228,3,1,0,305,521
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 165","Beaumont",36,32,3,190,1,0,1,263,459
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 500","Mobile poll/Bureau itinérant",15,43,2,104,3,0,1,168,253
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 600","Edmonton",74,136,10,339,1,1,1,562,
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 601","Edmonton",39,125,12,266,0,0,2,444,
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 602","Edmonton",60,162,8,291,1,0,3,525,
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 603","Edmonton",47,292,14,363,5,1,2,724,
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 604","Edmonton",59,261,22,394,7,1,5,749,
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 605","Edmonton",62,195,15,277,2,0,1,552,
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 606","Edmonton",53,118,16,310,1,1,1,500,
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 607","Edmonton",22,67,6,135,0,0,0,230,
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 608","Beaumont--Leduc County",46,51,21,457,5,1,0,581,
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont",,Group 1/Groupe 1,17,33,8,43,2,0,1,104,162
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont",,Group 2/Groupe 2,107,185,27,931,7,3,9,1269,
