Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tasha Bridgen,Jake Cole,George Kolaczynski,Isabel Metcalfe,Gordon O'Connor,Tracy Parsons,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 183B","Mississippi Mills",31,21,2,27,138,2,1,222,386
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 184","Mississippi Mills",30,17,2,24,99,0,0,172,268
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 185A","Mississippi Mills",21,19,0,22,85,2,1,150,289
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 185B","Mississippi Mills",26,8,3,25,76,0,0,138,232
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 186A","Mississippi Mills",15,11,1,34,88,1,0,150,256
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 186B","Mississippi Mills",16,18,0,21,80,0,0,135,295
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 187","Mississippi Mills",41,21,2,56,101,0,0,221,358
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 188","Mississippi Mills",41,34,4,39,110,5,0,233,359
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 189","Mississippi Mills",43,17,0,42,85,2,1,190,353
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 190","Mississippi Mills",60,16,3,52,141,0,0,272,459
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 191A","Mississippi Mills",30,13,3,29,102,1,0,178,318
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 191B","Mississippi Mills",33,15,1,40,97,0,0,186,377
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 192","Mississippi Mills",25,15,3,24,103,1,0,171,319
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 193A","Mississippi Mills",46,34,1,50,116,1,0,248,454
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 193B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,58
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 194","Mississippi Mills",31,15,1,58,150,2,2,259,432
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 195","Mississippi Mills",38,18,4,43,125,1,1,230,411
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 196","Mississippi Mills",40,24,3,39,139,5,1,251,398
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 197","Mississippi Mills",46,13,0,46,117,0,0,222,399
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 198","Mississippi Mills",43,18,1,13,98,1,0,174,303
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 199A","Mississippi Mills",25,15,2,27,109,0,0,178,280
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 199B","Mississippi Mills",30,15,1,18,111,1,0,176,270
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 400","Kanata",6,0,1,10,31,0,3,51,72
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 401","Goulbourn",4,2,1,28,47,1,1,84,96
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 500","Mobile poll/Bureau itinérant",13,4,1,32,76,5,0,131,222
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 501","Mobile poll/Bureau itinérant",5,5,1,24,71,0,2,108,154
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 502A","Mobile poll/Bureau itinérant",8,4,1,40,55,2,4,114,127
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 502B","Mobile poll/Bureau itinérant",9,4,1,46,60,4,1,125,162
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 503","Mobile poll/Bureau itinérant",4,1,0,3,34,0,1,43,67
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 504","Mobile poll/Bureau itinérant",3,1,0,10,25,0,0,39,49
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 600","Kinburn",55,44,1,97,824,1,0,1022,
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 601","Carp",52,45,5,157,906,1,3,1169,
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 602","Kanata",116,68,2,341,950,9,2,1488,
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 603","Kanata",83,50,6,243,731,6,5,1124,
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 604","Glen Cairn",82,44,1,168,707,2,0,1004,
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 605","Bridlewood",95,60,6,295,947,6,0,1409,
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 606","Stittsville",91,62,7,299,1523,5,6,1993,
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 607","Richmond",37,35,4,94,840,3,0,1013,
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 608","Pakenham",18,17,0,17,227,3,0,282,
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 609","Almonte",89,52,6,147,854,6,2,1156,
"Carleton--Mississippi Mills/Carleton--Mississippi Mills",,Group 1/Groupe 1,28,11,1,46,118,3,5,212,466
"Carleton--Mississippi Mills/Carleton--Mississippi Mills",,Group 2/Groupe 2,201,131,9,588,1615,14,32,2590,
