Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Don Dewar,Walter Kolisnyk,Inky Mark,Kathy Storey,Iris Yawney,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 505B","Mobile poll/Bureau itinérant",16,8,33,2,1,0,60,51
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 506A","Mobile poll/Bureau itinérant",12,8,33,2,0,2,57,19
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 506B","Mobile poll/Bureau itinérant",13,12,48,2,1,2,78,98
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 507A","Mobile poll/Bureau itinérant",7,3,28,1,0,0,39,44
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 507B","Mobile poll/Bureau itinérant",37,19,92,4,0,0,152,104
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 600","Birch River",2,13,17,0,0,0,32,
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 601","Swan River",35,69,172,5,2,0,283,
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 602","Winnipegosis",20,21,49,2,1,1,94,
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 603","Roblin",20,25,123,5,3,0,176,
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 604","Gilbert Plains",18,35,75,9,0,1,138,
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 605","Dauphin Rural",28,21,136,3,1,0,189,
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 606","Dauphin",132,122,359,16,5,3,637,
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 607","Ste. Rose du Lac",22,11,73,3,2,1,112,
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 608","Russell",15,6,99,5,0,0,125,
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 609","Rossburn",6,23,96,1,0,0,126,
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 610","McCreary",13,8,34,0,0,0,55,
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 611","Birtle",15,12,49,4,2,0,82,
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 612","Shoal Lake",3,8,37,0,0,0,48,
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 613","Minnedosa",25,27,132,17,1,0,202,
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 614","Neepawa",58,22,225,7,2,0,314,
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 615","Lakeview--Westbourne",13,3,48,3,0,0,67,
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette",,Group 1/Groupe 1,32,9,27,2,1,3,74,129
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette",,Group 2/Groupe 2,197,156,706,29,4,11,1103,
