Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charles Boylan,Ujjal Dosanjh,Bev Meslo,Doug Perry,Tarlok Sablok,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Vancouver South/Vancouver-Sud"," 154","Vancouver",2,116,98,8,78,1,303,532
"Vancouver South/Vancouver-Sud"," 155","Vancouver",2,100,86,10,66,0,264,433
"Vancouver South/Vancouver-Sud"," 156","Vancouver",2,74,108,16,61,0,261,429
"Vancouver South/Vancouver-Sud"," 157","Vancouver",0,122,133,16,54,0,325,493
"Vancouver South/Vancouver-Sud"," 158","Vancouver",3,76,71,14,48,3,215,457
"Vancouver South/Vancouver-Sud"," 159","Vancouver",0,88,36,5,49,0,178,320
"Vancouver South/Vancouver-Sud"," 160","Vancouver",7,68,83,14,56,0,228,402
"Vancouver South/Vancouver-Sud"," 500","Mobile poll/Bureau itinérant",2,42,13,7,30,0,94,134
"Vancouver South/Vancouver-Sud"," 501","Mobile poll/Bureau itinérant",1,29,30,8,27,0,95,188
"Vancouver South/Vancouver-Sud"," 502","Mobile poll/Bureau itinérant",9,41,11,2,22,6,91,254
"Vancouver South/Vancouver-Sud"," 503","Mobile poll/Bureau itinérant",2,32,34,2,23,1,94,181
"Vancouver South/Vancouver-Sud"," 504","Mobile poll/Bureau itinérant",6,30,33,1,22,0,92,142
"Vancouver South/Vancouver-Sud"," 505","Mobile poll/Bureau itinérant",7,43,25,5,34,2,116,128
"Vancouver South/Vancouver-Sud"," 600","Vancouver",0,129,7,5,105,1,247,
"Vancouver South/Vancouver-Sud"," 601","Vancouver",0,259,77,11,164,3,514,
"Vancouver South/Vancouver-Sud"," 602","Vancouver",1,169,71,10,96,1,348,
"Vancouver South/Vancouver-Sud"," 603","Vancouver",1,198,93,7,107,2,408,
"Vancouver South/Vancouver-Sud"," 604","Vancouver",2,133,46,6,86,1,274,
"Vancouver South/Vancouver-Sud"," 605","Vancouver",6,170,57,2,113,0,348,
"Vancouver South/Vancouver-Sud"," 606","Vancouver",2,233,95,7,195,3,535,
"Vancouver South/Vancouver-Sud"," 607","Vancouver",0,228,105,17,190,0,540,
"Vancouver South/Vancouver-Sud",,Group 1/Groupe 1,0,28,9,3,13,4,57,109
"Vancouver South/Vancouver-Sud",,Group 2/Groupe 2,1,249,100,18,183,10,561,
