Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Denis Blanchette,Hélène Chalifour Scherrer,Roger Clavet,Francis Fortin,Luc Harvey,Robert Hudon,Stefan Jetchick,Frédérick Têtu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Louis-Hébert/Louis-Hébert"," 67A","Sillery",13,48,29,1,66,7,0,2,3,169,196
"Louis-Hébert/Louis-Hébert"," 67B","Sillery",5,11,19,1,25,3,0,0,0,64,106
"Louis-Hébert/Louis-Hébert"," 67-1A","Sillery",Merged with No. 67B/Fusionné avec le nº 67B,,,,,,,,,,31
"Louis-Hébert/Louis-Hébert"," 67-1B","Sillery",Merged with No. 67A/Fusionné avec le nº 67A,,,,,,,,,,78
"Louis-Hébert/Louis-Hébert"," 68","Sillery",9,37,49,0,43,8,3,3,5,157,278
"Louis-Hébert/Louis-Hébert"," 69","Sillery",19,26,122,1,49,10,0,3,0,230,434
"Louis-Hébert/Louis-Hébert"," 70","Sillery",33,16,115,2,39,16,0,2,2,225,365
"Louis-Hébert/Louis-Hébert"," 71","Sillery",22,23,86,0,33,14,0,2,0,180,278
"Louis-Hébert/Louis-Hébert"," 72","Sillery",20,50,94,2,60,22,0,1,3,252,388
"Louis-Hébert/Louis-Hébert"," 73","Sillery",15,30,81,3,76,15,0,2,0,222,347
"Louis-Hébert/Louis-Hébert"," 74","Sillery",12,25,45,1,38,9,1,3,0,134,224
"Louis-Hébert/Louis-Hébert"," 75","Sillery",16,61,55,4,104,10,0,2,0,252,429
"Louis-Hébert/Louis-Hébert"," 76","Sillery",21,19,57,0,63,4,3,1,0,168,341
"Louis-Hébert/Louis-Hébert"," 77","Sillery",21,55,53,1,81,19,0,4,1,235,354
"Louis-Hébert/Louis-Hébert"," 78","Sillery",32,24,47,1,79,8,0,3,2,196,327
"Louis-Hébert/Louis-Hébert"," 79","Sillery",31,40,58,0,90,21,0,1,0,241,364
"Louis-Hébert/Louis-Hébert"," 80","Sillery",38,25,81,1,18,17,1,1,2,184,280
"Louis-Hébert/Louis-Hébert"," 81","Sillery",21,44,80,2,61,7,1,0,0,216,352
"Louis-Hébert/Louis-Hébert"," 82","Sillery",21,42,79,0,82,14,0,4,1,243,351
"Louis-Hébert/Louis-Hébert"," 83","Sillery",22,45,88,1,61,9,0,1,4,231,423
"Louis-Hébert/Louis-Hébert"," 84","Sillery",10,28,48,1,42,5,0,0,2,136,224
"Louis-Hébert/Louis-Hébert"," 85","Sillery",32,31,101,1,80,13,0,0,0,258,492
"Louis-Hébert/Louis-Hébert"," 86","Sainte-Foy",26,46,82,4,95,14,3,10,0,280,428
"Louis-Hébert/Louis-Hébert"," 87","Sainte-Foy",17,23,84,1,53,21,1,5,0,205,304
"Louis-Hébert/Louis-Hébert"," 88","Sainte-Foy",19,12,47,0,37,3,1,4,1,124,241
"Louis-Hébert/Louis-Hébert"," 89","Sainte-Foy",24,26,75,3,36,19,2,1,2,188,293
"Louis-Hébert/Louis-Hébert"," 90A","Sainte-Foy",17,35,75,4,79,16,0,4,2,232,406
"Louis-Hébert/Louis-Hébert"," 90B","Sainte-Foy",Merged with No. 90-1/Fusionné avec le nº 90-1,,,,,,,,,,140
"Louis-Hébert/Louis-Hébert"," 90-1","Sainte-Foy",9,43,64,4,74,9,2,2,1,208,156
"Louis-Hébert/Louis-Hébert"," 91","Sainte-Foy",14,64,69,2,91,12,0,6,0,258,403
"Louis-Hébert/Louis-Hébert"," 92A","Sainte-Foy",22,28,60,0,62,13,1,0,2,188,322
"Louis-Hébert/Louis-Hébert"," 92B","Sainte-Foy",22,25,43,0,53,5,0,0,2,150,306
"Louis-Hébert/Louis-Hébert"," 93","Sainte-Foy",15,20,62,0,45,11,0,1,0,154,281
"Louis-Hébert/Louis-Hébert"," 94","Sainte-Foy",12,61,31,2,63,2,4,2,4,181,287
"Louis-Hébert/Louis-Hébert"," 95","Sainte-Foy",23,55,71,2,96,5,0,2,2,256,428
"Louis-Hébert/Louis-Hébert"," 96","Sainte-Foy",16,30,67,3,48,7,0,2,0,173,265
"Louis-Hébert/Louis-Hébert"," 97","Sainte-Foy",21,31,72,0,54,15,0,0,1,194,309
"Louis-Hébert/Louis-Hébert"," 98","Sainte-Foy",20,17,62,0,34,13,0,3,2,151,320
"Louis-Hébert/Louis-Hébert"," 99","Sainte-Foy",10,10,45,1,35,5,0,1,0,107,205
"Louis-Hébert/Louis-Hébert"," 100","Sainte-Foy",15,26,68,0,53,7,0,6,2,177,341
"Louis-Hébert/Louis-Hébert"," 101","Sainte-Foy",26,16,64,3,55,12,0,4,2,182,356
"Louis-Hébert/Louis-Hébert"," 102","Sainte-Foy",9,9,39,1,31,6,0,3,1,99,288
"Louis-Hébert/Louis-Hébert"," 103","Sainte-Foy",36,14,92,3,56,15,0,5,1,222,377
"Louis-Hébert/Louis-Hébert"," 104","Sainte-Foy",21,12,75,2,57,11,0,4,1,183,350
"Louis-Hébert/Louis-Hébert"," 105","Sainte-Foy",22,34,58,0,50,6,0,2,0,172,312
"Louis-Hébert/Louis-Hébert"," 106","Sainte-Foy",10,13,37,0,67,10,0,3,0,140,307
"Louis-Hébert/Louis-Hébert"," 107","Sainte-Foy",29,28,74,2,71,16,1,1,2,224,418
"Louis-Hébert/Louis-Hébert"," 108","Sainte-Foy",26,23,69,1,56,10,0,5,2,192,415
"Louis-Hébert/Louis-Hébert"," 109","Sainte-Foy",11,26,55,0,49,5,1,4,0,151,303
"Louis-Hébert/Louis-Hébert"," 110","Sainte-Foy",28,44,67,0,66,9,0,0,0,214,368
"Louis-Hébert/Louis-Hébert"," 111","Sainte-Foy",19,25,60,0,46,3,0,2,1,156,238
"Louis-Hébert/Louis-Hébert"," 112","Sainte-Foy",25,39,77,2,79,19,1,4,0,246,380
"Louis-Hébert/Louis-Hébert"," 113","Sainte-Foy",18,96,59,4,78,11,0,2,6,274,486
