Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joëlle Chevrier,Stéphane Deschênes,Huguette Guilhaumon,Yvan Loubier,Jacques Tétreault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 500","Mobile poll/Bureau itinérant",3,17,14,18,0,3,55,149
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 501","Mobile poll/Bureau itinérant",5,25,30,21,3,1,85,146
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 502","Mobile poll/Bureau itinérant",5,45,36,36,1,1,124,182
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 503A","Mobile poll/Bureau itinérant",0,44,46,42,2,1,135,118
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 503B","Mobile poll/Bureau itinérant",3,6,11,27,2,6,55,50
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 504","Mobile poll/Bureau itinérant",8,141,28,14,5,2,198,202
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 505","Mobile poll/Bureau itinérant",3,24,19,28,3,4,81,123
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 506","Mobile poll/Bureau itinérant",3,31,16,35,2,2,89,114
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 600","Saint-Hugues",11,12,22,75,4,0,124,
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 601","Saint-Théodore-d'Acton",4,9,19,43,8,2,85,
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 602","Acton Vale",16,56,86,151,11,7,327,
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 603","Saint-Liboire",9,12,46,96,2,0,165,
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 604","Sainte-Rosalie",15,38,72,173,8,6,312,
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 605","Saint-Joseph",17,77,111,183,18,3,409,
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 606","Saint-Hyacinthe",20,74,129,219,12,3,457,
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 607","Saint-Hyacinthe",16,83,111,222,9,4,445,
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 608","Saint-Hyacinthe",19,77,129,225,12,6,468,
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 609","Saint-Thomas-d'Aquin",10,27,80,132,3,1,253,
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 610","Sainte-Madeleine",15,46,83,153,3,3,303,
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 611","Saint-Dominique",9,20,51,104,4,2,190,
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 612","Roxton",1,21,34,66,6,5,133,
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot",,Group 1/Groupe 1,2,10,18,33,3,2,68,135
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot",,Group 2/Groupe 2,31,197,150,472,33,13,896,
